celltype_major	celltype_sub	tissue	N
Bcell	hC68_B-CD79B	PBMC	1433
Bcell	hC68_B-CD79B	lymph node	1166
Bcell	hC68_B-CD79B	metastasis normal	116
Bcell	hC68_B-CD79B	metastasis tumor	32
Bcell	hC68_B-CD79B	primary normal	432
Bcell	hC68_B-CD79B	primary tumor	151
Bcell	hC69_B-CD55	PBMC	16
Bcell	hC69_B-CD55	lymph node	3577
Bcell	hC69_B-CD55	metastasis normal	280
Bcell	hC69_B-CD55	metastasis tumor	287
Bcell	hC69_B-CD55	primary normal	2177
Bcell	hC69_B-CD55	primary tumor	531
Bcell	hC70_B-GPR183	PBMC	1282
Bcell	hC70_B-GPR183	lymph node	6603
Bcell	hC70_B-GPR183	metastasis normal	542
Bcell	hC70_B-GPR183	metastasis tumor	901
Bcell	hC70_B-GPR183	primary normal	1923
Bcell	hC70_B-GPR183	primary tumor	1699
Bcell	hC71_B-HSPA1A	PBMC	2
Bcell	hC71_B-HSPA1A	lymph node	4397
Bcell	hC71_B-HSPA1A	metastasis normal	90
Bcell	hC71_B-HSPA1A	metastasis tumor	134
Bcell	hC71_B-HSPA1A	primary normal	680
Bcell	hC71_B-HSPA1A	primary tumor	509
Bcell	hC72_B-IGLC3	PBMC	2113
Bcell	hC72_B-IGLC3	lymph node	155
Bcell	hC72_B-IGLC3	metastasis normal	170
Bcell	hC72_B-IGLC3	metastasis tumor	128
Bcell	hC72_B-IGLC3	primary normal	41
Bcell	hC72_B-IGLC3	primary tumor	96
Bcell	hC73_B-RGS13	lymph node	355
Bcell	hC73_B-RGS13	metastasis normal	12
Bcell	hC73_B-RGS13	metastasis tumor	2
Bcell	hC73_B-RGS13	primary normal	819
Bcell	hC73_B-RGS13	primary tumor	86
Bcell	hC74_B-MKI67	PBMC	43
Bcell	hC74_B-MKI67	lymph node	653
Bcell	hC74_B-MKI67	metastasis normal	59
Bcell	hC74_B-MKI67	metastasis tumor	57
Bcell	hC74_B-MKI67	primary normal	755
Bcell	hC74_B-MKI67	primary tumor	314
Bcell	hC75_B-CD3E	PBMC	507
Bcell	hC75_B-CD3E	lymph node	1445
