clean_cluster	value	N	fraction
0	hC53_Mph-C1QC	451	0.351519875292284
0	hC50_Mph-IL1B	446	0.347622759158223
0	hC54_Mph-SPP1	133	0.103663289166017
0	hC48_Mph-FCN1	93	0.0724863600935308
0	hC51_Mph-PLTP	56	0.0436477007014809
0	hC49_Mph-NLRP3	47	0.0366328916601715
0	hC46_Mono-CD14|FCGR3A	29	0.0226032735775526
0	hC52_Mph-CXCL12	15	0.0116913484021824
0	hC43_MonoDC-CLEC10A	8	0.00623538581449727
0	hC55_Mph-MKI67	3	0.00233826968043648
0	hC45_Mono-FCGR3A	1	0.000779423226812159
0	hC56_Mph-CD3E	1	0.000779423226812159
1	hC46_Mono-CD14|FCGR3A	490	0.418445772843723
1	hC48_Mph-FCN1	460	0.392826643894108
1	hC45_Mono-FCGR3A	102	0.0871050384286934
1	hC50_Mph-IL1B	38	0.0324508966695132
1	hC44_Mono-CD14	37	0.0315969257045261
1	hC49_Mph-NLRP3	33	0.0281810418445773
1	hC43_MonoDC-CLEC10A	7	0.00597779675491033
1	hC54_Mph-SPP1	2	0.00170794192997438
1	hC56_Mph-CD3E	2	0.00170794192997438
10	hC53_Mph-C1QC	303	0.587209302325582
10	hC54_Mph-SPP1	80	0.155038759689923
10	hC49_Mph-NLRP3	39	0.0755813953488372
10	hC46_Mono-CD14|FCGR3A	36	0.0697674418604651
10	hC50_Mph-IL1B	36	0.0697674418604651
10	hC51_Mph-PLTP	10	0.0193798449612403
10	hC55_Mph-MKI67	8	0.0155038759689922
10	hC56_Mph-CD3E	2	0.00387596899224806
10	hC45_Mono-FCGR3A	1	0.00193798449612403
10	hC52_Mph-CXCL12	1	0.00193798449612403
11	hC44_Mono-CD14	382	0.979487179487179
11	hC46_Mono-CD14|FCGR3A	4	0.0102564102564103
11	hC48_Mph-FCN1	3	0.00769230769230769
11	hC50_Mph-IL1B	1	0.00256410256410256
12	hC44_Mono-CD14	222	0.603260869565217
12	hC46_Mono-CD14|FCGR3A	89	0.241847826086957
12	hC48_Mph-FCN1	31	0.0842391304347826
12	hC45_Mono-FCGR3A	11	0.0298913043478261
12	hC54_Mph-SPP1	6	0.016304347826087
12	hC49_Mph-NLRP3	3	0.00815217391304348
12	hC56_Mph-CD3E	3	0.00815217391304348
12	hC50_Mph-IL1B	2	0.00543478260869565
12	hC53_Mph-C1QC	1	0.00271739130434783
13	hC49_Mph-NLRP3	204	0.879310344827586
13	hC54_Mph-SPP1	26	0.112068965517241
13	hC56_Mph-CD3E	2	0.00862068965517241
14	hC55_Mph-MKI67	65	0.970149253731343
14	hC53_Mph-C1QC	1	0.0149253731343284
14	hC54_Mph-SPP1	1	0.0149253731343284
15	hC52_Mph-CXCL12	46	0.958333333333333
15	hC55_Mph-MKI67	2	0.0416666666666667
2	hC48_Mph-FCN1	814	0.758620689655172
2	hC49_Mph-NLRP3	163	0.151910531220876
2	hC45_Mono-FCGR3A	40	0.0372786579683131
2	hC46_Mono-CD14|FCGR3A	31	0.0288909599254427
2	hC50_Mph-IL1B	7	0.0065237651444548
2	hC54_Mph-SPP1	7	0.0065237651444548
2	hC44_Mono-CD14	4	0.00372786579683131
