clean_cluster	value	N	fraction
0	core_retained_singlet	1232	0.96024941543258
0	batch_sensitive_retained_singlet	48	0.0374123148869836
0	doublet_sensitive_retained_singlet	3	0.00233826968043648
1	batch_sensitive_retained_singlet	1144	0.976942783945346
1	core_retained_singlet	21	0.017933390264731
1	doublet_sensitive_retained_singlet	6	0.00512382578992314
10	core_retained_singlet	508	0.984496124031008
10	batch_sensitive_retained_singlet	8	0.0155038759689922
11	batch_sensitive_retained_singlet	388	0.994871794871795
11	core_retained_singlet	2	0.00512820512820513
12	batch_sensitive_retained_singlet	345	0.9375
12	core_retained_singlet	23	0.0625
13	core_retained_singlet	228	0.982758620689655
13	batch_sensitive_retained_singlet	4	0.0172413793103448
14	core_retained_singlet	67	1
15	batch_sensitive_retained_singlet	48	1
2	batch_sensitive_retained_singlet	1046	0.974836905871389
2	core_retained_singlet	22	0.0205032618825722
2	doublet_sensitive_retained_singlet	5	0.00465983224603914
3	batch_sensitive_retained_singlet	994	0.979310344827586
3	core_retained_singlet	21	0.0206896551724138
4	core_retained_singlet	686	0.946206896551724
4	batch_sensitive_retained_singlet	35	0.0482758620689655
4	doublet_sensitive_retained_singlet	4	0.00551724137931034
5	batch_sensitive_retained_singlet	690	0.998552821997106
5	core_retained_singlet	1	0.00144717800289436
6	batch_sensitive_retained_singlet	585	1
7	core_retained_singlet	543	0.942708333333333
7	batch_sensitive_retained_singlet	31	0.0538194444444445
7	doublet_sensitive_retained_singlet	2	0.00347222222222222
8	doublet_sensitive_retained_singlet	524	0.945848375451263
8	batch_sensitive_retained_singlet	18	0.0324909747292419
8	core_retained_singlet	12	0.0216606498194946
9	batch_sensitive_retained_singlet	531	0.983333333333333
9	core_retained_singlet	9	0.0166666666666667
