clean_cluster	value	N	fraction
0	1	1205	0.939204988308652
0	6	20	0.0155884645362432
0	2	16	0.0124707716289945
0	8	16	0.0124707716289945
0	5	10	0.00779423226812159
0	3	7	0.00545596258768511
0	11	5	0.0038971161340608
0	9	3	0.00233826968043648
0	10	1	0.000779423226812159
1	3	1140	0.973526900085397
1	1	8	0.00683176771989752
1	5	8	0.00683176771989752
1	9	6	0.00512382578992314
1	10	4	0.00341588385994876
1	4	4	0.00341588385994876
1	8	1	0.00085397096498719
10	8	493	0.955426356589147
10	1	13	0.0251937984496124
10	6	4	0.00775193798449612
10	4	3	0.00581395348837209
10	10	1	0.00193798449612403
10	11	1	0.00193798449612403
10	5	1	0.00193798449612403
11	14	379	0.971794871794872
11	4	9	0.0230769230769231
11	10	2	0.00512820512820513
12	4	341	0.926630434782609
12	5	19	0.0516304347826087
12	10	2	0.00543478260869565
12	3	2	0.00543478260869565
12	8	2	0.00543478260869565
12	12	1	0.00271739130434783
12	14	1	0.00271739130434783
13	5	228	0.982758620689655
13	6	3	0.0129310344827586
13	2	1	0.00431034482758621
14	8	65	0.970149253731343
14	1	2	0.0298507462686567
15	22	48	1
2	2	1045	0.973904939422181
2	5	13	0.0121155638397018
2	9	5	0.00465983224603914
2	1	4	0.00372786579683131
2	10	4	0.00372786579683131
2	6	1	0.000931966449207829
2	8	1	0.000931966449207829
3	6	976	0.961576354679803
3	2	18	0.0177339901477833
3	1	9	0.00886699507389163
3	5	8	0.00788177339901478
3	8	4	0.00394088669950739
4	5	664	0.915862068965517
4	11	19	0.0262068965517241
4	1	14	0.0193103448275862
4	2	8	0.0110344827586207
4	3	7	0.0096551724137931
4	10	5	0.00689655172413793
4	9	4	0.00551724137931034
4	8	3	0.00413793103448276
4	6	1	0.00137931034482759
5	4	679	0.982633863965268
5	12	8	0.0115774240231548
5	14	3	0.00434153400868307
5	10	1	0.00144717800289436
6	12	570	0.974358974358974
6	4	14	0.0239316239316239
6	14	1	0.00170940170940171
7	10	526	0.913194444444444
7	2	22	0.0381944444444444
7	1	10	0.0173611111111111
7	5	7	0.0121527777777778
7	3	4	0.00694444444444444
7	14	3	0.00520833333333333
7	4	2	0.00347222222222222
7	9	2	0.00347222222222222
8	9	524	0.945848375451263
8	4	8	0.0144404332129964
8	1	6	0.0108303249097473
8	11	3	0.00541516245487365
8	2	3	0.00541516245487365
8	3	3	0.00541516245487365
8	10	2	0.0036101083032491
8	5	2	0.0036101083032491
8	8	2	0.0036101083032491
8	12	1	0.00180505415162455
9	11	530	0.981481481481481
9	1	3	0.00555555555555556
9	5	3	0.00555555555555556
9	8	3	0.00555555555555556
9	4	1	0.00185185185185185
