clean_cluster	value	N	fraction
0	metastasis tumor	918	0.715510522213562
0	metastasis normal	189	0.147310989867498
0	primary tumor	119	0.0927513639906469
0	lymph node	29	0.0226032735775526
0	primary normal	14	0.0109119251753702
0	metastasis normal1	6	0.00467653936087296
0	metastasis tumor1	4	0.00311769290724864
0	metastasis tumor2	4	0.00311769290724864
1	metastasis normal	1096	0.935952177625961
1	metastasis tumor	37	0.0315969257045261
1	primary tumor	22	0.0187873612297182
1	lymph node	9	0.00768573868488471
1	primary normal	5	0.00426985482493595
1	metastasis normal1	2	0.00170794192997438
10	primary tumor	314	0.608527131782946
10	metastasis tumor	133	0.257751937984496
10	lymph node	45	0.0872093023255814
10	metastasis normal	9	0.0174418604651163
10	primary normal	8	0.0155038759689922
10	metastasis normal1	3	0.00581395348837209
10	metastasis tumor1	3	0.00581395348837209
10	metastasis tumor2	1	0.00193798449612403
11	PBMC	351	0.9
11	metastasis normal	19	0.0487179487179487
11	primary tumor	10	0.0256410256410256
11	metastasis tumor	6	0.0153846153846154
11	primary normal	2	0.00512820512820513
11	lymph node	1	0.00256410256410256
11	metastasis normal2	1	0.00256410256410256
12	PBMC	151	0.410326086956522
12	metastasis normal	113	0.307065217391304
12	primary tumor	44	0.119565217391304
12	metastasis tumor	35	0.0951086956521739
12	primary normal	20	0.0543478260869565
12	metastasis normal2	3	0.00815217391304348
12	lymph node	1	0.00271739130434783
12	metastasis normal1	1	0.00271739130434783
13	primary tumor	195	0.84051724137931
13	metastasis tumor	29	0.125
13	primary normal	6	0.0258620689655172
13	lymph node	1	0.00431034482758621
13	metastasis normal	1	0.00431034482758621
14	primary tumor	34	0.507462686567164
14	metastasis tumor	17	0.253731343283582
14	metastasis normal	14	0.208955223880597
14	lymph node	1	0.0149253731343284
14	primary normal	1	0.0149253731343284
15	metastasis normal	41	0.854166666666667
15	lymph node	2	0.0416666666666667
15	metastasis normal2	2	0.0416666666666667
15	metastasis tumor	2	0.0416666666666667
15	metastasis normal1	1	0.0208333333333333
2	metastasis normal	763	0.711090400745573
2	metastasis tumor	247	0.230195712954334
2	lymph node	38	0.0354147250698975
2	primary tumor	18	0.0167753960857409
2	metastasis normal1	3	0.00279589934762349
2	primary normal	2	0.00186393289841566
2	metastasis normal2	1	0.000931966449207829
2	metastasis tumor2	1	0.000931966449207829
3	metastasis tumor	939	0.92512315270936
3	primary tumor	52	0.0512315270935961
3	lymph node	12	0.0118226600985222
3	metastasis normal	5	0.00492610837438424
3	metastasis tumor1	5	0.00492610837438424
3	metastasis tumor2	2	0.00197044334975369
4	primary tumor	194	0.267586206896552
4	metastasis tumor	181	0.249655172413793
4	metastasis normal	167	0.230344827586207
4	primary normal	100	0.137931034482759
4	lymph node	82	0.113103448275862
4	metastasis normal1	1	0.00137931034482759
5	PBMC	635	0.918958031837916
5	metastasis normal	23	0.0332850940665702
5	primary tumor	14	0.020260492040521
5	primary normal	9	0.0130246020260492
5	metastasis tumor	6	0.00868306801736614
5	lymph node	2	0.00289435600578871
5	metastasis normal2	1	0.00144717800289436
5	metastasis tumor1	1	0.00144717800289436
6	PBMC	572	0.977777777777778
6	primary tumor	6	0.0102564102564103
6	metastasis normal	5	0.00854700854700855
6	lymph node	1	0.00170940170940171
6	metastasis normal1	1	0.00170940170940171
7	metastasis normal	243	0.421875
7	metastasis normal1	160	0.277777777777778
7	metastasis tumor	101	0.175347222222222
7	primary tumor	48	0.0833333333333333
7	primary normal	13	0.0225694444444444
7	metastasis normal2	8	0.0138888888888889
7	lymph node	3	0.00520833333333333
8	metastasis normal	383	0.691335740072202
8	metastasis tumor	123	0.22202166064982
8	primary normal	13	0.0234657039711191
8	primary tumor	10	0.0180505415162455
8	PBMC	8	0.0144404332129964
8	lymph node	8	0.0144404332129964
8	metastasis normal1	7	0.0126353790613718
8	metastasis normal2	2	0.0036101083032491
9	primary tumor	236	0.437037037037037
9	primary normal	216	0.4
9	lymph node	56	0.103703703703704
9	metastasis normal	20	0.037037037037037
9	metastasis tumor	12	0.0222222222222222
