clean_cluster	value	N	fraction
0	hC49_Mph-NLRP3	472	0.751592356687898
0	hC50_Mph-IL1B	54	0.0859872611464968
0	hC48_Mph-FCN1	49	0.0780254777070064
0	hC51_Mph-PLTP	17	0.0270700636942675
0	hC44_Mono-CD14	12	0.0191082802547771
0	hC46_Mono-CD14|FCGR3A	7	0.0111464968152866
0	hC45_Mono-FCGR3A	6	0.00955414012738853
0	hC53_Mph-C1QC	3	0.00477707006369427
0	hC43_MonoDC-CLEC10A	2	0.00318471337579618
0	hC52_Mph-CXCL12	2	0.00318471337579618
0	hC54_Mph-SPP1	2	0.00318471337579618
0	hC56_Mph-CD3E	2	0.00318471337579618
1	hC53_Mph-C1QC	461	0.845871559633028
1	hC54_Mph-SPP1	30	0.055045871559633
1	hC50_Mph-IL1B	29	0.0532110091743119
1	hC51_Mph-PLTP	17	0.0311926605504587
1	hC55_Mph-MKI67	5	0.0091743119266055
1	hC52_Mph-CXCL12	2	0.0036697247706422
1	hC49_Mph-NLRP3	1	0.0018348623853211
2	hC50_Mph-IL1B	305	0.618661257606491
2	hC51_Mph-PLTP	44	0.0892494929006085
2	hC49_Mph-NLRP3	41	0.0831643002028398
2	hC53_Mph-C1QC	31	0.0628803245436106
2	hC46_Mono-CD14|FCGR3A	22	0.0446247464503043
2	hC48_Mph-FCN1	20	0.0405679513184584
2	hC52_Mph-CXCL12	12	0.0243407707910751
2	hC54_Mph-SPP1	11	0.0223123732251521
2	hC43_MonoDC-CLEC10A	6	0.0121703853955375
2	hC45_Mono-FCGR3A	1	0.00202839756592292
3	hC53_Mph-C1QC	172	0.449086161879896
3	hC54_Mph-SPP1	78	0.203655352480418
3	hC46_Mono-CD14|FCGR3A	43	0.112271540469974
3	hC49_Mph-NLRP3	39	0.101827676240209
3	hC50_Mph-IL1B	34	0.0887728459530026
3	hC55_Mph-MKI67	7	0.0182767624020888
3	hC51_Mph-PLTP	3	0.00783289817232376
3	hC56_Mph-CD3E	3	0.00783289817232376
3	hC44_Mono-CD14	2	0.00522193211488251
3	hC45_Mono-FCGR3A	1	0.00261096605744125
3	hC52_Mph-CXCL12	1	0.00261096605744125
4	hC48_Mph-FCN1	286	0.752631578947368
4	hC44_Mono-CD14	54	0.142105263157895
4	hC49_Mph-NLRP3	29	0.0763157894736842
4	hC46_Mono-CD14|FCGR3A	6	0.0157894736842105
4	hC54_Mph-SPP1	3	0.00789473684210526
4	hC45_Mono-FCGR3A	2	0.00526315789473684
5	hC50_Mph-IL1B	114	0.35625
5	hC54_Mph-SPP1	84	0.2625
5	hC48_Mph-FCN1	82	0.25625
5	hC49_Mph-NLRP3	17	0.053125
5	hC53_Mph-C1QC	8	0.025
5	hC46_Mono-CD14|FCGR3A	6	0.01875
5	hC56_Mph-CD3E	6	0.01875
5	hC43_MonoDC-CLEC10A	2	0.00625
5	hC55_Mph-MKI67	1	0.003125
6	hC49_Mph-NLRP3	257	0.8371335504886
6	hC54_Mph-SPP1	37	0.120521172638437
6	hC50_Mph-IL1B	4	0.0130293159609121
6	hC53_Mph-C1QC	3	0.00977198697068404
6	hC56_Mph-CD3E	3	0.00977198697068404
6	hC45_Mono-FCGR3A	1	0.00325732899022801
6	hC46_Mono-CD14|FCGR3A	1	0.00325732899022801
6	hC48_Mph-FCN1	1	0.00325732899022801
7	hC48_Mph-FCN1	140	0.833333333333333
7	hC46_Mono-CD14|FCGR3A	17	0.101190476190476
7	hC49_Mph-NLRP3	3	0.0178571428571429
7	hC54_Mph-SPP1	3	0.0178571428571429
7	hC44_Mono-CD14	2	0.0119047619047619
7	hC56_Mph-CD3E	2	0.0119047619047619
7	hC45_Mono-FCGR3A	1	0.00595238095238095
8	hC55_Mph-MKI67	68	0.544
8	hC56_Mph-CD3E	53	0.424
8	hC47_Mono-CD3E	3	0.024
8	hC54_Mph-SPP1	1	0.008
9	hC53_Mph-C1QC	86	0.914893617021277
9	hC49_Mph-NLRP3	4	0.0425531914893617
9	hC50_Mph-IL1B	1	0.0106382978723404
9	hC51_Mph-PLTP	1	0.0106382978723404
9	hC52_Mph-CXCL12	1	0.0106382978723404
9	hC55_Mph-MKI67	1	0.0106382978723404
