clean_cluster	value	N	fraction
0	5	616	0.980891719745223
0	1	8	0.0127388535031847
0	10	4	0.00636942675159236
1	1	478	0.877064220183486
1	8	64	0.11743119266055
1	5	3	0.0055045871559633
2	1	472	0.957403651115619
2	5	16	0.0324543610547667
2	8	5	0.0101419878296146
3	8	363	0.947780678851175
3	1	11	0.0287206266318538
3	10	8	0.02088772845953
3	5	1	0.00261096605744125
4	10	366	0.963157894736842
4	5	12	0.0315789473684211
4	1	1	0.00263157894736842
4	8	1	0.00263157894736842
5	1	300	0.9375
5	5	16	0.05
5	8	3	0.009375
5	10	1	0.003125
6	5	299	0.973941368078176
6	1	4	0.0130293159609121
6	8	3	0.00977198697068404
6	10	1	0.00325732899022801
7	10	168	1
8	8	124	0.992
8	1	1	0.008
9	8	93	0.98936170212766
9	1	1	0.0106382978723404
