clean_cluster	value	N	fraction
0	patient12	298	0.474522292993631
0	patient16	116	0.184713375796178
0	patient11	87	0.138535031847134
0	patient17	46	0.0732484076433121
0	patient14	21	0.0334394904458599
0	patient15	21	0.0334394904458599
0	patient13	19	0.0302547770700637
0	patient10	10	0.0159235668789809
0	patient09	9	0.0143312101910828
0	patient08	1	0.00159235668789809
1	patient16	164	0.300917431192661
1	patient17	89	0.163302752293578
1	patient13	70	0.128440366972477
1	patient15	70	0.128440366972477
1	patient12	42	0.0770642201834862
1	patient11	40	0.073394495412844
1	patient14	35	0.0642201834862385
1	patient10	13	0.0238532110091743
1	patient09	12	0.0220183486238532
1	patient08	10	0.018348623853211
2	patient17	206	0.417849898580122
2	patient13	107	0.217038539553753
2	patient16	74	0.150101419878296
2	patient14	36	0.0730223123732252
2	patient15	32	0.0649087221095335
2	patient11	15	0.0304259634888438
2	patient09	10	0.0202839756592292
2	patient12	7	0.0141987829614604
2	patient10	5	0.0101419878296146
2	patient08	1	0.00202839756592292
3	patient13	106	0.276762402088773
3	patient14	71	0.185378590078329
3	patient16	49	0.127937336814621
3	patient11	46	0.120104438642298
3	patient12	39	0.101827676240209
3	patient17	37	0.0966057441253264
3	patient15	15	0.0391644908616188
3	patient10	12	0.031331592689295
3	patient09	7	0.0182767624020888
3	patient08	1	0.00261096605744125
4	patient13	347	0.913157894736842
4	patient14	9	0.0236842105263158
4	patient09	6	0.0157894736842105
4	patient10	6	0.0157894736842105
4	patient11	6	0.0157894736842105
4	patient15	5	0.0131578947368421
4	patient16	1	0.00263157894736842
5	patient11	238	0.74375
5	patient14	14	0.04375
5	patient15	14	0.04375
5	patient16	13	0.040625
5	patient10	12	0.0375
5	patient12	10	0.03125
5	patient13	7	0.021875
5	patient17	6	0.01875
5	patient09	5	0.015625
5	patient08	1	0.003125
6	patient15	121	0.39413680781759
6	patient10	48	0.156351791530945
6	patient11	47	0.153094462540717
6	patient12	27	0.0879478827361564
6	patient16	21	0.0684039087947883
6	patient17	20	0.0651465798045603
6	patient14	11	0.0358306188925081
6	patient13	9	0.0293159609120521
6	patient09	3	0.00977198697068404
7	patient09	166	0.988095238095238
7	patient10	1	0.00595238095238095
7	patient11	1	0.00595238095238095
8	patient11	27	0.216
8	patient16	24	0.192
8	patient14	20	0.16
8	patient17	18	0.144
8	patient13	12	0.096
8	patient15	12	0.096
8	patient12	5	0.04
8	patient10	4	0.032
8	patient08	2	0.016
8	patient09	1	0.008
9	patient17	86	0.914893617021277
9	patient15	3	0.0319148936170213
9	patient16	2	0.0212765957446809
9	patient09	1	0.0106382978723404
9	patient10	1	0.0106382978723404
9	patient12	1	0.0106382978723404
