clean_cluster	value	N	fraction
0	primary tumor	164	0.261146496815287
0	metastasis normal	156	0.248407643312102
0	metastasis tumor	144	0.229299363057325
0	primary normal	89	0.14171974522293
0	lymph node	73	0.116242038216561
0	PBMC	1	0.00159235668789809
0	metastasis normal1	1	0.00159235668789809
1	metastasis tumor	377	0.691743119266055
1	primary tumor	129	0.236697247706422
1	lymph node	14	0.0256880733944954
1	primary normal	11	0.0201834862385321
1	metastasis normal	8	0.0146788990825688
1	metastasis tumor1	3	0.0055045871559633
1	metastasis tumor2	2	0.0036697247706422
1	metastasis normal1	1	0.0018348623853211
2	metastasis tumor	270	0.547667342799189
2	metastasis normal	186	0.377281947261663
2	lymph node	18	0.0365111561866126
2	metastasis normal1	6	0.0121703853955375
2	primary normal	6	0.0121703853955375
2	primary tumor	5	0.0101419878296146
2	metastasis tumor2	2	0.00405679513184584
3	primary tumor	207	0.540469973890339
3	metastasis tumor	125	0.326370757180157
3	lymph node	38	0.0992167101827676
3	metastasis normal	4	0.010443864229765
3	primary normal	3	0.00783289817232376
3	metastasis normal1	2	0.00522193211488251
3	metastasis tumor1	2	0.00522193211488251
3	metastasis normal2	1	0.00261096605744125
3	metastasis tumor2	1	0.00261096605744125
4	metastasis normal	226	0.594736842105263
4	metastasis tumor	89	0.234210526315789
4	primary tumor	40	0.105263157894737
4	primary normal	16	0.0421052631578947
4	metastasis normal1	5	0.0131578947368421
4	lymph node	3	0.00789473684210526
4	metastasis normal2	1	0.00263157894736842
5	metastasis tumor	284	0.8875
5	primary tumor	22	0.06875
5	metastasis normal	7	0.021875
5	lymph node	3	0.009375
5	metastasis normal1	2	0.00625
5	metastasis tumor1	2	0.00625
6	primary tumor	242	0.788273615635179
6	metastasis tumor	49	0.159609120521173
6	lymph node	9	0.0293159609120521
6	primary normal	5	0.0162866449511401
6	metastasis normal	2	0.00651465798045603
7	metastasis normal1	159	0.946428571428571
7	metastasis normal2	7	0.0416666666666667
7	metastasis tumor	2	0.0119047619047619
8	metastasis tumor	48	0.384
8	primary tumor	43	0.344
8	metastasis normal	29	0.232
8	lymph node	3	0.024
8	primary normal	2	0.016
9	primary tumor	88	0.936170212765957
9	primary normal	4	0.0425531914893617
9	lymph node	2	0.0212765957446809
