clean_cluster	value	N	fraction
0	primary tumor	164	0.261146496815287
0	metastasis normal	157	0.25
0	metastasis tumor	144	0.229299363057325
0	primary normal	89	0.14171974522293
0	lymph node	73	0.116242038216561
0	PBMC	1	0.00159235668789809
1	metastasis tumor	382	0.700917431192661
1	primary tumor	129	0.236697247706422
1	lymph node	14	0.0256880733944954
1	primary normal	11	0.0201834862385321
1	metastasis normal	9	0.0165137614678899
2	metastasis tumor	272	0.551724137931035
2	metastasis normal	192	0.389452332657201
2	lymph node	18	0.0365111561866126
2	primary normal	6	0.0121703853955375
2	primary tumor	5	0.0101419878296146
3	primary tumor	207	0.540469973890339
3	metastasis tumor	128	0.33420365535248
3	lymph node	38	0.0992167101827676
3	metastasis normal	7	0.0182767624020888
3	primary normal	3	0.00783289817232376
4	metastasis normal	232	0.610526315789474
4	metastasis tumor	89	0.234210526315789
4	primary tumor	40	0.105263157894737
4	primary normal	16	0.0421052631578947
4	lymph node	3	0.00789473684210526
5	metastasis tumor	286	0.89375
5	primary tumor	22	0.06875
5	metastasis normal	9	0.028125
5	lymph node	3	0.009375
6	primary tumor	242	0.788273615635179
6	metastasis tumor	49	0.159609120521173
6	lymph node	9	0.0293159609120521
6	primary normal	5	0.0162866449511401
6	metastasis normal	2	0.00651465798045603
7	metastasis normal	166	0.988095238095238
7	metastasis tumor	2	0.0119047619047619
8	metastasis tumor	48	0.384
8	primary tumor	43	0.344
8	metastasis normal	29	0.232
8	lymph node	3	0.024
8	primary normal	2	0.016
9	primary tumor	88	0.936170212765957
9	primary normal	4	0.0425531914893617
9	lymph node	2	0.0212765957446809
