cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
0	4.7308684002958e-187	1.24451847752934	0.978	0.601	1.16672676488095e-182	IL1B
0	5.3478600875984e-173	1.85086832340601	0.831	0.331	1.31888925480352e-168	CCL3L3
0	5.14623061740427e-172	1.47731791392314	0.914	0.512	1.26916339486424e-167	NLRP3
0	1.45366071510351e-169	0.9887466864492	0.976	0.746	3.58501805558828e-165	TNFAIP3
0	3.66426787775617e-165	1.27750341188686	0.925	0.583	9.03681744012226e-161	NFKBIZ
0	2.27782867162503e-158	0.660155761439223	0.994	0.915	5.61758106996165e-154	NFKBIA
0	2.32126267390327e-150	0.751729084567865	0.975	0.841	5.72469800638024e-146	PPP1R15A
0	4.1079249259305e-145	0.862289221656669	0.973	0.813	1.01309644523298e-140	BCL2A1
0	4.8591147199978e-140	1.50444985216314	0.83	0.469	1.19835487224586e-135	RBKS
0	4.79681253114442e-135	1.44002872835882	0.846	0.435	1.18298990643084e-130	CCL3
0	6.25115225948189e-134	1.63908149596565	0.779	0.357	1.54165917023342e-129	CCL4L2
0	1.11083378141569e-131	1.12571465300859	0.92	0.564	2.73953827172736e-127	CXCL8
0	3.54826831687951e-127	0.552999637216193	0.99	0.94	8.75073932308826e-123	PNRC1
0	5.13284069390131e-127	1.72461295742905	0.742	0.363	1.26586117192994e-122	THAP2
0	1.00336228755985e-123	0.554190340005684	0.975	0.902	2.4744920735801e-119	ZFP36
0	7.6417853574198e-123	1.09065066577703	0.895	0.573	1.88461710484687e-118	CXCL2
0	2.34617102475904e-111	0.673627388067932	0.933	0.832	5.78612698126076e-107	KLF6
0	1.73157924130995e-110	0.541534127447073	0.992	0.936	4.27042072491859e-106	SOD2
0	1.38467218666396e-108	1.40709552760127	0.772	0.438	3.41487854675066e-104	CLEC4E
0	4.3353659447005e-107	1.44312823818172	0.75	0.38	1.06918794928204e-102	CCL4
0	1.19971834232606e-106	0.729268266849871	0.924	0.784	2.95874537584454e-102	GADD45B
0	1.07711090252704e-105	2.44066367123213	0.489	0.138	2.6563709078122e-101	DNAAF1
0	1.1241593677169e-105	0.823816358963337	0.884	0.697	2.77240183266343e-101	CD83
0	9.54896819036349e-104	0.476935579702491	0.979	0.919	2.35496653510744e-99	DUSP1
0	1.13866202335905e-103	0.682011744443889	0.935	0.799	2.80816828200809e-99	IER3
0	1.2827296896638e-103	1.42477415071829	0.768	0.432	3.16346796064886e-99	LINC00936
0	7.19456861554652e-103	1.17505656316742	0.807	0.491	1.77432451196608e-98	EREG
0	9.22889437645466e-101	0.757883459422228	0.92	0.741	2.27602993112125e-96	FOSB
0	9.86094861785562e-97	0.856789891268432	0.865	0.694	2.43190714813555e-92	ICAM1
0	1.55481197753218e-96	0.772745215931191	0.852	0.755	3.83447729898986e-92	ZFAND5
0	1.19159099866233e-95	0.743256588454791	0.893	0.791	2.93870172090105e-91	PLEK
0	1.59579152684539e-94	1.53804083847361	0.677	0.345	3.93554106350609e-90	BIRC3
0	2.86719765856739e-91	0.492902837630087	0.978	0.935	7.07108286555889e-87	PLAUR
0	3.18120160719224e-91	0.888705989596204	0.844	0.643	7.8454794036575e-87	DUSP2
0	6.00926132142909e-91	0.456547299812026	0.99	0.943	1.48200402709084e-86	NEAT1
0	1.05225369658686e-90	0.481486142538173	0.973	0.917	2.5950680665225e-86	BTG1
