cluster	retain_for_full_integration	manual_annotation	manual_broad_lineage	review_notes
0	FALSE	CD8_T_cell		Top markers CD8A, GZMK, CD8B, CCL5; canonical dotplot supports T cell identity.
1	FALSE	TCF7_IL7R_T_cell		Top markers MAL, LEF1, TCF7, IL7R; canonical dotplot supports T cell identity.
2	FALSE	NK_cell		Top markers SH2D1B, KLRF1, KLRC1, GNLY, NCR1; canonical dotplot supports NK identity.
3	FALSE	B_cell		Top markers FCER2, BANK1, MS4A1, PAX5; canonical dotplot supports B cell identity.
4	TRUE	FCN1_S100A8_S100A9_monocyte	Monocytes	Top markers S100A12, S100A8, S100A9, FCN1, VCAN; canonical dotplot supports monocyte identity.
5	TRUE	TREM2_APOE_C1QC_macrophage	Macrophages	Top markers TREM2, APOE, C1QC, CXCL2, CXCL3; canonical dotplot supports macrophage identity.
6	FALSE	immunoglobulin_high_B_or_plasma_cell		Top markers IGHG1, IGKV1-39, IGHA1 and other immunoglobulin genes; canonical dotplot supports B lineage.
7	FALSE	cycling_lymphoid_dominant		Top markers HJURP, SPC25, UBE2C, TYMS with canonical T/NK signal; insufficient myeloid support.
8	TRUE	KIT_CPA3_TPSAB1_mast_cell_with_PPBP_signal	Mast cells	Canonical dotplot supports KIT, CPA3, TPSB2 and TPSAB1 mast-cell signal; top markers include GATA2 and PPBP, so the PC object should be checked before final figure use.
9	FALSE	CD83_TNFRSF13C_B_cell		Top markers CD83, TNFRSF13C, CR2 and CLEC17A; canonical dotplot supports B cell identity.
10	TRUE	LILRA4_CLEC4C_pDC	Plasmacytoid DCs	Top markers CLEC4C, LILRA4, SCT and PTCRA; canonical dotplot supports pDC identity.
11	TRUE	SPP1_GPNMB_APOE_macrophage	Macrophages	Top markers SPP1, GPNMB, APOE, APOC1, CTSD and IFI30; canonical dotplot supports macrophage identity.
12	FALSE	two_cell_unresolved_cluster		Cluster contains two cells and no marker rows were reported in PC top-marker table.
