record_type	file_name	time	size_bytes	file_type	url
Archive	GSE306459_RAW.tar	11/01/2025 00:29:29	87554498560	TAR	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSE306459_RAW.tar
File	GSM9201748_CRNO1_fragments.tsv.gz	08/24/2025 01:34:09	2911511120	TSV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201748_CRNO1_fragments.tsv.gz
File	GSM9201748_CRNO1_raw_peak_bc_matrix.h5	08/24/2025 01:34:16	62008440	H5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201748_CRNO1_raw_peak_bc_matrix.h5
File	GSM9201749_CRNO2_fragments.tsv.gz	08/24/2025 03:54:54	4282874529	TSV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201749_CRNO2_fragments.tsv.gz
File	GSM9201749_CRNO2_raw_peak_bc_matrix.h5	08/24/2025 03:55:06	127592008	H5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201749_CRNO2_raw_peak_bc_matrix.h5
File	GSM9201750_CRNO3_fragments.tsv.gz	08/24/2025 06:39:45	6963520704	TSV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201750_CRNO3_fragments.tsv.gz
File	GSM9201750_CRNO3_raw_peak_bc_matrix.h5	08/24/2025 06:39:55	111401027	H5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201750_CRNO3_raw_peak_bc_matrix.h5
File	GSM9201751_CRNOTU1_fragments.tsv.gz	08/24/2025 09:32:07	6583328434	TSV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201751_CRNOTU1_fragments.tsv.gz
File	GSM9201751_CRNOTU1_raw_peak_bc_matrix.h5	08/24/2025 09:32:16	96251507	H5	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201751_CRNOTU1_raw_peak_bc_matrix.h5
File	GSM9201752_CRNOTU2_fragments.tsv.gz	08/24/2025 11:39:37	2410694636	TSV	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSM9201752_CRNOTU2_fragments.tsv.gz
