fig2_cluster	fig2_subtype_current_scope	subtype_lineage	review_status	evidence_focus	cells	dominant_dataset	dominant_dataset_fraction	dominant_origin_group	dominant_origin_fraction	top15_average_expression_genes
0	AMs	RTM-like macrophage	assigned	healthy lung/LUAD dominant; C1QA/C1QB/MARCO/FABP4 signal	21023	healthy lung	0.519621367074157	Healthy normal	0.520810540836227	FTL, FTH1, MALAT1, MT-CO1, B2M, CD74, HLA-DRA, S100A6, APOC1, C1QB, RPS27, VIM, C1QA, MT-ATP6, MT-CYB
1	Activated C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA with IL1B and tumor enrichment	11958	kidney cancer	0.317862518815856	Tumor	0.665328650275966	FTH1, CD74, FTL, HLA-DRA, MALAT1, B2M, MT-CO1, HLA-DRB1, ACTB, HLA-DPA1, CST3, SRGN, HLA-DPB1, SAT1, NFKBIA
2	Resting C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA/FOLR2 signal	11765	kidney cancer	0.278198045048874	Tumor	0.553506162345941	FTL, CD74, FTH1, MALAT1, HLA-DRA, B2M, MT-CO1, HLA-DRB1, ACTB, HLA-DPA1, CST3, HLA-DPB1, SAT1, C1QA, C1QC
3	THBS1+ MDSCs	MDSC/monocyte lineage	assigned	IL1B/S100A8/S100A9/THBS1/EREG signal	11199	kidney cancer	0.336190731315296	Tumor	0.500669702652023	FTH1, FTL, MALAT1, B2M, MT-CO1, ACTB, SAT1, SRGN, CD74, IL1B, S100A9, NFKBIA, TIMP1, LYZ, SOD2
4	CD14+ CD16+ Mono	Monocyte lineage	assigned	FCGR3A/FCN1/LST1 signal	10988	kidney cancer	0.371314160902803	Blood	0.472606479796141	FTL, FTH1, ACTB, B2M, MALAT1, MT-CO1, S100A4, CD74, CST3, SAT1, S100A6, RPS27, IFITM3, LST1, PSAP
5	S100A12+ MDSCs	MDSC/monocyte lineage	assigned	S100A8/S100A9/S100A12/FCN1/VCAN/CSF3R signal	8485	TNBC	0.686859163229228	Blood	0.794814378314673	FTL, S100A9, MALAT1, S100A8, ACTB, MT-CO1, FTH1, B2M, LYZ, CD74, S100A6, S100A4, CST3, MT-ND3, RPS27
6	S100A12+ MDSCs	MDSC/monocyte lineage	assigned	S100A8/S100A9/S100A12/FCN1/VCAN/CSF3R signal	7176	TNBC	0.498885172798216	Blood	0.60855629877369	FTL, S100A8, MALAT1, FTH1, S100A9, ACTB, MT-CO1, B2M, LYZ, S100A6, S100A4, CD74, CST3, MT-ND3, RPS27
7	Resting C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA/FOLR2 signal	6320	kidney cancer	0.211075949367089	Tumor	0.499050632911392	FTL, CD74, FTH1, B2M, HLA-DRA, MT-CO1, MALAT1, ACTB, HLA-DRB1, HLA-DPA1, CST3, C1QA, C1QB, HLA-DPB1, C1QC
8	AMs	RTM-like macrophage	scope_limited_assignment	healthy lung/LUAD enriched; C1QA/C1QB/MARCO/FABP4 signal	4254	healthy lung	0.290550070521862	Healthy normal	0.457216737188529	FTL, FTH1, B2M, CD74, HLA-DRA, ACTB, MT-CO1, RPS27, HLA-DRB1, CST3, C1QB, APOC1, C1QA, MALAT1, HLA-DPB1
9	THBS1+ MDSCs	MDSC/monocyte lineage	assigned	IL1B/EREG/NLRP3/FCN1 signal	3690	kidney cancer	0.660433604336043	Adjacent normal	0.560162601626016	FTH1, FTL, B2M, MALAT1, ACTB, MT-CO1, SAT1, CD74, TIMP1, NFKBIA, IL1B, CST3, SRGN, S100A4, PSAP
10	SPP1+ TAMs	SPP1/ISG TAM lineage	assigned	SPP1/FN1/INHBA/IL1B signal	3043	COAD-READ	0.197173841603681	Tumor	0.75944791324351	FTH1, FTL, MALAT1, B2M, MT-CO1, ACTB, SAT1, VIM, SRGN, GAPDH, CD74, TIMP1, IL1B, NFKBIA, SOD2
11	CD14+ Mono	Monocyte lineage	assigned	FCN1/LST1/HLA/CD14 signal	2746	TNBC	0.64857975236708	Blood	0.731245447924254	FTL, FTH1, B2M, ACTB, CD74, MALAT1, MT-CO1, CST3, S100A4, S100A6, HLA-DRA, RPS27, MT-ND3, PSAP, HLA-DRB1
12	SPP1+ TAMs	SPP1/ISG TAM lineage	assigned	SPP1/FN1/C1Q mixed TAM signal	2618	healthy lung	0.241787624140565	Tumor	0.412910618792972	FTL, FTH1, MALAT1, B2M, MT-CO1, VIM, ACTB, CD74, S100A6, RPS27, HLA-DRA, CSTB, GAPDH, SAT1, S100A10
13	Activated C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA with moderate SPP1/IL1B signal	2421	LUAD	0.353159851301115	Tumor	0.371334159438249	FTL, FTH1, B2M, CD74, MT-CO1, ACTB, MALAT1, HLA-DRA, VIM, CST3, HLA-DRB1, GAPDH, MT-ATP6, MT-CYB, RPS27
14	S100A12+ MDSCs	MDSC/monocyte lineage	assigned	VCAN/FCN1/CSF3R/S100A8/S100A9 signal	2073	TNBC	0.914134105161602	Blood	0.933912204534491	MALAT1, MT-CO1, NEAT1, CD74, B2M, ACTB, LYZ, FTH1, FTL, MT-ND3, SAT1, MT-CYB, MT-ATP6, VIM, VCAN
15	AMs	RTM-like macrophage	assigned	LUAD/healthy lung enriched; C1QA/C1QB/MARCO/FABP4 signal	1855	LUAD	0.663072776280323	Adjacent normal	0.497035040431267	FTL, FTH1, MALAT1, B2M, MT-CO1, CD74, HLA-DRA, S100A6, ACTB, VIM, APOC1, RPS27, MT-ATP6, S100A4, S100A10
16	Activated C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA with TAM activation signal	1725	LUAD	0.379710144927536	Tumor	0.463188405797102	FTL, FTH1, B2M, CD74, MALAT1, MT-CO1, ACTB, HLA-DRA, APOE, APOC1, CTSD, VIM, HLA-DRB1, PSAP, CTSB
17	SPP1+ TAMs	SPP1/ISG TAM lineage	assigned	SPP1/FN1/IL1B signal	1529	LUAD	0.330281229561805	Tumor	0.510137344669719	FTL, FTH1, MALAT1, ACTB, B2M, CD74, MT-CO1, VIM, HLA-DRA, S100A6, GAPDH, S100A10, HLA-DRB1, LGALS1, MT-ATP6
18	HSP+ Mono	Monocyte lineage	assigned	HSPA1A/HSPA1B/DNAJB1 heat-shock program with monocyte markers	1513	kidney cancer	0.368142762723067	Tumor	0.59881031064111	FTH1, FTL, MALAT1, HSPA1A, B2M, ACTB, CD74, MT-CO1, HSP90AA1, SAT1, HLA-DRA, DNAJB1, SRGN, GAPDH, HSPA1B
19	AMs	RTM-like macrophage	small_cluster_review	healthy lung dominant; C1Q/MARCO/FABP4 signal	1474	healthy lung	0.978968792401628	Healthy normal	0.980325644504749	FTL, MALAT1, FTH1, MT-CO1, RPS27, S100A6, RPS29, B2M, MT-ATP6, MT-CYB, CD74, NEAT1, ACTB, MT-ND3, SAT1
20	THBS1+ MDSCs	MDSC/monocyte lineage	assigned	IL1B/THBS1/EREG/S100A8/S100A9 signal	1356	kidney cancer	0.238200589970502	Tumor	0.443952802359882	FTH1, FTL, MALAT1, B2M, ACTB, MT-CO1, CD74, SAT1, SRGN, HLA-DRA, LYZ, CST3, S100A6, S100A4, RPS27
21	CD14+ CD16+ Mono	Monocyte lineage	assigned	FCGR3A/FCN1/LST1 signal	1318	TNBC	0.315629742033384	Blood	0.468892261001517	FTL, FTH1, ACTB, B2M, MALAT1, MT-CO1, S100A4, CST3, CD74, S100A6, RPS27, SAT1, LST1, MT-ND3, IFITM3
22	CD14+ Mono	Monocyte lineage	assigned	FCN1/HLA/CD14 signal	1084	TNBC	0.546125461254613	Blood	0.591328413284133	FTL, CD74, ACTB, FTH1, B2M, MT-CO1, MALAT1, CST3, HLA-DRA, LYZ, S100A4, S100A6, HLA-DRB1, RPS27, SH3BGRL3
23	ISG15+ TAMs	SPP1/ISG TAM lineage	assigned	CXCL10/CXCL9/ISG15/GBP1 signal	1005	LUAD	0.164179104477612	Tumor	0.651741293532338	FTH1, FTL, B2M, CD74, MALAT1, ACTB, HLA-DRA, MT-CO1, HLA-DRB1, SAT1, CST3, SRGN, HLA-DPA1, HLA-DPB1, HLA-A
24	Activated C1QC+ TAMs	C1QC TAM lineage	mixed_marker_review	C1Q/HLA/ISG15 signal with mixed IL1B	932	LUAD	0.219957081545064	Tumor	0.567596566523605	FTL, CD74, FTH1, B2M, ACTB, MALAT1, HLA-DRA, MT-CO1, HLA-DRB1, CST3, HLA-DPA1, GAPDH, LGALS1, HLA-DPB1, VIM
25	ISG15+ TAMs	SPP1/ISG TAM lineage	assigned	C1Q plus CXCL10/ISG15/GBP1 signal	879	TNBC	0.189988623435722	Tumor	0.605233219567691	FTL, CD74, FTH1, B2M, HLA-DRA, MALAT1, ACTB, MT-CO1, HLA-DRB1, HLA-DPA1, CST3, HLA-DPB1, C1QB, SAT1, C1QA
26	SPP1+ TAMs	SPP1/ISG TAM lineage	assigned	SPP1/FN1/C1Q mixed TAM signal	778	LUAD	0.236503856041131	Tumor	0.637532133676093	FTL, FTH1, MALAT1, B2M, MT-CO1, CD74, ACTB, VIM, SAT1, HLA-DRA, GAPDH, MT-ATP6, NFKBIA, S100A6, SRGN
27	Activated C1QC+ TAMs	C1QC TAM lineage	mixed_marker_review	C1Q with SPP1/IL1B mixed signal	757	healthy colon	0.179656538969617	Healthy normal	0.389696169088507	FTL, FTH1, MT-CO1, B2M, CD74, MALAT1, HLA-DRA, ACTB, CST3, MT-ATP6, RPS27, MT-ND3, MT-CYB, C1QA, HLA-DRB1
28	Resting C1QC+ TAMs	C1QC TAM lineage	assigned	C1Q/HLA/FOLR2 signal	742	kidney cancer	0.208894878706199	Tumor	0.456873315363881	FTL, CD74, FTH1, B2M, HLA-DRA, ACTB, HLA-DRB1, CST3, HLA-DPA1, MT-CO1, MALAT1, HLA-DPB1, C1QA, SAT1, C1QB
29	AMs	RTM-like macrophage	small_cluster_review	healthy lung/LUAD enriched; C1Q/MARCO/FABP4 signal	309	healthy lung	0.854368932038835	Healthy normal	0.854368932038835	FTL, FTH1, MT2A, MALAT1, MT-CO1, S100A6, B2M, APOC1, CSTB, RPS27, MT1X, CD74, S100A10, MT-ATP6, C1QB
30	CD16+ Mono	Monocyte lineage	small_cluster_review	TNBC blood-dominant FCGR3A/FCN1 signal	286	TNBC	0.972027972027972	Blood	0.975524475524475	MALAT1, MT-CO1, B2M, ACTB, CD74, SAT1, PSAP, FTL, NEAT1, FTH1, CTSS, MT-CYB, MT-ND3, CST3, S100A4
31	S100A12+ MDSCs	MDSC/monocyte lineage	small_cluster_review	TNBC blood-dominant S100A8/S100A9/S100A12 signal	233	TNBC	0.978540772532189	Blood	0.978540772532189	MT-CO1, FTL, MALAT1, S100A9, S100A8, LYZ, ACTB, FTH1, B2M, MT-ND3, S100A6, S100A4, CD74, MT-CYB, CST3
32	CD16+ Mono	Monocyte lineage	small_cluster_review	TNBC blood-dominant FCGR3A/FCN1 signal	86	TNBC	1	Blood	1	FTL, ACTB, FTH1, MT-CO1, B2M, MALAT1, CD74, S100A4, CST3, S100A6, RPS27, MT-ATP8, COTL1, MT-ND3, SAT1
