cluster	group	Freq
0	Post-treatment	62511
1	Post-treatment	52216
2	Post-treatment	28825
3	Post-treatment	18670
4	Post-treatment	18354
5	Post-treatment	5545
6	Post-treatment	3635
7	Post-treatment	4291
8	Post-treatment	1059
9	Post-treatment	1825
10	Post-treatment	704
11	Post-treatment	2
12	Post-treatment	0
0	Pre-treatment	61906
1	Pre-treatment	54743
2	Pre-treatment	21799
3	Pre-treatment	33104
4	Pre-treatment	18918
5	Pre-treatment	9365
6	Pre-treatment	6096
7	Pre-treatment	4772
8	Pre-treatment	798
9	Pre-treatment	4
10	Pre-treatment	835
11	Pre-treatment	293
12	Pre-treatment	2
0	Progression	17049
1	Progression	17152
2	Progression	17039
3	Progression	6523
4	Progression	13279
5	Progression	5284
6	Progression	765
7	Progression	1412
8	Progression	401
9	Progression	0
10	Progression	313
11	Progression	1
12	Progression	0
