cluster	sample_id_from_title	Freq
0	Post_P001_b	1101
1	Post_P001_b	2735
2	Post_P001_b	698
3	Post_P001_b	1013
4	Post_P001_b	278
5	Post_P001_b	30
6	Post_P001_b	12
7	Post_P001_b	9
8	Post_P001_b	12
9	Post_P001_b	0
10	Post_P001_b	3
11	Post_P001_b	0
12	Post_P001_b	0
0	Post_P002_b	2130
1	Post_P002_b	2024
2	Post_P002_b	625
3	Post_P002_b	985
4	Post_P002_b	61
5	Post_P002_b	2
6	Post_P002_b	17
7	Post_P002_b	33
8	Post_P002_b	6
9	Post_P002_b	0
10	Post_P002_b	3
11	Post_P002_b	0
12	Post_P002_b	0
0	Post_P002_t	3578
1	Post_P002_t	833
2	Post_P002_t	245
3	Post_P002_t	407
4	Post_P002_t	4
5	Post_P002_t	35
6	Post_P002_t	244
7	Post_P002_t	60
8	Post_P002_t	6
9	Post_P002_t	0
10	Post_P002_t	14
11	Post_P002_t	0
12	Post_P002_t	0
0	Post_P003_t	2745
1	Post_P003_t	692
2	Post_P003_t	334
3	Post_P003_t	62
4	Post_P003_t	12
5	Post_P003_t	368
6	Post_P003_t	8
7	Post_P003_t	75
8	Post_P003_t	24
9	Post_P003_t	0
10	Post_P003_t	29
11	Post_P003_t	0
12	Post_P003_t	0
0	Post_P004_b	2110
1	Post_P004_b	3945
2	Post_P004_b	1439
3	Post_P004_b	579
4	Post_P004_b	295
5	Post_P004_b	89
6	Post_P004_b	9
7	Post_P004_b	106
8	Post_P004_b	38
9	Post_P004_b	0
10	Post_P004_b	39
11	Post_P004_b	0
12	Post_P004_b	0
0	Post_P005_b	2073
1	Post_P005_b	1760
2	Post_P005_b	1075
3	Post_P005_b	314
4	Post_P005_b	55
5	Post_P005_b	6
6	Post_P005_b	1
7	Post_P005_b	24
8	Post_P005_b	8
9	Post_P005_b	0
10	Post_P005_b	0
11	Post_P005_b	0
12	Post_P005_b	0
0	Post_P005_t	1992
1	Post_P005_t	567
2	Post_P005_t	611
3	Post_P005_t	24
4	Post_P005_t	18
5	Post_P005_t	331
6	Post_P005_t	14
7	Post_P005_t	98
8	Post_P005_t	53
9	Post_P005_t	0
10	Post_P005_t	35
11	Post_P005_t	0
12	Post_P005_t	0
0	Post_P007_b	948
1	Post_P007_b	1306
2	Post_P007_b	934
3	Post_P007_b	657
4	Post_P007_b	90
5	Post_P007_b	38
6	Post_P007_b	16
7	Post_P007_b	50
8	Post_P007_b	6
9	Post_P007_b	0
10	Post_P007_b	11
11	Post_P007_b	0
12	Post_P007_b	0
0	Post_P008_b	1244
1	Post_P008_b	1008
2	Post_P008_b	308
3	Post_P008_b	705
4	Post_P008_b	64
5	Post_P008_b	45
6	Post_P008_b	55
7	Post_P008_b	59
8	Post_P008_b	16
9	Post_P008_b	0
10	Post_P008_b	2
11	Post_P008_b	0
12	Post_P008_b	0
0	Post_P010_b	1476
1	Post_P010_b	1810
