cluster	tissue	Freq
0	blood	70139
1	blood	98111
2	blood	55907
3	blood	37222
4	blood	49453
5	blood	3557
6	blood	2126
7	blood	2977
8	blood	1612
9	blood	0
10	blood	1138
11	blood	4
12	blood	0
0	brain	31
1	brain	6
2	brain	2
3	brain	4
4	brain	90
5	brain	1866
6	brain	8
7	brain	178
8	brain	38
9	brain	0
10	brain	15
11	brain	0
12	brain	0
0	breast	28264
1	breast	8348
2	breast	2070
3	breast	3010
4	breast	118
5	breast	2096
6	breast	4893
7	breast	1225
8	breast	167
9	breast	3
10	breast	224
11	breast	0
12	breast	0
0	chest_wall	12320
1	chest_wall	3155
2	chest_wall	977
3	chest_wall	930
4	chest_wall	188
5	chest_wall	3546
6	chest_wall	1058
7	chest_wall	630
8	chest_wall	202
9	chest_wall	0
10	chest_wall	146
11	chest_wall	1
12	chest_wall	1
0	liver	11183
1	liver	2833
2	liver	6906
3	liver	431
4	liver	464
5	liver	7334
6	liver	121
7	liver	1147
8	liver	135
9	liver	0
10	liver	146
11	liver	1
12	liver	0
0	lung	0
1	lung	0
2	lung	0
3	lung	0
4	lung	1
5	lung	2
6	lung	3
7	lung	2
8	lung	0
9	lung	0
10	lung	0
11	lung	0
12	lung	0
0	lymph_node	19529
1	lymph_node	11658
2	lymph_node	1801
3	lymph_node	16700
4	lymph_node	237
5	lymph_node	1793
6	lymph_node	2287
7	lymph_node	4316
8	lymph_node	104
9	lymph_node	1826
10	lymph_node	183
11	lymph_node	290
12	lymph_node	1
