p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.80828577956108	0.852	0.31	0	0	CCL5
0	1.28359942282049	0.755	0.272	0	0	CST7
0	1.3878915027466	0.711	0.236	0	0	GZMA
0	1.05344872580928	0.765	0.305	0	0	NKG7
0	1.32682585084498	0.861	0.414	0	0	CD3E
0	1.27202551966857	0.933	0.492	0	0	IL32
0	1.56820792890464	0.751	0.312	0	0	CD3D
0	3.67784501811462	0.513	0.08	0	0	CD8A
0	3.19265458089581	0.431	0.078	0	0	GZMK
0	1.59466703118556	0.564	0.231	0	0	CD3G
0	1.80345436720754	0.493	0.172	0	0	GZMH
0	2.59916511469393	0.388	0.069	0	0	CD8B
0	1.19202556813595	0.524	0.208	0	0	CCL4
0	1.28221272578449	0.586	0.273	0	0	GZMM
0	1.25138144219102	0.644	0.332	0	0	CD2
0	0.574295786848195	0.544	0.257	0	0	CTSW
0	2.34640103627989	0.384	0.106	0	0	KLRG1
0	1.75231049600374	0.529	0.258	0	0	DUSP2
0	0.494138987025214	0.489	0.22	0	0	PRF1
0	0.97200447099898	0.575	0.342	0	0	LCK
0	1.17562327578543	0.46	0.264	0	0	FYN
0	0.851961938572551	0.815	0.619	0	0	HCST
0	1.67243587608474	0.452	0.257	0	0	TNFAIP3
0	1.8515060554231	0.549	0.356	0	0	DNAJB1
0	1.38068884875557	0.404	0.211	0	0	NR4A2
0	0.663893289418084	0.88	0.688	0	0	PTPRCAP
0	0.501738609079417	0.93	0.74	0	0	IFITM1
0	1.33518101679511	0.354	0.164	0	0	CD6
0	1.18528504698104	0.438	0.253	0	0	CD69
0	0.662971757713172	0.372	0.188	0	0	KLRD1
0	1.42630639688131	0.624	0.443	0	0	ANXA1
0	0.677508109098366	0.822	0.642	0	0	SRGN
0	0.928828061766273	0.712	0.533	0	0	CD99
0	0.832767296331756	0.431	0.257	0	0	SPOCK2
0	1.18981386998898	0.374	0.201	0	0	ITM2A
0	0.894868813451206	0.439	0.266	0	0	SYNE2
0	1.27764030619509	0.312	0.142	0	0	SAMD3
0	0.903483668142099	0.42	0.25	0	0	LAT
0	0.817144647740892	0.679	0.51	0	0	RARRES3
0	0.297291628483104	0.365	0.196	0	0	GZMB
0	1.12625116644983	0.348	0.186	0	0	CD96
0	1.09110478483247	0.319	0.162	0	0	SH2D2A
0	1.11382681563352	0.333	0.178	0	0	TC2N
0	0.900584920727792	0.523	0.372	0	0	SLC9A3R1
0	0.971621151140651	0.361	0.21	0	0	C12orf75
