p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.67784501811462	0.513	0.08	0	0	CD8A
0	3.19265458089581	0.431	0.078	0	0	GZMK
0	2.59916511469393	0.388	0.069	0	0	CD8B
0	2.34640103627989	0.384	0.106	0	0	KLRG1
0	1.8515060554231	0.549	0.356	0	0	DNAJB1
0	1.80828577956108	0.852	0.31	0	0	CCL5
0	1.80345436720754	0.493	0.172	0	0	GZMH
0	1.75231049600374	0.529	0.258	0	0	DUSP2
0	1.69179820003456	0.381	0.237	0	0	RGCC
0	1.67243587608474	0.452	0.257	0	0	TNFAIP3
0	4.35442150014251	0.4	0.024	0	1	MAL
0	3.61826794772203	0.474	0.056	0	1	LEF1
0	2.66591468707706	0.541	0.116	0	1	TCF7
0	2.37292803912217	0.346	0.086	0	1	RCAN3
0	2.16180358293636	0.403	0.103	0	1	CAMK4
0	2.15536767801144	0.324	0.08	0	1	AQP3
0	2.12750961518157	0.339	0.092	0	1	OXNAD1
0	2.0827064752632	0.808	0.225	0	1	IL7R
0	2.07709308429354	0.315	0.085	0	1	INPP4B
0	2.07570726991828	0.251	0.072	0	1	LDLRAP1
0	6.04481233161699	0.481	0.013	0	2	SH2D1B
0	4.8296554407402	0.67	0.034	0	2	KLRF1
0	4.53886584282581	0.402	0.024	0	2	KLRC1
0	4.36614359104688	0.564	0.066	0	2	SPON2
0	4.25510738697324	0.302	0.018	0	2	NCR1
0	3.99931697265146	0.353	0.047	0	2	IGFBP7
0	3.96083644136089	0.931	0.16	0	2	GNLY
0	3.91746282868713	0.487	0.031	0	2	TRDC
0	3.79359708888122	0.637	0.093	0	2	CLIC3
0	3.48335805895727	0.449	0.058	0	2	XCL2
0	7.60311135666222	0.558	0.007	0	3	LINC00926
0	7.1280266017593	0.4	0.006	0	3	LINC02397
0	6.68415190652338	0.456	0.009	0	3	FCER2
0	6.45858753059263	0.304	0.006	0	3	FCRL1
0	6.29074203451067	0.709	0.02	0	3	BANK1
0	5.95370988916347	0.488	0.012	0	3	FAM129C
0	5.74036994902736	0.499	0.013	0	3	VPREB3
0	5.73643026294488	0.331	0.014	0	3	HLA-DOB
0	5.7094863666488	0.925	0.033	0	3	MS4A1
0	5.61705973887439	0.272	0.009	0	3	PAX5
0	7.3540547821507	0.628	0.011	0	4	S100A12
0	7.31066787226075	0.9	0.064	0	4	S100A8
0	7.30006222987007	0.94	0.077	0	4	S100A9
0	7.0732986139812	0.953	0.023	0	4	FCN1
0	6.97941150211074	0.253	0.003	0	4	LINC00937
0	6.8923870062256	0.442	0.004	0	4	CDA
0	6.87289605431169	0.769	0.024	0	4	VCAN
0	6.85537789727507	0.383	0.004	0	4	RBP7
0	6.74724577039944	0.437	0.007	0	4	GPBAR1
0	6.68789116038155	0.44	0.006	0	4	HK3
0	7.55832735954742	0.277	0.003	0	5	CXCL3
0	7.51450073552024	0.418	0.002	0	5	OLR1
0	7.32976992708144	0.485	0.004	0	5	TREM2
0	7.32208821617519	0.381	0.006	0	5	CXCL2
0	7.22692992810307	0.6	0.021	0	5	APOE
0	7.20639450158343	0.631	0.013	0	5	C1QC
0	7.18463132593082	0.354	0.002	0	5	SLCO2B1
0	7.12689478276877	0.345	0.002	0	5	SDS
0	7.08625721570502	0.463	0.008	0	5	CXCL8
0	7.07568981670397	0.318	0.002	0	5	OLFML3
0	9.90061447588617	0.287	0	0	6	DPEP1
0	8.32944974510351	0.822	0.074	0	6	IGHG1
0	8.22897017800592	0.252	0.034	0	6	IGKV1-39
0	8.19731299609177	0.266	0.037	0	6	IGHV4-39
0	8.1553497916068	0.478	0.06	0	6	IGKV4-1
0	8.06014717405521	0.587	0.032	0	6	IGLV3-1
0	7.82132203580634	0.252	0.001	0	6	IGHJ4
0	7.80597106605752	0.447	0.036	0	6	IGHA1
0	7.79003084105056	0.432	0.067	0	6	IGKV3-11
0	7.58288971271566	0.369	0.059	0	6	IGKV1-5
0	7.90424393015038	0.25	0.001	0	7	HJURP
0	7.70607327704899	0.25	0.001	0	7	SPC25
0	7.68120220614338	0.339	0.002	0	7	PKMYT1
0	7.56069972696777	0.467	0.004	0	7	UBE2C
0	7.45707814813772	0.279	0.002	0	7	DLGAP5
0	7.4481568341785	0.397	0.003	0	7	UHRF1
0	7.44227401278421	0.628	0.008	0	7	TYMS
0	7.3240780524899	0.346	0.002	0	7	GTSE1
0	7.30642559150733	0.28	0.001	0	7	CKAP2L
0	7.3054926660541	0.387	0.004	0	7	CCNB2
0	9.39195307287464	0.277	0.001	0	8	GATA2
0	5.4230249805027	0.344	0.027	0	8	PPBP
0	5.2787858704355	0.296	0.01	0	8	CAVIN2
0	4.86691338691184	0.403	0.03	0	8	CLU
0	4.85490320914958	0.295	0.017	0	8	SPARC
0	4.08486460813913	0.282	0.045	0	8	NRGN
0	3.3578623504608	0.287	0.055	0	8	SOX4
0	2.45525172234694	0.314	0.064	0	8	BEX3
1.90326680321051e-229	2.10904912167599	0.254	0.076	4.55775301364822e-225	8	MPP1
1.33631699679682e-186	1.17872790454779	0.369	0.152	3.20007831222935e-182	8	STMN1
0	4.55231452877083	0.364	0.021	0	9	SEMA7A
0	4.44067782242234	0.341	0.02	0	9	CR2
0	4.04383849183215	0.618	0.058	0	9	RUBCNL
0	4.00810821985673	0.413	0.033	0	9	GRASP
0	3.8873578120076	0.316	0.025	0	9	CLEC17A
0	3.74736818001588	0.922	0.159	0	9	CD83
0	3.7216587325562	0.409	0.036	0	9	PLEKHG1
0	3.56935181812811	0.286	0.022	0	9	COL19A1
0	3.556687362461	0.597	0.059	0	9	TNFRSF13C
0	3.47501452072682	0.482	0.059	0	9	PHACTR1
0	12.1984879524078	0.286	0	0	10	AC097375.1
0	11.0838894000853	0.659	0.001	0	10	SCT
0	11.0064272965733	0.343	0	0	10	SHD
0	10.5750379949691	0.254	0	0	10	CUX2
0	10.4597239245767	0.753	0.001	0	10	CLEC4C
0	10.4253817084625	0.679	0.001	0	10	LRRC26
0	9.8074817442031	0.834	0.004	0	10	LILRA4
0	9.56596085394941	0.558	0.001	0	10	PTCRA
0	9.32576834665453	0.355	0	0	10	EPHB1
0	8.9981350402478	0.549	0.002	0	10	PTPRS
0	7.26475672132949	0.645	0.015	0	11	NUPR1
0	6.51634471311243	0.416	0.012	0	11	FN1
0	6.51143509343697	0.682	0.022	0	11	GPNMB
0	6.4681992688672	0.736	0.019	0	11	SPP1
