relative_path	file_type	dataset	description	bytes	sha256	created_by	source_command	notes
STATUS.md	status	GSE169246_TNBC	Remote handoff status	NA	NA	Codex desktop worker	manual handoff packaging	uploaded; checksum omitted because this file is final metadata
upload_manifest.tsv	manifest	GSE169246_TNBC	Remote upload manifest	NA	NA	Codex desktop worker	manual handoff packaging	uploaded; checksum omitted because this file is final metadata
checksums.sha256	checksum_manifest	GSE169246_TNBC	SHA256 checksums for payload files	NA	NA	Codex desktop worker	manual handoff packaging	uploaded; checksum omitted because this file is final metadata
logs/export_tnbc_pre_supp_fig_s1_portable.log	log	GSE169246_TNBC	Portable export structured log	903	8151c577b631793e4059af4a1b416657e755f8ae0f12ff95693fe1b4b7dd5512	Codex desktop worker	Rscript ../desktop_exchange/requests/20260702_tnbc_pre_supp_fig_s1_portable/export_tnbc_pre_supp_fig_s1_portable.R	uploaded to GitHub handoff folder
tables/set2_TNBC_pre_supp_fig_s1_portable_summary.tsv	table	GSE169246_TNBC	Portable export summary table	412	d611deaac26a791d38bc540e9b58dc32a9f302c8e59aa31cc066f846ea124340	Codex desktop worker	Rscript ../desktop_exchange/requests/20260702_tnbc_pre_supp_fig_s1_portable/export_tnbc_pre_supp_fig_s1_portable.R	uploaded to GitHub handoff folder
tables/set2_TNBC_pre_supp_fig_s1_portable_layer_check.tsv	table	GSE169246_TNBC	Portable counts and data layer materialization check	148	dc71450becd33874686e7e5ebe257135cbc1ddf4d59e06ba9e6f41b0074f218b	Codex desktop worker	Rscript ../desktop_exchange/requests/20260702_tnbc_pre_supp_fig_s1_portable/export_tnbc_pre_supp_fig_s1_portable.R	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.chunks.tsv	chunk_manifest	GSE169246_TNBC	Split RDS chunk manifest	1856	031670c3004b94bc4cbf556e926414ad4f7e93dd615f01c6b475bf420c141352	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.sha256	checksum	GSE169246_TNBC	Original unsplit portable RDS SHA256 checksum	122	b414637b40bb0a2422b32c46ca2ac05101ef1128c5630952de0badd644c8af7c	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part000	binary_chunk	GSE169246_TNBC	Portable RDS chunk 0 of 13	20971520	ae604d202535a54125b0156e2a055d00018c275cc7be907fe6e4a1a2262c3b55	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part001	binary_chunk	GSE169246_TNBC	Portable RDS chunk 1 of 13	20971520	175f3c33523d7cfb8505f91a88bc410845e25eb7b7f6590a4e6a1e8aa39aefa0	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part002	binary_chunk	GSE169246_TNBC	Portable RDS chunk 2 of 13	20971520	0a8312b7a4f3bb526132ab6489080dc2135b3a9fd056fa1b521d375c7009dd89	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
