relative_path	file_type	dataset	description	bytes	sha256	created_by	source_command	notes
STATUS.md	status	GSE169246_TNBC	Remote handoff status	NA	NA	Codex desktop worker	Rscript ../full_scope_integration_pc/scripts/make_standard_seurat_object_from_review.R with STANDARDIZE_* environment variables from request README	uploaded; checksum omitted because this file is final metadata
upload_manifest.tsv	manifest	GSE169246_TNBC	Remote upload manifest	NA	NA	Codex desktop worker	manual handoff packaging	uploaded; checksum omitted because this file is final metadata
checksums.sha256	checksum_manifest	GSE169246_TNBC	SHA256 checksums for data payload and split RDS chunks	NA	NA	Codex desktop worker	manual handoff packaging	uploaded; checksum omitted because this file is final metadata
files/set2_TNBC_standard_myeloid.rds.chunks.tsv	chunk_manifest	GSE169246_TNBC	Chunk manifest for split standard TNBC myeloid RDS	494	9fd7791ab5c1b888f71968f7f2c94d36a26c2a7f387fe1e49291649103bc1002	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid.rds.sha256	checksum	GSE169246_TNBC	Original unsplit standard RDS SHA256 checksum	97	a045f90ab0a7002b8a50335f521743ca6c32961ba32a038e3d7b2c8904785e0f	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid.rds.part000	binary_chunk	GSE169246_TNBC	Standard TNBC myeloid RDS chunk 0 of 4	20971520	bae93955a6abcf003a482450153b0c7446250468f44007780577834e73ad47a9	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid.rds.part001	binary_chunk	GSE169246_TNBC	Standard TNBC myeloid RDS chunk 1 of 4	20971520	361dc4b7d5964168dfb735e4fc7089ef47183ea4d4cdc0492f8247d966fdf9c2	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid.rds.part002	binary_chunk	GSE169246_TNBC	Standard TNBC myeloid RDS chunk 2 of 4	20971520	19f082376e422408a351a5b3a3589e9621fd17f3cbba949c45e8089f75c70bd7	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid.rds.part003	binary_chunk	GSE169246_TNBC	Standard TNBC myeloid RDS chunk 3 of 4	19229793	cb1e48161a91f4f4d4f68f06974f7742f3d60cecd18600393ba5c53acff941e7	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
logs/standardize_tnbc_standard_object.log	log	GSE169246_TNBC	Standard object generation log	1474	5cacfcee9388a960e6fe63ea5f6b9f48e5d27912d2014b72733e84ff15d534b9	Codex desktop worker	Rscript ../full_scope_integration_pc/scripts/make_standard_seurat_object_from_review.R with STANDARDIZE_* environment variables from request README	uploaded to GitHub handoff folder
tables/set2_TNBC_standard_object_summary.tsv	table	GSE169246_TNBC	Standard object summary table	219	9730c0d9a40a38888add2f8d9c2fd0d76a7e3972b55ec2674e8e5c491c26cfd3	Codex desktop worker	Rscript ../full_scope_integration_pc/scripts/make_standard_seurat_object_from_review.R with STANDARDIZE_* environment variables from request README	uploaded to GitHub handoff folder
