record_type	file_name	url	size_bytes	local_path	required_for_scope
Archive	GSE306459_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306459/suppl/GSE306459_RAW.tar	87554498560	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSE306459_RAW.tar	download_archive
File	GSM9201748_CRNO1_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201748_CRNO1_raw_peak_bc_matrix.h5	62008440	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201748_CRNO1_raw_peak_bc_matrix.h5	fig4c
File	GSM9201749_CRNO2_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201749_CRNO2_raw_peak_bc_matrix.h5	127592008	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201749_CRNO2_raw_peak_bc_matrix.h5	fig4c
File	GSM9201750_CRNO3_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201750_CRNO3_raw_peak_bc_matrix.h5	111401027	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201750_CRNO3_raw_peak_bc_matrix.h5	fig4c
File	GSM9201751_CRNOTU1_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201751_CRNOTU1_raw_peak_bc_matrix.h5	96251507	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201751_CRNOTU1_raw_peak_bc_matrix.h5	fig4c
File	GSM9201752_CRNOTU2_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201752_CRNOTU2_raw_peak_bc_matrix.h5	75961871	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201752_CRNOTU2_raw_peak_bc_matrix.h5	fig4c
File	GSM9201753_CRTU1_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201753_CRTU1_raw_peak_bc_matrix.h5	125823215	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201753_CRTU1_raw_peak_bc_matrix.h5	fig4c
File	GSM9201754_CRTU2_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201754_CRTU2_raw_peak_bc_matrix.h5	161408526	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201754_CRTU2_raw_peak_bc_matrix.h5	fig4c
File	GSM9201755_CRTU3_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201755_CRTU3_raw_peak_bc_matrix.h5	166598234	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201755_CRTU3_raw_peak_bc_matrix.h5	fig4c
File	GSM9201756_CRTU4_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201756_CRTU4_raw_peak_bc_matrix.h5	128336330	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201756_CRTU4_raw_peak_bc_matrix.h5	fig4c
File	GSM9201757_CRTU5_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201757_CRTU5_raw_peak_bc_matrix.h5	113774751	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201757_CRTU5_raw_peak_bc_matrix.h5	fig4c
File	GSM9201758_CRTU6_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201758_CRTU6_raw_peak_bc_matrix.h5	99949590	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201758_CRTU6_raw_peak_bc_matrix.h5	fig4c
File	GSM9201759_CRTU7_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201759_CRTU7_raw_peak_bc_matrix.h5	104053253	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201759_CRTU7_raw_peak_bc_matrix.h5	fig4c
File	GSM9201760_CRTU8_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201760_CRTU8_raw_peak_bc_matrix.h5	47866936	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201760_CRTU8_raw_peak_bc_matrix.h5	fig4c
File	GSM9201761_CRTU9_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201761_CRTU9_raw_peak_bc_matrix.h5	79541389	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201761_CRTU9_raw_peak_bc_matrix.h5	fig4c
File	GSM9201762_CRTU10_raw_peak_bc_matrix.h5	archive_member:GSE306459_RAW.tar:GSM9201762_CRTU10_raw_peak_bc_matrix.h5	71480811	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-cancer-mono-mac\fig4_snatac\raw\GSE306459/GSM9201762_CRTU10_raw_peak_bc_matrix.h5	fig4c
