Sample	Tissue	tissue_group	predicted_label	N	sample_total	proportion
CR008_1N	CR008N	Adjacent normal	Activated C1QC+ TAMs	751	1030	0.729126213592233
CR007_1N	CR007N	Adjacent normal	Activated C1QC+ TAMs	1194	1849	0.645754461871282
CR011_1N	CR011N	Adjacent normal	Activated C1QC+ TAMs	604	943	0.64050901378579
CR011_1N	CR011N	Adjacent normal	SPP1+ TAMs	83	943	0.088016967126193
CR008_1N	CR008N	Adjacent normal	pDCs	182	1030	0.176699029126214
CR007_1N	CR007N	Adjacent normal	pDCs	495	1849	0.267712276906436
CR012N	CR012N	Adjacent normal	Activated C1QC+ TAMs	267	363	0.735537190082645
CR008_1N	CR008N	Adjacent normal	CD1C+ DCs	34	1030	0.0330097087378641
CR008_1N	CR008N	Adjacent normal	SPP1+ TAMs	56	1030	0.054368932038835
CR007_1N	CR007N	Adjacent normal	SPP1+ TAMs	82	1849	0.0443482963764197
CR007_1N	CR007N	Adjacent normal	S100A12+ MDSCs	20	1849	0.0108166576527853
CR011_1N	CR011N	Adjacent normal	pDCs	219	943	0.232237539766702
CR011_1N	CR011N	Adjacent normal	CD1C+ DCs	26	943	0.0275715800636267
CR012N	CR012N	Adjacent normal	SPP1+ TAMs	20	363	0.0550964187327824
CR012N	CR012N	Adjacent normal	S100A12+ MDSCs	4	363	0.0110192837465565
CR008_1N	CR008N	Adjacent normal	S100A12+ MDSCs	5	1030	0.00485436893203884
CR012N	CR012N	Adjacent normal	CD1C+ DCs	15	363	0.0413223140495868
CR007_1N	CR007N	Adjacent normal	CD1C+ DCs	47	1849	0.0254191454840454
CR011_1N	CR011N	Adjacent normal	S100A12+ MDSCs	9	943	0.0095440084835631
CR012N	CR012N	Adjacent normal	pDCs	55	363	0.151515151515152
CR007_1N	CR007N	Adjacent normal	THBS1+ MDSCs	9	1849	0.00486749594375338
CR008_1N	CR008N	Adjacent normal	AMs	1	1030	0.000970873786407767
CR012N	CR012N	Adjacent normal	THBS1+ MDSCs	2	363	0.00550964187327824
CR007_1N	CR007N	Adjacent normal	AMs	2	1849	0.00108166576527853
CR011_1N	CR011N	Adjacent normal	THBS1+ MDSCs	2	943	0.00212089077412513
CR008_1N	CR008N	Adjacent normal	THBS1+ MDSCs	1	1030	0.000970873786407767
CR015N	CR015N	Adjacent normal	pDCs	2614	3537	0.73904438789935
CR015N	CR015N	Adjacent normal	Resting C1QC+ TAMs	367	3537	0.103760248798417
CR016N	CR016N	Adjacent normal	CD1C+ DCs	178	3779	0.0471024080444562
CR014N	CR014N	Adjacent normal	Resting C1QC+ TAMs	519	2834	0.183133380381087
CR014N	CR014N	Adjacent normal	pDCs	1346	2834	0.474947071277347
CR016N	CR016N	Adjacent normal	pDCs	3040	3779	0.804445620534533
CR015N	CR015N	Adjacent normal	Activated C1QC+ TAMs	433	3537	0.122420130053718
CR014N	CR014N	Adjacent normal	Activated C1QC+ TAMs	832	2834	0.293577981651376
CR016N	CR016N	Adjacent normal	Activated C1QC+ TAMs	262	3779	0.0693305107171209
CR016N	CR016N	Adjacent normal	SPP1+ TAMs	19	3779	0.00502778512834083
CR016N	CR016N	Adjacent normal	Resting C1QC+ TAMs	264	3779	0.0698597512569463
CR014N	CR014N	Adjacent normal	SPP1+ TAMs	45	2834	0.015878616796048
CR014N	CR014N	Adjacent normal	CD1C+ DCs	71	2834	0.0250529287226535
CR015N	CR015N	Adjacent normal	CD1C+ DCs	98	3537	0.0277070964093865
CR014N	CR014N	Adjacent normal	AMs	21	2834	0.00741002117148906
CR016N	CR016N	Adjacent normal	AMs	16	3779	0.0042339243186028
CR015N	CR015N	Adjacent normal	SPP1+ TAMs	18	3537	0.00508905852417303
CR015N	CR015N	Adjacent normal	AMs	7	3537	0.00197907831495618
CR007_2N	CR007N	Adjacent normal	AMs	552	4791	0.115216030056356
CR011_2N	CR011N	Adjacent normal	Activated C1QC+ TAMs	1782	4283	0.416063506887696
CR008_2N	CR008N	Adjacent normal	AMs	465	3324	0.139891696750903
CR007_2N	CR007N	Adjacent normal	pDCs	1522	4791	0.317678981423502
CR007_2N	CR007N	Adjacent normal	Activated C1QC+ TAMs	2454	4791	0.512210394489668
CR008_2N	CR008N	Adjacent normal	Activated C1QC+ TAMs	1291	3324	0.388387484957882
CR008_2N	CR008N	Adjacent normal	pDCs	1321	3324	0.397412755716005
CR011_2N	CR011N	Adjacent normal	pDCs	1415	4283	0.330375904739668
CR008_2N	CR008N	Adjacent normal	Resting C1QC+ TAMs	216	3324	0.0649819494584838
CR011_2N	CR011N	Adjacent normal	AMs	735	4283	0.171608685500817
CR011_2N	CR011N	Adjacent normal	Resting C1QC+ TAMs	305	4283	0.0712117674527201
CR007_2N	CR007N	Adjacent normal	CD1C+ DCs	40	4791	0.00834898768524317
CR008_2N	CR008N	Adjacent normal	CD1C+ DCs	30	3324	0.00902527075812274
CR007_2N	CR007N	Adjacent normal	Resting C1QC+ TAMs	223	4791	0.0465456063452306
CR011_2N	CR011N	Adjacent normal	CD1C+ DCs	44	4283	0.0102731730095727
CR008_2N	CR008N	Adjacent normal	SPP1+ TAMs	1	3324	0.000300842358604091
CR011_2N	CR011N	Adjacent normal	SPP1+ TAMs	2	4283	0.000466962409526033
CR065T	CR065T	Tumor	pDCs	5426	5434	0.998527788001472
CR049N	CR049N	Adjacent normal	pDCs	2209	2215	0.997291196388262
CR065T	CR065T	Tumor	Activated C1QC+ TAMs	8	5434	0.00147221199852779
CR049N	CR049N	Adjacent normal	Activated C1QC+ TAMs	6	2215	0.00270880361173815
CR034N	CR034N	Adjacent normal	CD1C+ DCs	2367	2367	1
CR074T	CR074T	Tumor	CD1C+ DCs	2102	2102	1
CR031_2T	CR031T	Tumor	Activated C1QC+ TAMs	2619	3752	0.698027718550107
CR031_2T	CR031T	Tumor	pDCs	1133	3752	0.301972281449893
CR030_2T	CR030T	Tumor	Activated C1QC+ TAMs	1359	1729	0.786003470213997
CR030_2T	CR030T	Tumor	pDCs	370	1729	0.213996529786003
CR011T	CR011T	Tumor	CD1C+ DCs	1404	2991	0.469408224674022
CR009T	CR009T	Tumor	CD1C+ DCs	821	2714	0.302505526897568
CR011T	CR011T	Tumor	AMs	854	2991	0.285523236375794
CR009T	CR009T	Tumor	AMs	1444	2714	0.532056005895357
CR012_1T	CR012T	Tumor	CD1C+ DCs	1032	2211	0.466757123473541
CR011T	CR011T	Tumor	Activated C1QC+ TAMs	399	2991	0.133400200601805
CR012_1T	CR012T	Tumor	AMs	711	2211	0.32157394843962
CR011T	CR011T	Tumor	pDCs	334	2991	0.111668338348378
CR008_1T	CR008T	Tumor	Activated C1QC+ TAMs	278	1734	0.160322952710496
CR008_1T	CR008T	Tumor	CD1C+ DCs	975	1734	0.562283737024221
CR012_1T	CR012T	Tumor	Activated C1QC+ TAMs	280	2211	0.126639529624604
CR009T	CR009T	Tumor	Activated C1QC+ TAMs	202	2714	0.0744288872512896
CR008_1T	CR008T	Tumor	AMs	258	1734	0.14878892733564
CR008_1T	CR008T	Tumor	pDCs	223	1734	0.128604382929642
CR012_1T	CR012T	Tumor	pDCs	188	2211	0.0850293984622343
CR009T	CR009T	Tumor	pDCs	247	2714	0.0910095799557848
CR014T	CR014T	Tumor	AMs	741	3157	0.234716503009186
CR015T	CR015T	Tumor	AMs	3176	4108	0.773125608568647
CR014T	CR014T	Tumor	Activated C1QC+ TAMs	1804	3157	0.571428571428571
CR015T	CR015T	Tumor	Activated C1QC+ TAMs	277	4108	0.067429406037001
CR020T	CR020T	Tumor	AMs	3745	4371	0.856783344772363
CR020T	CR020T	Tumor	Activated C1QC+ TAMs	487	4371	0.111416151910318
CR015T	CR015T	Tumor	SPP1+ TAMs	511	4108	0.124391431353457
CR014T	CR014T	Tumor	pDCs	488	3157	0.154577130186886
CR015T	CR015T	Tumor	pDCs	128	4108	0.0311587147030185
CR020T	CR020T	Tumor	pDCs	129	4371	0.029512697323267
CR014T	CR014T	Tumor	S100A12+ MDSCs	124	3157	0.0392777953753564
CR020T	CR020T	Tumor	S100A12+ MDSCs	10	4371	0.0022878059940517
CR015T	CR015T	Tumor	S100A12+ MDSCs	16	4108	0.00389483933787731
CR022T	CR022T	Tumor	AMs	2214	4549	0.486700373708507
CR022T	CR022T	Tumor	CD1C+ DCs	1911	4549	0.420092327984172
CR021T	CR021T	Tumor	CD1C+ DCs	521	3377	0.15427894580989
CR021T	CR021T	Tumor	AMs	2745	3377	0.812851643470536
CR024T	CR024T	Tumor	CD1C+ DCs	1536	3650	0.420821917808219
CR022T	CR022T	Tumor	pDCs	379	4549	0.0833150142888547
