annotation	N	fraction
Promoter (<=1kb)	21982	0.685673289871799
Distal Intergenic	3313	0.103340715555694
Promoter (1-2kb)	773	0.0241117938800337
Promoter (2-3kb)	693	0.0216163947721389
3' UTR	336	0.0104806762531582
5' UTR	85	0.00265136155213825
Downstream (2-3kb)	48	0.00149723946473689
Downstream (1-2kb)	44	0.00137246950934215
Downstream (<1kb)	32	0.000998159643157928
Intron (ENST00000311637.9/10079, intron 1 of 22)	12	0.000374309866184223
Exon (ENST00000585999.1/ENST00000585999.1, exon 2 of 2)	10	0.000311924888486852
Intron (ENST00000344576.7/1956, intron 1 of 15)	9	0.000280732399638167
Intron (ENST00000552856.1/105369844, intron 1 of 4)	9	0.000280732399638167
Exon (ENST00000692582.2/ENST00000692582.2, exon 1 of 1)	8	0.000249539910789482
Exon (ENST00000556397.1/ENST00000556397.1, exon 1 of 2)	8	0.000249539910789482
Intron (ENST00000356805.9/6711, intron 2 of 35)	8	0.000249539910789482
Intron (ENST00000382141.4/221178, intron 3 of 15)	8	0.000249539910789482
Intron (ENST00000611279.4/25902, intron 26 of 27)	8	0.000249539910789482
Intron (ENST00000715721.1/100874158, intron 3 of 3)	8	0.000249539910789482
Intron (ENST00000531066.6/144100, intron 3 of 26)	8	0.000249539910789482
Intron (ENST00000559460.6/4088, intron 1 of 8)	8	0.000249539910789482
Exon (ENST00000692441.2/ENST00000692441.2, exon 1 of 1)	7	0.000218347421940797
Intron (ENST00000359263.9/26509, intron 1 of 53)	7	0.000218347421940797
Intron (ENST00000369774.9/9644, intron 2 of 14)	7	0.000218347421940797
Intron (ENST00000565749.1/1238, intron 4 of 5)	7	0.000218347421940797
Intron (ENST00000287878.9/51422, intron 3 of 15)	7	0.000218347421940797
Intron (ENST00000527636.7/7003, intron 2 of 12)	7	0.000218347421940797
Intron (ENST00000536621.6/10071, intron 1 of 11)	7	0.000218347421940797
Intron (ENST00000540557.1/6461, intron 4 of 11)	7	0.000218347421940797
Intron (ENST00000642310.1/105374894, intron 4 of 4)	7	0.000218347421940797
Intron (ENST00000400147.6/9229, intron 4 of 9)	7	0.000218347421940797
Intron (ENST00000392870.3/2869, intron 1 of 15)	7	0.000218347421940797
Intron (ENST00000308482.14/9208, intron 1 of 23)	7	0.000218347421940797
Intron (ENST00000637419.1/23199, intron 2 of 2)	7	0.000218347421940797
Intron (ENST00000686875.1/90627, intron 1 of 3)	6	0.000187154933092111
Intron (ENST00000450043.2/435, intron 7 of 11)	6	0.000187154933092111
Intron (ENST00000400163.8/1284, intron 3 of 47)	6	0.000187154933092111
Intron (ENST00000359926.7/116154, intron 8 of 12)	6	0.000187154933092111
Intron (ENST00000375645.8/23250, intron 1 of 29)	6	0.000187154933092111
Intron (ENST00000412972.1/105372589, intron 1 of 1)	6	0.000187154933092111
Intron (ENST00000569532.5/79905, intron 1 of 14)	6	0.000187154933092111
Intron (ENST00000466411.1/ENST00000466411.1, intron 1 of 3)	6	0.000187154933092111
Exon (ENST00000182527.4/9697, exon 10 of 11)	6	0.000187154933092111
Intron (ENST00000713574.1/9052, intron 1 of 3)	6	0.000187154933092111
Intron (ENST00000524610.1/ENST00000524610.1, intron 2 of 2)	6	0.000187154933092111
Intron (ENST00000272462.3/7851, intron 1 of 3)	6	0.000187154933092111
Intron (ENST00000278742.6/6768, intron 1 of 18)	6	0.000187154933092111
Intron (ENST00000237696.10/5918, intron 1 of 5)	6	0.000187154933092111
Intron (ENST00000541342.2/23514, intron 7 of 18)	6	0.000187154933092111
Intron (ENST00000524717.6/84441, intron 1 of 4)	6	0.000187154933092111
Intron (ENST00000537098.8/80790, intron 1 of 20)	6	0.000187154933092111
Exon (ENST00000702681.1/378805, exon 3 of 3)	5	0.000155962444243426
Exon (ENST00000648216.1/114783, exon 2 of 5)	5	0.000155962444243426
Intron (ENST00000614703.4/51429, intron 1 of 5)	5	0.000155962444243426
Intron (ENST00000415387.1/ENST00000415387.1, intron 1 of 4)	5	0.000155962444243426
Intron (ENST00000645463.1/105375751, intron 6 of 6)	5	0.000155962444243426
Intron (ENST00000343348.11/57556, intron 1 of 18)	5	0.000155962444243426
Intron (ENST00000651999.1/105375746, intron 3 of 7)	5	0.000155962444243426
Intron (ENST00000600166.1/1080, intron 3 of 3)	5	0.000155962444243426
Intron (ENST00000306320.10/54463, intron 3 of 8)	5	0.000155962444243426
Intron (ENST00000266383.10/283358, intron 1 of 19)	5	0.000155962444243426
Intron (ENST00000648455.1/105375278, intron 2 of 6)	5	0.000155962444243426
Intron (ENST00000624272.3/100996485, intron 2 of 5)	5	0.000155962444243426
Intron (ENST00000559755.1/105371024, intron 1 of 2)	5	0.000155962444243426
Intron (ENST00000435837.2/1048, intron 1 of 1)	5	0.000155962444243426
Intron (ENST00000296043.7/57619, intron 2 of 10)	5	0.000155962444243426
Intron (ENST00000533213.7/3983, intron 6 of 22)	5	0.000155962444243426
Intron (ENST00000254260.8/85415, intron 2 of 14)	5	0.000155962444243426
Intron (ENST00000599924.1/ENST00000599924.1, intron 1 of 2)	5	0.000155962444243426
Intron (ENST00000552551.5/3856, intron 1 of 8)	5	0.000155962444243426
Intron (ENST00000295971.12/54502, intron 1 of 6)	5	0.000155962444243426
Intron (ENST00000553510.1/ENST00000553510.1, intron 1 of 1)	5	0.000155962444243426
Intron (ENST00000671359.1/ENST00000671359.1, intron 2 of 3)	5	0.000155962444243426
Exon (ENST00000433673.2/100506922, exon 4 of 4)	5	0.000155962444243426
Intron (ENST00000517532.5/286053, intron 5 of 6)	5	0.000155962444243426
Intron (ENST00000651370.1/107985365, intron 1 of 1)	5	0.000155962444243426
Intron (ENST00000444770.1/124902438, intron 2 of 2)	5	0.000155962444243426
Intron (ENST00000345617.7/9759, intron 2 of 26)	5	0.000155962444243426
Intron (ENST00000375608.7/23263, intron 2 of 29)	5	0.000155962444243426
Intron (ENST00000485635.2/3694, intron 1 of 9)	5	0.000155962444243426
Intron (ENST00000682524.1/1785, intron 1 of 7)	5	0.000155962444243426
Intron (ENST00000631006.3/57522, intron 1 of 21)	5	0.000155962444243426
Intron (ENST00000437600.9/1523, intron 1 of 22)	5	0.000155962444243426
Intron (ENST00000265755.7/9569, intron 1 of 26)	5	0.000155962444243426
Intron (ENST00000522356.3/653082, intron 4 of 15)	5	0.000155962444243426
Intron (ENST00000494106.1/2590, intron 1 of 6)	5	0.000155962444243426
Intron (ENST00000580974.6/26207, intron 1 of 9)	5	0.000155962444243426
Intron (ENST00000512594.5/84448, intron 6 of 6)	5	0.000155962444243426
Exon (ENST00000457091.3/392862, exon 14 of 22)	5	0.000155962444243426
Intron (ENST00000379504.8/146691, intron 1 of 14)	5	0.000155962444243426
Intron (ENST00000439616.6/4967, intron 2 of 19)	5	0.000155962444243426
Intron (ENST00000341500.9/3643, intron 2 of 20)	5	0.000155962444243426
Exon (ENST00000686778.1/ENST00000686778.1, exon 3 of 3)	5	0.000155962444243426
Intron (ENST00000334062.8/22821, intron 2 of 23)	5	0.000155962444243426
Intron (ENST00000423698.6/2067, intron 1 of 8)	5	0.000155962444243426
Intron (ENST00000456353.5/283050, intron 5 of 9)	5	0.000155962444243426
Intron (ENST00000372189.7/2889, intron 1 of 23)	5	0.000155962444243426
Intron (ENST00000398457.6/9619, intron 3 of 15)	5	0.000155962444243426
Intron (ENST00000448637.5/4026, intron 1 of 6)	5	0.000155962444243426
Intron (ENST00000400163.8/1284, intron 4 of 47)	5	0.000155962444243426
Intron (ENST00000673621.2/22906, intron 1 of 16)	5	0.000155962444243426
Intron (ENST00000637419.1/23199, intron 1 of 2)	5	0.000155962444243426
Intron (ENST00000507166.5/5156, intron 12 of 23)	5	0.000155962444243426
Intron (ENST00000335350.10/219699, intron 1 of 16)	5	0.000155962444243426
Intron (ENST00000513986.2/57507, intron 3 of 9)	5	0.000155962444243426
Intron (ENST00000298912.9/79789, intron 1 of 12)	5	0.000155962444243426
Intron (ENST00000355995.9/6934, intron 5 of 14)	5	0.000155962444243426
Exon (ENST00000701801.1/ENST00000701801.1, exon 1 of 1)	4	0.000124769955394741
Intron (ENST00000636835.1/55614, intron 1 of 24)	4	0.000124769955394741
Intron (ENST00000443621.1/ENST00000443621.1, intron 1 of 1)	4	0.000124769955394741
Intron (ENST00000474070.5/1124, intron 6 of 6)	4	0.000124769955394741
Intron (ENST00000669705.1/107984626, intron 1 of 2)	4	0.000124769955394741
Intron (ENST00000356107.11/7082, intron 2 of 28)	4	0.000124769955394741
Exon (ENST00000482820.6/1124, exon 4 of 7)	4	0.000124769955394741
Intron (ENST00000341700.7/9630, intron 1 of 6)	4	0.000124769955394741
Intron (ENST00000432459.6/140545, intron 7 of 8)	4	0.000124769955394741
Intron (ENST00000371917.5/10564, intron 1 of 38)	4	0.000124769955394741
Intron (ENST00000399218.8/64762, intron 2 of 5)	4	0.000124769955394741
Exon (ENST00000474115.2/ENST00000474115.2, exon 1 of 2)	4	0.000124769955394741
Intron (ENST00000563804.5/53630, intron 6 of 9)	4	0.000124769955394741
Intron (ENST00000298815.13/143872, intron 2 of 23)	4	0.000124769955394741
Intron (ENST00000696533.1/7319, intron 1 of 7)	4	0.000124769955394741
Intron (ENST00000685574.2/100996307, intron 1 of 3)	4	0.000124769955394741
Exon (ENST00000410753.1/ENST00000410753.1, exon 1 of 1)	4	0.000124769955394741
Intron (ENST00000419909.6/84066, intron 13 of 15)	4	0.000124769955394741
Intron (ENST00000265362.9/10371, intron 6 of 16)	4	0.000124769955394741
Intron (ENST00000481801.5/4249, intron 1 of 1)	4	0.000124769955394741
Intron (ENST00000664407.1/ENST00000664407.1, intron 1 of 6)	4	0.000124769955394741
Intron (ENST00000319080.12/22877, intron 1 of 16)	4	0.000124769955394741
Intron (ENST00000522917.5/654463, intron 1 of 40)	4	0.000124769955394741
Intron (ENST00000514843.1/ENST00000514843.1, intron 1 of 2)	4	0.000124769955394741
Intron (ENST00000526061.5/103695435, intron 2 of 3)	4	0.000124769955394741
Intron (ENST00000657284.1/124902981, intron 1 of 2)	4	0.000124769955394741
Intron (ENST00000404397.5/81606, intron 2 of 2)	4	0.000124769955394741
Exon (ENST00000637248.1/101927242, exon 3 of 3)	4	0.000124769955394741
Intron (ENST00000311160.14/64759, intron 1 of 30)	4	0.000124769955394741
Intron (ENST00000370982.4/55970, intron 2 of 3)	4	0.000124769955394741
Intron (ENST00000533089.5/7049, intron 1 of 19)	4	0.000124769955394741
Intron (ENST00000691600.1/100132354, intron 1 of 1)	4	0.000124769955394741
Intron (ENST00000715295.1/3655, intron 4 of 27)	4	0.000124769955394741
Intron (ENST00000534431.1/105376617, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000656751.1/105375013, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000263026.10/29904, intron 2 of 17)	4	0.000124769955394741
Exon (ENST00000547118.1/ENST00000547118.1, exon 1 of 1)	4	0.000124769955394741
Intron (ENST00000263946.7/5317, intron 2 of 14)	4	0.000124769955394741
Intron (ENST00000401073.7/57648, intron 1 of 6)	4	0.000124769955394741
Intron (ENST00000532176.2/5452, intron 1 of 5)	4	0.000124769955394741
Exon (ENST00000431376.1/ENST00000431376.1, exon 1 of 2)	4	0.000124769955394741
Intron (ENST00000374723.5/23446, intron 3 of 15)	4	0.000124769955394741
Intron (ENST00000354313.7/3705, intron 3 of 10)	4	0.000124769955394741
Intron (ENST00000540557.1/6461, intron 1 of 11)	4	0.000124769955394741
Intron (ENST00000367602.8/5768, intron 2 of 11)	4	0.000124769955394741
Intron (ENST00000675164.1/22978, intron 1 of 19)	4	0.000124769955394741
Intron (ENST00000433674.6/824, intron 1 of 20)	4	0.000124769955394741
Intron (ENST00000696229.1/647024, intron 3 of 5)	4	0.000124769955394741
Intron (ENST00000265846.10/11033, intron 4 of 10)	4	0.000124769955394741
Intron (ENST00000297135.9/10466, intron 6 of 21)	4	0.000124769955394741
Intron (ENST00000455199.1/107984195, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000540583.5/81575, intron 2 of 3)	4	0.000124769955394741
Intron (ENST00000564080.1/58472, intron 1 of 5)	4	0.000124769955394741
Intron (ENST00000260228.3/9313, intron 6 of 9)	4	0.000124769955394741
Intron (ENST00000519978.1/ENST00000519978.1, intron 1 of 1)	4	0.000124769955394741
Intron (ENST00000447540.6/80205, intron 1 of 38)	4	0.000124769955394741
