relative_path	size_bytes	last_write_time
figures/fig4a_snatac_umap_label_transfer.pdf	6468486	2026-07-04T05:24:21+08:00
figures/fig4a_snatac_umap_label_transfer.png	1056221	2026-07-04T05:24:18+08:00
figures/fig4b_tissue_proportion_boxplots.pdf	16048	2026-07-04T05:24:23+08:00
figures/fig4b_tissue_proportion_boxplots.png	163291	2026-07-04T05:24:22+08:00
figures/fig4c_chipseeker_annotation_pie.pdf	7383	2026-07-04T05:42:22+08:00
figures/fig4c_chipseeker_annotation_pie.png	95438	2026-07-04T05:42:22+08:00
files/fig4_gse306459_snatac_processed.rds.not_saved.txt	171	2026-07-04T05:38:01+08:00
logs/fig4_gse306459_snatac.log	4379	2026-07-04T05:27:08+08:00
scripts/extract_tar_members_http_range.py	6418	2026-07-03T22:05:20+08:00
scripts/postrun_check_fig4_fast_merge.R	5134	2026-07-04T05:39:20+08:00
scripts/regen_fig4c_broad_annotation_plot.R	2569	2026-07-04T05:41:55+08:00
scripts/run_fig4_gse306459_snatac_fast_merge.R	28789	2026-07-04T05:43:56+08:00
scripts/run_fig4_rscript_fast_merge.ps1	1429	2026-07-04T00:44:34+08:00
STATUS.md	2751	2026-07-04T05:45:35+08:00
tables/fig4_differential_peaks_by_label.tsv.gz	924071	2026-07-04T05:26:13+08:00
tables/fig4_gse306459_geo_download_manifest.tsv	4414	2026-07-04T05:04:35+08:00
tables/fig4_gse306459_run_summary.tsv	277	2026-07-04T05:43:06+08:00
tables/fig4_postrun_checks.tsv	482	2026-07-04T05:43:06+08:00
tables/fig4_table_s1_barcode_counts_by_library.tsv	393	2026-07-04T05:04:37+08:00
tables/fig4a_label_counts.tsv	166	2026-07-04T05:43:06+08:00
tables/fig4a_snatac_umap_labels.tsv.gz	4669926	2026-07-04T05:24:16+08:00
tables/fig4b_label_tissue_proportions.tsv	11242	2026-07-04T05:24:21+08:00
tables/fig4b_wilcoxon_by_label.tsv	432	2026-07-04T05:24:21+08:00
tables/fig4c_chipseeker_annotation_counts.tsv	257	2026-07-04T05:42:21+08:00
tables/fig4c_chipseeker_annotation_counts_detailed.tsv	223653	2026-07-04T05:42:21+08:00
tables/fig4c_chipseeker_peak_annotation_full.tsv.gz	1926436	2026-07-04T05:42:21+08:00
tables/fig4c_differential_peak_rows_by_label.tsv	164	2026-07-04T05:43:06+08:00
