Sample	Tissue	tissue_group	predicted_label	N	sample_total	proportion
CR008_1N	CR008N	Adjacent normal	Activated C1QC+ TAMs	434	1030	0.421359223300971
CR007_1N	CR007N	Adjacent normal	Activated C1QC+ TAMs	584	1849	0.31584640346133
CR011_1N	CR011N	Adjacent normal	Activated C1QC+ TAMs	302	943	0.320254506892895
CR007_1N	CR007N	Adjacent normal	pDCs	980	1849	0.530016224986479
CR011_1N	CR011N	Adjacent normal	SPP1+ TAMs	205	943	0.217391304347826
CR008_1N	CR008N	Adjacent normal	pDCs	403	1030	0.39126213592233
CR011_1N	CR011N	Adjacent normal	pDCs	405	943	0.429480381760339
CR012N	CR012N	Adjacent normal	Activated C1QC+ TAMs	196	363	0.539944903581267
CR008_1N	CR008N	Adjacent normal	Resting C1QC+ TAMs	7	1030	0.00679611650485437
CR012N	CR012N	Adjacent normal	SPP1+ TAMs	44	363	0.121212121212121
CR008_1N	CR008N	Adjacent normal	SPP1+ TAMs	169	1030	0.164077669902913
CR007_1N	CR007N	Adjacent normal	SPP1+ TAMs	220	1849	0.118983234180638
CR008_1N	CR008N	Adjacent normal	THBS1+ MDSCs	17	1030	0.016504854368932
CR007_1N	CR007N	Adjacent normal	THBS1+ MDSCs	41	1849	0.0221741481882098
CR012N	CR012N	Adjacent normal	pDCs	115	363	0.316804407713499
CR011_1N	CR011N	Adjacent normal	THBS1+ MDSCs	20	943	0.0212089077412513
CR011_1N	CR011N	Adjacent normal	Resting C1QC+ TAMs	11	943	0.0116648992576882
CR012N	CR012N	Adjacent normal	THBS1+ MDSCs	8	363	0.0220385674931129
CR007_1N	CR007N	Adjacent normal	Resting C1QC+ TAMs	24	1849	0.0129799891833423
CR015N	CR015N	Adjacent normal	pDCs	2603	3537	0.735934407690133
CR015N	CR015N	Adjacent normal	Resting C1QC+ TAMs	797	3537	0.225332202431439
CR016N	CR016N	Adjacent normal	CD1C+ DCs	40	3779	0.010584810796507
CR014N	CR014N	Adjacent normal	Resting C1QC+ TAMs	1299	2834	0.458362738179252
CR014N	CR014N	Adjacent normal	pDCs	1216	2834	0.429075511644319
CR016N	CR016N	Adjacent normal	pDCs	3051	3779	0.807356443503572
CR016N	CR016N	Adjacent normal	Resting C1QC+ TAMs	617	3779	0.163270706536121
CR015N	CR015N	Adjacent normal	CD1C+ DCs	23	3537	0.00650268589199887
CR014N	CR014N	Adjacent normal	Activated C1QC+ TAMs	308	2834	0.108680310515173
CR015N	CR015N	Adjacent normal	Activated C1QC+ TAMs	114	3537	0.0322307039864292
CR016N	CR016N	Adjacent normal	Activated C1QC+ TAMs	69	3779	0.0182587986239746
CR014N	CR014N	Adjacent normal	CD1C+ DCs	11	2834	0.00388143966125618
CR016N	CR016N	Adjacent normal	AMs	2	3779	0.000529240539825351
CR007_2N	CR007N	Adjacent normal	Activated C1QC+ TAMs	3384	4791	0.706324358171572
CR011_2N	CR011N	Adjacent normal	Activated C1QC+ TAMs	2951	4283	0.689003035255662
CR008_2N	CR008N	Adjacent normal	Activated C1QC+ TAMs	2109	3324	0.634476534296029
CR007_2N	CR007N	Adjacent normal	pDCs	1283	4791	0.267793780004175
CR008_2N	CR008N	Adjacent normal	pDCs	1117	3324	0.33604091456077
CR008_2N	CR008N	Adjacent normal	CD1C+ DCs	96	3324	0.0288808664259928
CR011_2N	CR011N	Adjacent normal	pDCs	1220	4283	0.28484706981088
CR011_2N	CR011N	Adjacent normal	CD1C+ DCs	102	4283	0.0238150828858277
CR007_2N	CR007N	Adjacent normal	CD1C+ DCs	118	4791	0.0246295136714673
CR007_2N	CR007N	Adjacent normal	Resting C1QC+ TAMs	6	4791	0.00125234815278647
CR008_2N	CR008N	Adjacent normal	Resting C1QC+ TAMs	2	3324	0.000601684717208183
CR011_2N	CR011N	Adjacent normal	Resting C1QC+ TAMs	10	4283	0.00233481204763017
CR065T	CR065T	Tumor	Activated C1QC+ TAMs	5328	5434	0.980493191019507
CR049N	CR049N	Adjacent normal	Activated C1QC+ TAMs	2194	2215	0.990519187358917
CR065T	CR065T	Tumor	AMs	106	5434	0.0195068089804932
CR049N	CR049N	Adjacent normal	AMs	21	2215	0.00948081264108352
CR034N	CR034N	Adjacent normal	CD1C+ DCs	722	2367	0.305027460920997
CR074T	CR074T	Tumor	pDCs	758	2102	0.360608943862988
CR074T	CR074T	Tumor	Activated C1QC+ TAMs	692	2102	0.329210275927688
CR034N	CR034N	Adjacent normal	pDCs	853	2367	0.360371778622729
