motif_id	motif_name	predicted_label	mean_chromvar_z
MA0871.2	TFEC	Activated C1QC+ TAMs	0.564688026087929
MA0831.2	TFE3	Activated C1QC+ TAMs	1.00916225913295
MA0636.1	BHLHE41	Activated C1QC+ TAMs	0.651457302003212
MA1633.1	BACH1	Activated C1QC+ TAMs	0.340303285442078
MA0150.2	Nfe2l2	Activated C1QC+ TAMs	0.114688608644751
MA0478.1	FOSL2	Activated C1QC+ TAMs	0.386877801561867
MA0871.2	TFEC	pDCs	0.31147360336025
MA0831.2	TFE3	pDCs	0.469102847303017
MA0636.1	BHLHE41	pDCs	0.199367594319577
MA1633.1	BACH1	pDCs	-1.30084770120861
MA0150.2	Nfe2l2	pDCs	-0.922438061153856
MA0478.1	FOSL2	pDCs	-1.8030325879622
MA0871.2	TFEC	SPP1+ TAMs	-1.923854468205
MA0831.2	TFE3	SPP1+ TAMs	-1.96065958077829
MA0636.1	BHLHE41	SPP1+ TAMs	-1.57328007239085
MA1633.1	BACH1	SPP1+ TAMs	0.0514208212821564
MA0150.2	Nfe2l2	SPP1+ TAMs	-0.520897908650801
MA0478.1	FOSL2	SPP1+ TAMs	0.854419204804044
MA0871.2	TFEC	Resting C1QC+ TAMs	-0.309193986381704
MA0831.2	TFE3	Resting C1QC+ TAMs	-0.382018576360209
MA0636.1	BHLHE41	Resting C1QC+ TAMs	-0.220334516742017
MA1633.1	BACH1	Resting C1QC+ TAMs	-1.22193896205333
MA0150.2	Nfe2l2	Resting C1QC+ TAMs	-0.955987709703064
MA0478.1	FOSL2	Resting C1QC+ TAMs	-1.56095533152492
MA0871.2	TFEC	THBS1+ MDSCs	0.208730610219389
MA0831.2	TFE3	THBS1+ MDSCs	1.03246617831468
MA0636.1	BHLHE41	THBS1+ MDSCs	0.323712017191672
MA1633.1	BACH1	THBS1+ MDSCs	-0.958127811865227
MA0150.2	Nfe2l2	THBS1+ MDSCs	-1.12242827051217
MA0478.1	FOSL2	THBS1+ MDSCs	-0.825627735763208
MA0871.2	TFEC	CD1C+ DCs	1.17295221225622
MA0831.2	TFE3	CD1C+ DCs	0.675339902837971
MA0636.1	BHLHE41	CD1C+ DCs	0.867046448293964
MA1633.1	BACH1	CD1C+ DCs	-0.305701062904388
MA0150.2	Nfe2l2	CD1C+ DCs	0.460350920342193
MA0478.1	FOSL2	CD1C+ DCs	-0.777060016670748
MA0871.2	TFEC	AMs	2.24928685702597
MA0831.2	TFE3	AMs	1.3794036763586
MA0636.1	BHLHE41	AMs	1.77072880307209
MA1633.1	BACH1	AMs	2.87251479614011
MA0150.2	Nfe2l2	AMs	3.37918366253121
MA0478.1	FOSL2	AMs	2.42237481937597
MA0871.2	TFEC	S100A12+ MDSCs	-0.745097877901979
MA0831.2	TFE3	S100A12+ MDSCs	-0.293716379727305
MA0636.1	BHLHE41	S100A12+ MDSCs	-0.563637528499264
MA1633.1	BACH1	S100A12+ MDSCs	-0.639690675814957
MA0150.2	Nfe2l2	S100A12+ MDSCs	-0.833923333333467
MA0478.1	FOSL2	S100A12+ MDSCs	-0.296356415912284
MA0871.2	TFEC	HSP+ Mono	-0.0290715327853307
MA0831.2	TFE3	HSP+ Mono	1.16246866092774
MA0636.1	BHLHE41	HSP+ Mono	0.241612496088473
MA1633.1	BACH1	HSP+ Mono	-1.23664666139435
MA0150.2	Nfe2l2	HSP+ Mono	-1.43337382596111
MA0478.1	FOSL2	HSP+ Mono	-0.817602854231265
