Library	before_qc	after_qc	retention_fraction
CRNO1	4185	4018	0.960095579450418
CRNO2	10150	9916	0.976945812807882
CRNO3	12398	11300	0.911437328601387
CRNOTU1	7649	5119	0.669237808863904
CRNOTU2	4469	3971	0.888565674647572
CRTU1	9650	9188	0.952124352331606
CRTU10	5481	4959	0.904761904761905
CRTU2	11636	10599	0.910880027500859
CRTU3	11576	10526	0.909295093296475
CRTU4	9310	7758	0.833297529538131
CRTU5	7531	7046	0.935599521975833
CRTU6	6610	4640	0.70196671709531
CRTU7	9080	7984	0.879295154185022
CRTU8	8143	1663	0.204224487289697
CRTU9	4350	3732	0.857931034482759
