Library	predicted_label	N	library_total	fraction_in_library
CRNO1	Activated C1QC+ TAMs	3309	4018	0.823544051767048
CRNO1	AMs	472	4018	0.117471378795421
CRNO1	pDCs	233	4018	0.0579890492782479
CRNO1	SPP1+ TAMs	4	4018	0.000995520159283226
CRNO2	pDCs	6860	9916	0.691811214199274
CRNO2	Activated C1QC+ TAMs	1764	9916	0.17789431222267
CRNO2	SPP1+ TAMs	1292	9916	0.130294473578056
CRNO3	Activated C1QC+ TAMs	8330	11300	0.73716814159292
CRNO3	pDCs	2404	11300	0.212743362831858
CRNO3	SPP1+ TAMs	566	11300	0.0500884955752212
CRNOTU1	Activated C1QC+ TAMs	5119	5119	1
CRNOTU2	Resting C1QC+ TAMs	3771	3971	0.949634852681944
CRNOTU2	Activated C1QC+ TAMs	200	3971	0.0503651473180559
CRTU1	Activated C1QC+ TAMs	7904	9188	0.860252503265128
CRTU1	CD1C+ DCs	653	9188	0.0710709621245102
CRTU1	pDCs	597	9188	0.0649760557248585
CRTU1	SPP1+ TAMs	34	9188	0.00370047888550283
CRTU10	Activated C1QC+ TAMs	4959	4959	1
CRTU2	SPP1+ TAMs	4066	10599	0.383621096329842
CRTU2	Activated C1QC+ TAMs	3282	10599	0.309651853948486
CRTU2	AMs	3219	10599	0.303707896971412
CRTU2	pDCs	32	10599	0.00301915275025946
CRTU3	SPP1+ TAMs	3479	10526	0.330514915447463
CRTU3	Activated C1QC+ TAMs	3197	10526	0.303724111723352
CRTU3	AMs	2284	10526	0.216986509595288
CRTU3	CD1C+ DCs	1443	10526	0.13708911267338
CRTU3	pDCs	93	10526	0.00883526505795174
CRTU3	THBS1+ MDSCs	29	10526	0.00275508265247957
CRTU3	Resting C1QC+ TAMs	1	10526	9.50028500855026e-05
CRTU4	AMs	2762	7758	0.356019592678525
CRTU4	Resting C1QC+ TAMs	1672	7758	0.215519463779325
CRTU4	pDCs	1388	7758	0.178912090745037
CRTU4	CD1C+ DCs	1124	7758	0.144882701727249
CRTU4	SPP1+ TAMs	729	7758	0.0939675174013921
CRTU4	Activated C1QC+ TAMs	83	7758	0.0106986336684713
CRTU5	SPP1+ TAMs	7046	7046	1
CRTU6	Activated C1QC+ TAMs	3750	4640	0.808189655172414
CRTU6	SPP1+ TAMs	890	4640	0.191810344827586
CRTU7	SPP1+ TAMs	5241	7984	0.656437875751503
CRTU7	ISG15+ TAMs	2144	7984	0.268537074148297
CRTU7	Activated C1QC+ TAMs	599	7984	0.0750250501002004
CRTU8	SPP1+ TAMs	1663	1663	1
CRTU9	Activated C1QC+ TAMs	3150	3732	0.844051446945338
CRTU9	CD1C+ DCs	582	3732	0.155948553054662
