"relative_path"	"size_bytes"	"last_write_time"
"figures/fig4a_formal_qc_violin.pdf"	"331674"	"2026-07-05 04:52:27"
"figures/fig4a_formal_qc_violin.png"	"161801"	"2026-07-05 04:52:26"
"figures/fig4a_formal_umap_by_library.pdf"	"5383304"	"2026-07-05 05:18:12"
"figures/fig4a_formal_umap_by_library.png"	"1070604"	"2026-07-05 05:18:09"
"figures/fig4a_formal_umap_by_tissue_group.pdf"	"5374923"	"2026-07-05 05:18:16"
"figures/fig4a_formal_umap_by_tissue_group.png"	"983402"	"2026-07-05 05:18:13"
"figures/fig4a_formal_umap_label_transfer.pdf"	"5461072"	"2026-07-05 05:18:08"
"figures/fig4a_formal_umap_label_transfer.png"	"982099"	"2026-07-05 05:18:06"
"figures/fig4a_formal_umap_prediction_score.pdf"	"6004768"	"2026-07-05 05:18:19"
"figures/fig4a_formal_umap_prediction_score.png"	"1068191"	"2026-07-05 05:18:17"
"files/fig4a_formal_processed_object_not_uploaded.txt"	"158"	"2026-07-05 05:18:19"
"logs/fig4a_formal_snatac.log"	"9268"	"2026-07-05 05:18:19"
"scripts/check_fig4a_formal_upload_fixed.R"	"2873"	"2026-07-05 05:48:26"
"scripts/run_fig4a_formal_snatac.ps1"	"1632"	"2026-07-04 14:35:38"
"scripts/run_fig4a_formal_snatac.R"	"25796"	"2026-07-05 02:15:42"
"STATUS.md"	"2377"	"2026-07-05 05:51:14"
"tables/fig4a_cells_before_after_qc_by_library.tsv"	"583"	"2026-07-05 04:52:21"
"tables/fig4a_formal_postrun_check.tsv"	"316"	"2026-07-05 05:52:02"
"tables/fig4a_formal_required_file_check.tsv"	"1582"	"2026-07-05 05:51:30"
"tables/fig4a_formal_run_summary.tsv"	"288"	"2026-07-05 05:18:19"
"tables/fig4a_label_counts.tsv"	"163"	"2026-07-05 05:18:05"
"tables/fig4a_library_label_composition.tsv"	"2118"	"2026-07-05 05:18:05"
"tables/fig4a_prediction_score_summary_by_label.tsv"	"1091"	"2026-07-05 05:18:05"
"tables/fig4a_qc_metrics_by_cell.tsv.gz"	"5859912"	"2026-07-05 04:52:21"
"tables/fig4a_qc_thresholds.tsv"	"401"	"2026-07-05 04:52:21"
"tables/fig4a_snatac_umap_labels.tsv.gz"	"7455459"	"2026-07-05 05:18:05"
