dataset	global_cell_type	N	percent
LUAD	B cells	5946	6.745779633327283
LUAD	Endothelial cells	1922	2.180522780903975
LUAD	Epithelial cells	10973	12.448947177346161
LUAD	Fibroblasts	3239	3.6746687239063354
LUAD	Mast cells	2888	3.27645670720639
LUAD	Myeloid cells	25466	28.89135959339263
LUAD	Other cells	12356	14.017970593574153
LUAD	T cells	25354	28.764294790343076
LIHC-CHOL	B cells	993	9.983913130906897
LIHC-CHOL	Endothelial cells	1097	11.029559621958576
LIHC-CHOL	Epithelial cells	3094	31.10798310878745
LIHC-CHOL	Fibroblasts	981	9.863261612708627
LIHC-CHOL	Myeloid cells	752	7.560828473758295
LIHC-CHOL	Other cells	194	1.950532877538709
LIHC-CHOL	T cells	2835	28.503921174341446
Healthy lung	B cells	9391	21.523193986065273
Healthy lung	Endothelial cells	675	1.547029702970297
Healthy lung	Epithelial cells	11441	26.221580491382472
Healthy lung	Fibroblasts	227	0.5202603593692703
Healthy lung	Mast cells	171	0.3919141914191419
Healthy lung	Myeloid cells	17787	40.765951595159514
Healthy lung	NK cells	250	0.572973964063073
Healthy lung	Other cells	24	0.055005500550055
Healthy lung	Plasma cells	2389	5.475339200586726
Healthy lung	Prol. epithelial cells	1048	2.401906857352402
Healthy lung	T cells	222	0.5088008800880087
Healthy lung	pDCs	7	0.016043270993766044
Healthy liver	B cells	129	1.5277119848413074
Healthy liver	Endothelial cells	844	9.995262908574135
Healthy liver	Epithelial cells	3620	42.870677404073895
Healthy liver	Fibroblasts	37	0.43818095689246805
Healthy liver	Myeloid cells	1192	14.116532449076265
Healthy liver	NK cells	488	5.779251539554713
Healthy liver	Other cells	93	1.1013737565135007
Healthy liver	Plasma cells	511	6.051634296541923
Healthy liver	T cells	1530	18.119374703931786
NSCLC-GSE148071	B cells	6062	6.74402305116424
NSCLC-GSE148071	Endothelial cells	1011	1.124745513811786
NSCLC-GSE148071	Epithelial cells	26869	29.891975480325293
NSCLC-GSE148071	Fibroblasts	5551	6.1755315006619425
NSCLC-GSE148071	Mast cells	972	1.0813577046736458
NSCLC-GSE148071	Myeloid cells	20776	23.11346468343587
NSCLC-GSE148071	NK cells	884	0.9834570071311758
NSCLC-GSE148071	Other cells	477	0.5306662809972521
NSCLC-GSE148071	Plasma cells	5763	6.411383181105165
NSCLC-GSE148071	Prol. epithelial cells	19202	21.362377206937598
NSCLC-GSE148071	T cells	2165	2.408579661130086
NSCLC-GSE148071	pDCs	155	0.17243872862594145
HCC-GSE156625	B cells	1110	1.5083776107842204
HCC-GSE156625	Endothelial cells	11207	15.229178273926811
HCC-GSE156625	Epithelial cells	12982	17.641223552433107
HCC-GSE156625	Fibroblasts	1891	2.569677533326992
HCC-GSE156625	Mast cells	119	0.16170895106605607
HCC-GSE156625	Myeloid cells	5616	7.631575371319083
HCC-GSE156625	NK cells	12397	16.846267784587372
HCC-GSE156625	Plasma cells	1376	1.8698446778730518
HCC-GSE156625	Prol. epithelial cells	573	0.7786489828642867
HCC-GSE156625	T cells	26318	35.76349726181902
