dataset_id	signature	gene	measured
10x_GBM	tumor_marker	EGFR	TRUE
10x_GBM	SPP1+ TAMs top10	CXCL3	TRUE
10x_GBM	SPP1+ TAMs top10	CCL20	TRUE
10x_GBM	SPP1+ TAMs top10	FN1	TRUE
10x_GBM	SPP1+ TAMs top10	SPP1	TRUE
10x_GBM	SPP1+ TAMs top10	INHBA	TRUE
10x_GBM	SPP1+ TAMs top10	MT1X	TRUE
10x_GBM	SPP1+ TAMs top10	FABP5	TRUE
10x_GBM	SPP1+ TAMs top10	SDC2	TRUE
10x_GBM	SPP1+ TAMs top10	MARCO	TRUE
10x_GBM	SPP1+ TAMs top10	IL7R	TRUE
10x_GBM	MDSC 19 genes	CXCL3	TRUE
10x_GBM	MDSC 19 genes	CXCL2	TRUE
10x_GBM	MDSC 19 genes	CCL20	TRUE
10x_GBM	MDSC 19 genes	CXCL8	TRUE
10x_GBM	MDSC 19 genes	SERPINB2	TRUE
10x_GBM	MDSC 19 genes	EREG	TRUE
10x_GBM	MDSC 19 genes	THBS1	TRUE
10x_GBM	MDSC 19 genes	IL1B	TRUE
10x_GBM	MDSC 19 genes	AREG	TRUE
10x_GBM	MDSC 19 genes	IL1RN	TRUE
10x_GBM	MDSC 19 genes	C15orf48	TRUE
10x_GBM	MDSC 19 genes	PLAUR	TRUE
10x_GBM	MDSC 19 genes	TIMP1	TRUE
10x_GBM	MDSC 19 genes	CCL3	TRUE
10x_GBM	MDSC 19 genes	PPIF	TRUE
10x_GBM	MDSC 19 genes	PTGS2	TRUE
10x_GBM	MDSC 19 genes	G0S2	TRUE
10x_GBM	MDSC 19 genes	PHLDA1	TRUE
10x_GBM	MDSC 19 genes	IER3	TRUE
10x_CRC	tumor_marker	EPCAM	TRUE
10x_CRC	SPP1+ TAMs top10	CXCL3	TRUE
10x_CRC	SPP1+ TAMs top10	CCL20	TRUE
10x_CRC	SPP1+ TAMs top10	FN1	TRUE
10x_CRC	SPP1+ TAMs top10	SPP1	TRUE
10x_CRC	SPP1+ TAMs top10	INHBA	TRUE
10x_CRC	SPP1+ TAMs top10	MT1X	TRUE
10x_CRC	SPP1+ TAMs top10	FABP5	TRUE
10x_CRC	SPP1+ TAMs top10	SDC2	TRUE
10x_CRC	SPP1+ TAMs top10	MARCO	TRUE
10x_CRC	SPP1+ TAMs top10	IL7R	TRUE
10x_CRC	MDSC 19 genes	CXCL3	TRUE
10x_CRC	MDSC 19 genes	CXCL2	TRUE
10x_CRC	MDSC 19 genes	CCL20	TRUE
10x_CRC	MDSC 19 genes	CXCL8	TRUE
10x_CRC	MDSC 19 genes	SERPINB2	TRUE
10x_CRC	MDSC 19 genes	EREG	TRUE
10x_CRC	MDSC 19 genes	THBS1	TRUE
10x_CRC	MDSC 19 genes	IL1B	TRUE
10x_CRC	MDSC 19 genes	AREG	TRUE
10x_CRC	MDSC 19 genes	IL1RN	TRUE
10x_CRC	MDSC 19 genes	C15orf48	TRUE
10x_CRC	MDSC 19 genes	PLAUR	TRUE
10x_CRC	MDSC 19 genes	TIMP1	TRUE
10x_CRC	MDSC 19 genes	CCL3	TRUE
10x_CRC	MDSC 19 genes	PPIF	TRUE
10x_CRC	MDSC 19 genes	PTGS2	TRUE
10x_CRC	MDSC 19 genes	G0S2	TRUE
10x_CRC	MDSC 19 genes	PHLDA1	TRUE
10x_CRC	MDSC 19 genes	IER3	TRUE
GSE274103_PDAC	tumor_marker	EPCAM	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	CXCL3	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	CCL20	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	FN1	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	SPP1	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	INHBA	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	MT1X	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	FABP5	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	SDC2	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	MARCO	TRUE
GSE274103_PDAC	SPP1+ TAMs top10	IL7R	TRUE
GSE274103_PDAC	MDSC 19 genes	CXCL3	TRUE
GSE274103_PDAC	MDSC 19 genes	CXCL2	TRUE
GSE274103_PDAC	MDSC 19 genes	CCL20	TRUE
GSE274103_PDAC	MDSC 19 genes	CXCL8	TRUE
GSE274103_PDAC	MDSC 19 genes	SERPINB2	TRUE
GSE274103_PDAC	MDSC 19 genes	EREG	TRUE
GSE274103_PDAC	MDSC 19 genes	THBS1	TRUE
GSE274103_PDAC	MDSC 19 genes	IL1B	TRUE
GSE274103_PDAC	MDSC 19 genes	AREG	TRUE
GSE274103_PDAC	MDSC 19 genes	IL1RN	TRUE
GSE274103_PDAC	MDSC 19 genes	C15orf48	TRUE
GSE274103_PDAC	MDSC 19 genes	PLAUR	TRUE
GSE274103_PDAC	MDSC 19 genes	TIMP1	TRUE
GSE274103_PDAC	MDSC 19 genes	CCL3	FALSE
GSE274103_PDAC	MDSC 19 genes	PPIF	TRUE
GSE274103_PDAC	MDSC 19 genes	PTGS2	TRUE
GSE274103_PDAC	MDSC 19 genes	G0S2	TRUE
GSE274103_PDAC	MDSC 19 genes	PHLDA1	TRUE
GSE274103_PDAC	MDSC 19 genes	IER3	TRUE
