resource_id	resource_type	url	output_path	priority	notes
zenodo_10407125	record_json	https://zenodo.org/api/records/10407125	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/zenodo_10407125_record.json	1	Record metadata and file list for ICB scRNA resource; do not download large files yet.
cellxgene_61e422dd	collection_json	https://api.cellxgene.cziscience.com/curation/v1/collections/61e422dd-c9cd-460e-9b91-72d9517348ef	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/cellxgene_collection_61e422dd.json	1	Collection metadata for ICB scRNA resource; do not download h5ad yet.
GSE205506	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205506/soft/GSE205506_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE205506_family.soft.gz	1	CRC neoadjuvant PD-1 metadata and sample fields.
GSE236581	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236581/soft/GSE236581_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE236581_family.soft.gz	1	CRC anti-PD-1 plus low-dose decitabine metadata.
GSE189926	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189926/soft/GSE189926_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE189926_family.soft.gz	1	GC validation dataset metadata.
GSE235863	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235863/soft/GSE235863_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE235863_family.soft.gz	1	HCC anti-PD-1 plus lenvatinib metadata.
GSE280315	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280315/soft/GSE280315_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE280315_family.soft.gz	2	CRC VisiumHD spatial metadata.
GSE132305	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132305/soft/GSE132305_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132305_family.soft.gz	2	CCA bulk reference metadata.
GSE178341	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178341/soft/GSE178341_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE178341_family.soft.gz	3	CRC TAM reference panel metadata.
GSE200997	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200997/soft/GSE200997_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE200997_family.soft.gz	3	CRC TAM reference panel metadata.
