resource_id	resource_type	url	output_path	priority	notes
zenodo_10407125_v4_index	xlsx	https://zenodo.org/api/records/14511579/files/v4%20ICB%20datasets.xlsx/content	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/zenodo_index/v4_ICB_datasets.xlsx	1	Small ICB resource index; needed before downloading large RDS objects.
OMIX001073_all_cell_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-04.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-04_All_cell_annotations.tsv	1	All-cell annotation table only; do not download all-cell matrix zip in this round.
OMIX001073_myeloid_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-15.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-15_Myeloid_cell_annotations.tsv	1	Myeloid annotation table.
OMIX001073_t_cell_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-17.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-17_T_cell_annotations.tsv	1	T-cell annotation table.
OMIX001073_stroma_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-11.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-11_Stroma_cell_annotations.tsv	1	Stromal annotation table.
OMIX001073_epithelial_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-16.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-16_Epithelial_cell_annotations.tsv	1	Epithelial annotation table.
OMIX001073_nk_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-09.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-09_NK_cell_annotations.tsv	2	NK annotation table.
OMIX001073_b_cell_annotations	tsv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-02.tsv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-02_B_cell_annotations.tsv	2	B-cell annotation table.
OMIX001073_bulk_normalized_expression	csv	https://download.cncb.ac.cn/OMIX/OMIX001073/OMIX001073-20-13.csv	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-13_Bulk_normalized_expression.csv	2	Small bulk normalized expression table from OMIX page.
STAD_PRJEB25780_CIDE_metadata	manual	manual	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/STAD_PRJEB25780_CIDE_metadata.tsv	1	Export sample-level ICI response metadata from CIDE for STAD-PRJEB25780 if accessible.
GSE205506_response_mapping	manual	manual	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/GSE205506_response_mapping.tsv	1	Find paper supplementary or processed metadata mapping sample/subject to pCR or non-pCR response.
GSE236581_response_mapping	manual	manual	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/GSE236581_response_mapping.tsv	1	Find paper supplementary or processed metadata mapping patient/sample to response.
PRJNA932556_sample_response_mapping	manual	manual	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/PRJNA932556_sample_response_mapping.tsv	1	Provide article-derived mapping between S1-S3/R1-R3 and sensitive/resistant groups.
PRJNA932556_processed_matrix_links	manual	manual	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/PRJNA932556_processed_matrix_links.tsv	2	Search for processed count matrix links before considering FASTQ reprocessing.
