resource_id	status	output_path	file_size_bytes	sha256	error_message
zenodo_10407125	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/zenodo_10407125_record.json	8323	c33b7efa389931c75ee6c98bb26c12bde59734b6b88e0011b760b1a342df9beb	
cellxgene_61e422dd	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/cellxgene_collection_61e422dd.json	12828	b466dd9caa8df9f5907c3b53d1f6608084af8653d87edb25ebeed1512356cf79	
GSE205506	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE205506_family.soft.gz	6752	592b6f23bec574d091b42fdd1fd02cf8f09d3de8d507f4067368e0602d050f4d	
GSE236581	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE236581_family.soft.gz	11784	2b5e3ca0f29ef77112a8d4d87d1ce79e739067f651a7a5228018438fed091f52	
GSE189926	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE189926_family.soft.gz	4409	0efc39e1dc29c2007732d21c9d4985ef8053e2c6df34de9e6a6f66e84cc7aa02	
GSE235863	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE235863_family.soft.gz	8913	3dd3afb2ead71aa6d1efd797bf6fb8ad168af91640a3a65bd9a129085b7c0695	
GSE280315	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE280315_family.soft.gz	3709	2574fd75f943d0037a7780a7f144f5efc09a39ebf74c47e1bad0998207643166	
GSE132305	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132305_family.soft.gz	119897316	bf7ccc017eca765b0ff3867051099e32ca29c92b3805818e500228b18d7d516c	
GSE178341	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE178341_family.soft.gz	20360	57e1a3e7b0404ed81fe9c9667d0e98580bba0d837c7276670651a9a9e759a841	
GSE200997	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE200997_family.soft.gz	3832	d1b83857d8128bcbb8a9ba7d5fcab6ac70f368c749e46afc2d63ceb744771be2	
GSE231559	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE231559_family.soft.gz	4373	40b5ec240ac7a242b2eda13a4fd8c4af2baea4ea9d8d3042f138ae27a0ebaf1f	
GSE132257	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132257_family.soft.gz	3824	9733f7599163e459930270c6800bb6e10888e38c1048945c2b348e616760d137	
GSE132465	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132465_family.soft.gz	4784	f834a84289a83c8f5a101772eb9f43ef299ee2ed8e1286b56f01f3ef3605cf44	
GSE144735	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE144735_family.soft.gz	3923	3ca0e2c8b90fd3e2d72f60b7c3a5bfedefe19a91f31e544e29fb7d37aa6d4f89	
GSE221575	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE221575_family.soft.gz	2751	f144c78f9c08aa6e49d56dbbc9d09740d6918d5f7ba7ca41d76c5e0b8c4a2eed	
GSE245552	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE245552_family.soft.gz	4981	d09828593d809e9b8dc3e0fc5f1b973a9f31f6519aecd2ace4140c7a6b3da683	
GSE225857	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE225857_family.soft.gz	3994	ed1801d5fc266a6d0cf01e944f16120e77d785040fcfdbec183f954bf576e876	
GSE164522	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE164522_family.soft.gz	3880	0237be505c8dcea6e30512be9e6ae0c07dae1566bef7840852622195fa793e79	
PRJNA932556	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/PRJNA932556_sra_runinfo.csv	3532	3928282147a09d3117af9b90d6dcc8985c0b93d8e5266f4c992648cb03701694	
PRJEB97203	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/PRJEB97203_ena_runinfo.tsv	3490	de2da3bbbb73d9591dcccba5ae6a7e60aa97d3783a2dbc936fab34c658b45c25	
OMIX001073	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/OMIX001073_page.html	62173	1802182ecee7f345843b31af90586d2f5549ed698fb96f0a69e43a42d340fd86	
STAD-PRJEB25780	verified_unavailable_public_sources	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/STAD_PRJEB25780_CIDE_metadata.tsv	415	cd35180ae5d31d8de5fd70e7bdb48d0d37a859c2f9be8128fb41489fb7b06fa8	CIDE STAD-PRJEB25780 sample-level metadata export/static response table was not publicly reproducible after 2026-07-11 refresh; evidence recorded in STAD_PRJEB25780_CIDE_metadata.tsv and manual_source_audit.tsv.
