Treatment	Tissue	MajorCellType	SubCellType	cell_count
"""I"""	"""Blood"""	"""B"""	"""c39_NaiveB_TCL1A"""	9339
"""I"""	"""Blood"""	"""B"""	"""c40_NaiveB_IGHD"""	5
"""I"""	"""Blood"""	"""B"""	"""c41_MemB_CD27"""	6505
"""I"""	"""Blood"""	"""B"""	"""c42_MemB_GPR183"""	17
"""I"""	"""Blood"""	"""B"""	"""c44_GCB_MKI67"""	7
"""I"""	"""Blood"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	858
"""I"""	"""Blood"""	"""B"""	"""c46_PlasmaB_IGHA1"""	50
"""I"""	"""Blood"""	"""B"""	"""c47_PlasmaB_IGHG1"""	16
"""I"""	"""Blood"""	"""B"""	"""c48_PlasmaB_MKI67"""	97
"""I"""	"""Blood"""	"""Epi"""	"""c84_Coloncyte_CA2"""	8
"""I"""	"""Blood"""	"""Epi"""	"""c90_Epi_MKI67"""	9
"""I"""	"""Blood"""	"""Epi"""	"""c91_Epi_Tumor"""	13
"""I"""	"""Blood"""	"""ILC"""	"""c33_ILC_GZMK"""	3515
"""I"""	"""Blood"""	"""ILC"""	"""c34_ILC_NR4A2"""	29
"""I"""	"""Blood"""	"""ILC"""	"""c35_ILC_FCGR3A"""	12966
"""I"""	"""Blood"""	"""ILC"""	"""c36_ILC_SYNE2"""	1184
"""I"""	"""Blood"""	"""ILC"""	"""c37_ILC_SLC4A10"""	4
"""I"""	"""Blood"""	"""ILC"""	"""c38_ILC_MKI67"""	570
"""I"""	"""Blood"""	"""Mye"""	"""c49_Mono_CD14"""	17758
"""I"""	"""Blood"""	"""Mye"""	"""c50_Mono_FCGR3A"""	5682
"""I"""	"""Blood"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	332
"""I"""	"""Blood"""	"""Mye"""	"""c52_Mast_TPSAB1"""	20
"""I"""	"""Blood"""	"""Mye"""	"""c53_Neu_CXCR2"""	3
"""I"""	"""Blood"""	"""Mye"""	"""c54_pDC_LILRA4"""	262
"""I"""	"""Blood"""	"""Mye"""	"""c55_pDC_GZMB"""	1
"""I"""	"""Blood"""	"""Mye"""	"""c56_tDC_SIGLEC6"""	72
"""I"""	"""Blood"""	"""Mye"""	"""c57_cDC_CLEC9A"""	95
"""I"""	"""Blood"""	"""Mye"""	"""c58_cDC_CD1C"""	859
"""I"""	"""Blood"""	"""Mye"""	"""c59_cDC_IL1B"""	2
"""I"""	"""Blood"""	"""Mye"""	"""c60_cDC_LAMP3"""	9
"""I"""	"""Blood"""	"""Mye"""	"""c61_Mph_FCGR3A"""	2
"""I"""	"""Blood"""	"""Mye"""	"""c62_Mph_S100A8"""	6
"""I"""	"""Blood"""	"""Mye"""	"""c64_Mph_SPP1"""	1
"""I"""	"""Blood"""	"""Mye"""	"""c65_Mph_APOE"""	5
"""I"""	"""Blood"""	"""Stromal"""	"""c70_Endo_COL4A1"""	1
"""I"""	"""Blood"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	1
"""I"""	"""Blood"""	"""T"""	"""c01_CD4_Tn_CCR7"""	24175
"""I"""	"""Blood"""	"""T"""	"""c02_CD4_Tn_SELL"""	13394
"""I"""	"""Blood"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	7
"""I"""	"""Blood"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	12223
"""I"""	"""Blood"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	9
"""I"""	"""Blood"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	9
"""I"""	"""Blood"""	"""T"""	"""c07_CD4_Th17_CTSH"""	2
"""I"""	"""Blood"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	2
"""I"""	"""Blood"""	"""T"""	"""c10_CD4_Temra_GZMB"""	3274
"""I"""	"""Blood"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	2619
"""I"""	"""Blood"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	4
"""I"""	"""Blood"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	7
"""I"""	"""Blood"""	"""T"""	"""c14_CD4_MT"""	1138
"""I"""	"""Blood"""	"""T"""	"""c15_CD8_Tn_CCR7"""	9582
"""I"""	"""Blood"""	"""T"""	"""c16_CD8_Tn_SELL"""	1
"""I"""	"""Blood"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	5506
"""I"""	"""Blood"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	1
"""I"""	"""Blood"""	"""T"""	"""c19_CD8_Tem_CMC1"""	5695
"""I"""	"""Blood"""	"""T"""	"""c20_CD8_Tem_GZMK"""	6
"""I"""	"""Blood"""	"""T"""	"""c21_CD8_Trm_XCL1"""	2
"""I"""	"""Blood"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	2
"""I"""	"""Blood"""	"""T"""	"""c23_CD8_Tex_LAYN"""	11
"""I"""	"""Blood"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	16543
"""I"""	"""Blood"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	9972
"""I"""	"""Blood"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	1824
"""I"""	"""Blood"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	5
"""I"""	"""Blood"""	"""T"""	"""c28_CD8_IEL_CD160"""	2
"""I"""	"""Blood"""	"""T"""	"""c29_T_MKI67"""	1069
"""I"""	"""Blood"""	"""T"""	"""c30_gdT_TRDV2"""	5297
"""I"""	"""Blood"""	"""T"""	"""c31_DNT"""	14924
"""I"""	"""Blood"""	"""T"""	"""c32_DPT"""	5060
"""I"""	"""Normal"""	"""B"""	"""c39_NaiveB_TCL1A"""	69
"""I"""	"""Normal"""	"""B"""	"""c40_NaiveB_IGHD"""	662
"""I"""	"""Normal"""	"""B"""	"""c41_MemB_CD27"""	121
"""I"""	"""Normal"""	"""B"""	"""c42_MemB_GPR183"""	3696
"""I"""	"""Normal"""	"""B"""	"""c43_GCB_LRMP"""	197
"""I"""	"""Normal"""	"""B"""	"""c44_GCB_MKI67"""	302
"""I"""	"""Normal"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	192
"""I"""	"""Normal"""	"""B"""	"""c46_PlasmaB_IGHA1"""	17307
"""I"""	"""Normal"""	"""B"""	"""c47_PlasmaB_IGHG1"""	879
"""I"""	"""Normal"""	"""B"""	"""c48_PlasmaB_MKI67"""	65
"""I"""	"""Normal"""	"""Epi"""	"""c84_Coloncyte_CA2"""	19838
"""I"""	"""Normal"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	3075
"""I"""	"""Normal"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	1584
"""I"""	"""Normal"""	"""Epi"""	"""c87_Goblet_MUC2"""	6490
"""I"""	"""Normal"""	"""Epi"""	"""c88_EEC_PCSK1N"""	222
"""I"""	"""Normal"""	"""Epi"""	"""c89_Tuft_PTGS1"""	407
"""I"""	"""Normal"""	"""Epi"""	"""c90_Epi_MKI67"""	3802
"""I"""	"""Normal"""	"""Epi"""	"""c91_Epi_Tumor"""	1180
"""I"""	"""Normal"""	"""ILC"""	"""c33_ILC_GZMK"""	21
"""I"""	"""Normal"""	"""ILC"""	"""c34_ILC_NR4A2"""	684
"""I"""	"""Normal"""	"""ILC"""	"""c35_ILC_FCGR3A"""	34
"""I"""	"""Normal"""	"""ILC"""	"""c36_ILC_SYNE2"""	2
"""I"""	"""Normal"""	"""ILC"""	"""c37_ILC_SLC4A10"""	381
"""I"""	"""Normal"""	"""ILC"""	"""c38_ILC_MKI67"""	4
"""I"""	"""Normal"""	"""Mye"""	"""c49_Mono_CD14"""	19
"""I"""	"""Normal"""	"""Mye"""	"""c50_Mono_FCGR3A"""	6
"""I"""	"""Normal"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	2
"""I"""	"""Normal"""	"""Mye"""	"""c52_Mast_TPSAB1"""	1438
"""I"""	"""Normal"""	"""Mye"""	"""c55_pDC_GZMB"""	40
"""I"""	"""Normal"""	"""Mye"""	"""c56_tDC_SIGLEC6"""	1
"""I"""	"""Normal"""	"""Mye"""	"""c57_cDC_CLEC9A"""	71
"""I"""	"""Normal"""	"""Mye"""	"""c58_cDC_CD1C"""	14
"""I"""	"""Normal"""	"""Mye"""	"""c59_cDC_IL1B"""	357
