field	non_missing	unique_values
orig.ident	9451	1
nCount_RNA	9451	5873
nFeature_RNA	9451	2814
donor_id	9451	19
sample	9451	19
patient	9451	15
id	9451	19
cell_id	9451	9451
cell_types	9451	8
No.a	9451	19
Sex	9451	2
Age..Years.b	9451	14
Race	9451	3
Diagnosis	9451	2
Stage	9451	3
Etiology	9451	3
Biopsy.Timingc	9451	5
Treatmentd	9451	3
outcome	9451	3
set	9451	2
Treatment	9451	3
Sample	9451	19
Source	9451	1
Gender	9451	2
Stage.y	9451	1
pre_post	9451	2
donor_id_pre_post	9451	19
donor_id_outcome	9451	19
donor_id_cell_types	9451	66
donor_id_cell_types_pre_post	9451	66
sample_id_pre_post_outcome	9451	19
enough_cells	9451	1
Study_name	9451	1
Cancer_type	9451	2
Primary_or_met	9451	1
RNA_snn_res.0.8	9451	28
seurat_clusters	9451	28
