pre_post	Treatment	outcome	Cancer_type	Freq
Post	NO	Not_app	HCC	0
Pre	NO	Not_app	HCC	1713
Post	PD-1	Not_app	HCC	0
Pre	PD-1	Not_app	HCC	0
Post	PD-L1/CTLA-4	Not_app	HCC	0
Pre	PD-L1/CTLA-4	Not_app	HCC	0
Post	NO	PD-1	HCC	0
Pre	NO	PD-1	HCC	0
Post	PD-1	PD-1	HCC	0
Pre	PD-1	PD-1	HCC	0
Post	PD-L1/CTLA-4	PD-1	HCC	0
Pre	PD-L1/CTLA-4	PD-1	HCC	0
Post	NO	PD-L1/CTLA-4	HCC	0
Pre	NO	PD-L1/CTLA-4	HCC	0
Post	PD-1	PD-L1/CTLA-4	HCC	0
Pre	PD-1	PD-L1/CTLA-4	HCC	0
Post	PD-L1/CTLA-4	PD-L1/CTLA-4	HCC	1963
Pre	PD-L1/CTLA-4	PD-L1/CTLA-4	HCC	0
Post	NO	Not_app	iCCA	0
Pre	NO	Not_app	iCCA	1409
Post	PD-1	Not_app	iCCA	0
Pre	PD-1	Not_app	iCCA	0
Post	PD-L1/CTLA-4	Not_app	iCCA	0
Pre	PD-L1/CTLA-4	Not_app	iCCA	0
Post	NO	PD-1	iCCA	0
Pre	NO	PD-1	iCCA	0
Post	PD-1	PD-1	iCCA	2876
Pre	PD-1	PD-1	iCCA	0
Post	PD-L1/CTLA-4	PD-1	iCCA	0
Pre	PD-L1/CTLA-4	PD-1	iCCA	0
Post	NO	PD-L1/CTLA-4	iCCA	0
Pre	NO	PD-L1/CTLA-4	iCCA	0
Post	PD-1	PD-L1/CTLA-4	iCCA	0
Pre	PD-1	PD-L1/CTLA-4	iCCA	0
Post	PD-L1/CTLA-4	PD-L1/CTLA-4	iCCA	1490
Pre	PD-L1/CTLA-4	PD-L1/CTLA-4	iCCA	0
