characteristics_ch1::outcome	binary_response_group	timepoint	timepoint_simple	working_celltype_label	cell_count	proportion_within_outcome_timepoint	metadata_note
NE	not_in_binary_response	post-treatment	post-treatment	B_cells	540	0.07269789983844911	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	post-treatment	post-treatment	Mast_cells	483	0.06502423263327949	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	post-treatment	post-treatment	Monocytes	1452	0.19547657512116318	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	post-treatment	post-treatment	Plasma_cells	3388	0.4561120086160474	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	post-treatment	post-treatment	T_cells	1565	0.21068928379106086	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	pre-treatment	pre-treatment	B_cells	219	0.020551801801801804	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	pre-treatment	pre-treatment	Mast_cells	123	0.011542792792792793	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	pre-treatment	pre-treatment	Monocytes	6553	0.6149587087087087	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	pre-treatment	pre-treatment	Plasma_cells	2864	0.26876876876876876	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
NE	not_in_binary_response	pre-treatment	pre-treatment	T_cells	897	0.08417792792792793	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
PD	non_responder	post-treatment	post-treatment	B_cells	96	0.037706205813040065	binary_response_group rule: CR/PR -> responder; SD/PD -> non_responder; all other raw outcome labels including NE -> not_in_binary_response
