dataset_id	cluster	working_cluster_field	assigned_celltype	supporting_marker_group	supporting_markers_present	mean_normalized_expression	mean_fraction_expressing	evidence_note
GSE189926	0	leiden_0.5	T_cells	T_cells	CD3D,CD3E,TRAC,IL7R,CCR7,LTB	0.970343291759491	0.46210528774290355	CD3D,CD3E,TRAC,IL7R,CCR7,LTB supported T_cells
GSE189926	1	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.4786232709884644	0.5267271618117516	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	10	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	3.361298084259033	0.8658552806597936	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	11	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.5011684894561768	0.5076936840221886	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	12	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.2806692123413086	0.7434473789515512	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	13	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	0.5340083837509155	0.501482521847673	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	14	leiden_0.5	Mast_cells	Mast_cells	TPSAB1,TPSB2,KIT,CPA3	4.098729133605957	0.9403677188415518	TPSAB1,TPSB2,KIT,CPA3 supported Mast_cells
GSE189926	15	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	1.6733872890472412	0.635526315789454	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	16	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	0.5596383810043335	0.25699237195786023	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	17	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	2.541445255279541	0.8217175672148183	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	18	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.8474056720733643	0.666597251145366	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	19	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	0.41899800300598145	0.41573275862068104	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	2	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.9624234437942505	0.6073583379984081	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	20	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	2.778728723526001	0.895203836930486	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	21	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	2.6929330825805664	0.8666484118291518	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	22	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	3.250497341156006	0.839754327191526	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	23	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.3576897382736206	0.6501419302514372	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	24	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.3320239782333374	0.5374373433583899	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	25	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	1.0426359176635742	0.7295361527967291	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	26	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	2.5137951374053955	0.8850093109869751	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	27	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	0.37010589241981506	0.4407449209932278	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	28	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	3.501216173171997	0.8913793103448324	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	29	leiden_0.5	Mast_cells	Mast_cells	TPSAB1,TPSB2,KIT,CPA3	3.872926712036133	0.9451219512195141	TPSAB1,TPSB2,KIT,CPA3 supported Mast_cells
GSE189926	3	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	1.3520067930221558	0.6206821336506614	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	4	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	0.31975579261779785	0.22639537742807714	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	5	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	1.0455410480499268	0.694839563347696	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
GSE189926	6	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	0.9199368953704834	0.35472770795928804	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	7	leiden_0.5	Monocytes	Monocytes	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A	0.4072670638561249	0.2756176977590532	LYZ,S100A8,S100A9,FCN1,LST1,FCGR3A supported Monocytes
GSE189926	8	leiden_0.5	B_cells	B_cells	MS4A1,CD79A,CD79B,BANK1	1.1372110843658447	0.4754519309778233	MS4A1,CD79A,CD79B,BANK1 supported B_cells
GSE189926	9	leiden_0.5	Plasma_cells	Plasma_cells	MZB1,JCHAIN,XBP1,IGHG1	2.6400997638702393	0.8718827229836392	MZB1,JCHAIN,XBP1,IGHG1 supported Plasma_cells
