dataset_id	cluster	working_cluster_field	rank	names	scores	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	marker_method
GSE189926	0	leiden_0.5	1	TRBC2	1.8380203247070312	2.1050822734832764	0.2670619785785675	0.7881165919282511	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	2	EEF1A1	1.6996607780456543	4.374703407287598	2.6750426292419434	0.9789798206278026	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	3	CCL5	1.6737489700317383	2.1804447174072266	0.5066956877708435	0.742432735426009	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	4	BTG1	1.6137827634811401	2.871087074279785	1.257304310798645	0.8958800448430493	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	5	PTMA	1.6103227138519287	3.2468976974487305	1.6365749835968018	0.9593609865470852	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	6	TMSB4X	1.596977949142456	4.543447017669678	2.9464690685272217	0.9796104260089686	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	7	RGS1	1.5893622636795044	2.4636971950531006	0.8743349313735962	0.7898682735426009	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	8	IL32	1.5875580310821533	1.9945616722106934	0.4070037007331848	0.7789377802690582	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	9	RPLP1	1.5799944400787354	3.6522750854492188	2.0722806453704834	0.9559977578475336	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	10	RPS27	1.5414258241653442	3.1035144329071045	1.5620886087417603	0.9602017937219731	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	11	RPL13A	1.4954410791397095	3.210744619369507	1.7153035402297974	0.9449271300448431	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	12	RPS12	1.4656440019607544	3.030904531478882	1.5652605295181274	0.9281109865470852	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	13	RPS27A	1.4636950492858887	2.9082469940185547	1.444551944732666	0.9194226457399103	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	14	RPL23A	1.4622656106948853	2.7500879764556885	1.2878223657608032	0.9238368834080718	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	15	ZFP36L2	1.4300041198730469	2.271517276763916	0.8415131568908691	0.8153727578475336	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	16	RPL13	1.417003870010376	3.260819435119629	1.843815565109253	0.937289798206278	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	17	RPL10	1.403696060180664	3.147599697113037	1.743903636932373	0.9351177130044843	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	18	RPS15A	1.4011493921279907	2.6633331775665283	1.2621837854385376	0.9095431614349776	mean_log_normalized_expression_difference
GSE189926	0	leiden_0.5	19	RPS19	1.3974255323410034	2.8637311458587646	1.4663056135177612	0.9111547085201793	mean_log_normalized_expression_difference
