dataset_id	cluster_field	resolution	cluster	cell_count
GSE189926	leiden_0.3	0.3	0	26741
GSE189926	leiden_0.3	0.3	1	17129
GSE189926	leiden_0.3	0.3	2	14459
GSE189926	leiden_0.3	0.3	3	9112
GSE189926	leiden_0.3	0.3	4	8007
GSE189926	leiden_0.3	0.3	5	7309
GSE189926	leiden_0.3	0.3	6	4856
GSE189926	leiden_0.3	0.3	7	4785
GSE189926	leiden_0.3	0.3	8	4147
GSE189926	leiden_0.3	0.3	9	3932
GSE189926	leiden_0.3	0.3	10	3365
GSE189926	leiden_0.3	0.3	11	3209
GSE189926	leiden_0.3	0.3	12	3161
GSE189926	leiden_0.3	0.3	13	3074
GSE189926	leiden_0.3	0.3	14	2326
GSE189926	leiden_0.3	0.3	15	2077
GSE189926	leiden_0.3	0.3	16	1874
GSE189926	leiden_0.3	0.3	17	1766
GSE189926	leiden_0.3	0.3	18	123
GSE189926	leiden_0.5	0.5	0	14272
GSE189926	leiden_0.5	0.5	1	13114
GSE189926	leiden_0.5	0.5	2	10718
GSE189926	leiden_0.5	0.5	3	8405
GSE189926	leiden_0.5	0.5	4	8134
GSE189926	leiden_0.5	0.5	5	6046
GSE189926	leiden_0.5	0.5	6	5570
GSE189926	leiden_0.5	0.5	7	5221
GSE189926	leiden_0.5	0.5	8	4868
GSE189926	leiden_0.5	0.5	9	4451
GSE189926	leiden_0.5	0.5	10	3759
GSE189926	leiden_0.5	0.5	11	3726
GSE189926	leiden_0.5	0.5	12	3332
GSE189926	leiden_0.5	0.5	13	3204
GSE189926	leiden_0.5	0.5	14	3073
GSE189926	leiden_0.5	0.5	15	2850
GSE189926	leiden_0.5	0.5	16	2753
GSE189926	leiden_0.5	0.5	17	2554
GSE189926	leiden_0.5	0.5	18	2401
GSE189926	leiden_0.5	0.5	19	2320
GSE189926	leiden_0.5	0.5	20	2085
GSE189926	leiden_0.5	0.5	21	1826
GSE189926	leiden_0.5	0.5	22	1791
GSE189926	leiden_0.5	0.5	23	1644
GSE189926	leiden_0.5	0.5	24	1064
GSE189926	leiden_0.5	0.5	25	733
GSE189926	leiden_0.5	0.5	26	537
GSE189926	leiden_0.5	0.5	27	443
GSE189926	leiden_0.5	0.5	28	435
GSE189926	leiden_0.5	0.5	29	123
GSE189926	leiden_0.8	0.8	0	15423
GSE189926	leiden_0.8	0.8	1	14139
GSE189926	leiden_0.8	0.8	2	9373
GSE189926	leiden_0.8	0.8	3	8173
GSE189926	leiden_0.8	0.8	4	6009
GSE189926	leiden_0.8	0.8	5	5068
GSE189926	leiden_0.8	0.8	6	4616
GSE189926	leiden_0.8	0.8	7	4344
GSE189926	leiden_0.8	0.8	8	4141
GSE189926	leiden_0.8	0.8	9	3865
GSE189926	leiden_0.8	0.8	10	3663
GSE189926	leiden_0.8	0.8	11	3321
GSE189926	leiden_0.8	0.8	12	3301
GSE189926	leiden_0.8	0.8	13	3235
GSE189926	leiden_0.8	0.8	14	3147
GSE189926	leiden_0.8	0.8	15	2968
GSE189926	leiden_0.8	0.8	16	2783
GSE189926	leiden_0.8	0.8	17	2491
GSE189926	leiden_0.8	0.8	18	2384
GSE189926	leiden_0.8	0.8	19	2244
GSE189926	leiden_0.8	0.8	20	2085
GSE189926	leiden_0.8	0.8	21	1876
GSE189926	leiden_0.8	0.8	22	1746
GSE189926	leiden_0.8	0.8	23	1724
GSE189926	leiden_0.8	0.8	24	1680
GSE189926	leiden_0.8	0.8	25	1545
GSE189926	leiden_0.8	0.8	26	1064
GSE189926	leiden_0.8	0.8	27	1031
GSE189926	leiden_0.8	0.8	28	953
GSE189926	leiden_0.8	0.8	29	758
GSE189926	leiden_0.8	0.8	30	538
GSE189926	leiden_0.8	0.8	31	458
GSE189926	leiden_0.8	0.8	32	454
GSE189926	leiden_0.8	0.8	33	444
GSE189926	leiden_0.8	0.8	34	285
GSE189926	leiden_0.8	0.8	35	123
