annotation_set	cluster_label	cell_count	source_annotation_file	cluster_column	marker_genes_if_present	marker_note
myeloid	DC_LAMP3	120	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	Mono_CD14	964	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	Mono_FCGR3A	443	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	Mφ_APOE	1170	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	Mφ_THBS1	1780	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	cDC1_XCR1	81	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	cDC2_CD1C	770	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
myeloid	pDC_LILRA4	224	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	myeloid_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
stroma	Endothelial cells	2584	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	stroma_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
stroma	Fibroblasts	2712	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	stroma_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
stroma	Myofibroblasts	128	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	stroma_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
stroma	Smooth muscle cells	1225	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	stroma_cluster		source table contains annotation labels and QC fields; marker genes not present as explicit columns
