Gene_Symbol,GC10_P,GC10_T,GC01_P,GC01_T,GC02_P,GC02_T,GC03_P,GC03_T,GC04_P,GC04_T,GC05_P,GC05_T,GC07_P1,GC07_P2,GC07_T,GC08_P,GC08_T1,GC08_T2,GC09_P,GC09_T
MT-CO1,1581989.48068198,405811.182775615,817185.574802521,147235.589295098,417738.520945707,283651.818618591,1771965.07529561,1052127.76653807,1485774.14676376,36594.5363792657,542692.537922841,628499.65081744,928367.098020655,916452.165748964,535854.579244544,780481.34660855,441608.268051017,421339.262935753,423690.792562726,490140.410985706
MT-ND4,644886.773316054,114194.179014235,375617.05360142,114749.340797207,149502.99663664,110991.369665969,830305.646090479,489555.383387177,565572.333126983,7912.50980836591,238361.318298075,328805.715393176,397862.504287795,398354.149521492,181538.674351345,253511.334768367,163661.228053319,157500.17469164,127435.804437612,136721.301284914
MT-CO3,460703.275715639,146877.888542585,256331.672069421,96886.6413505261,76945.046926449,65239.5774451666,547164.033422699,374795.11738957,373679.784357491,7658.29649170946,145610.883032151,203917.845293793,251749.241165217,300403.240391011,134540.892367064,214578.140374099,205909.07505099,180587.95545319,113876.065073189,141454.062357138
MT-RNR2,660843.434629011,80698.4639782233,247541.19196598,46686.0851386114,173687.879873612,130115.543742295,756907.661793207,545324.070596224,488389.162890502,102721.864345654,167125.045046377,203162.233225465,347595.884427964,432840.629957483,130431.694147995,192431.140955331,134348.171834869,113856.252632677,157247.043088786,202592.729567262
PGC,833113.045496149,21920.7466433556,455057.331122612,686.617734276698,167812.660346838,84764.0561168047,2258188.7089512,765534.056732755,1070991.64234848,303360.226011826,230960.731049778,174844.688608689,2727147.34102842,2749837.96022661,1540.23443681578,16959.1927902552,5299.50425971126,28.3524631265812,26293.294694371,797.592589304401
MT-CO2,290612.774555289,131924.926335831,175536.273846875,72577.9884483889,102425.266661361,83222.1356958291,392974.840347835,276911.655894117,292372.012015313,3178.97915190354,124180.556664846,155446.34805903,187978.395372027,209824.233344316,91980.391784486,202172.820342562,133347.624011157,165289.602584758,105042.974071088,123791.514706834
EEF1A1,166994.781173382,68376.9800748944,133444.402426723,78242.8664968285,133329.200338963,91325.8486134507,125266.91634945,132785.141214016,123062.189999843,168588.801409707,130645.269237691,113540.499595725,170296.214496006,202579.066636019,104165.48571353,183694.302560895,134737.482832463,120406.541347899,136871.065345842,173306.28964473
MT-ND2,307655.574593309,53632.8231564672,141760.778832149,99986.5083706638,135467.250402557,91455.6791429595,461240.90015751,250858.906408001,246717.762744687,2805.56068247028,130413.582851561,213887.542832456,245602.616567896,226106.637648094,92659.169746131,127154.433175393,108300.225770572,102271.487435181,80201.2615588545,83955.6247059235
MT-ATP6,362599.117686888,78463.882082388,139904.676882242,60495.8313697748,68779.5716005665,67617.1644790611,415638.145754284,248689.666347762,289084.110532566,2197.70026364531,89770.9967929331,129112.149252705,196132.806550524,225686.936196823,103856.08753683,129308.83896156,115048.020161611,117361.649750271,92967.5897185837,100615.475694789
MT-CYB,339639.001887267,83964.0783402299,149776.611782603,37596.037013596,88970.0578703294,60175.5065406679,430038.036069854,248984.780066091,293645.634324156,1454.37418925168,112072.900775932,169141.645773837,186448.690230112,179738.244100048,83685.9417532918,123507.547134131,107079.136068802,97534.6793012294,67453.2618637668,90324.6083801137
