resource_id	status	output_path	file_size_bytes	sha256	error_message
zenodo_10407125_v4_index	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/zenodo_index/v4_ICB_datasets.xlsx	149541	83d7376040f2636d9712c9715aa4f39ef2ed6105db0aabd74a8172a28e302b17	
OMIX001073_all_cell_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-04_All_cell_annotations.tsv	20466693	4e69d7f97c242df0aa71de80fb7110e0547c45a14ef149e51b85cf7ae297788f	
OMIX001073_myeloid_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-15_Myeloid_cell_annotations.tsv	509856	5419b09ca3c797fd01901d7bf92b870ad984419fea066ad5f5ccb306c805b6c5	
OMIX001073_t_cell_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-17_T_cell_annotations.tsv	15042250	27094def99473b05a5a9854beab79433181b51a468d41b7a637e6aa387bd9991	
OMIX001073_stroma_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-11_Stroma_cell_annotations.tsv	822838	dc15ffec16370f8a208cf7bdb5c3bfd519794e3836eaefcfc828747791569063	
OMIX001073_epithelial_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-16_Epithelial_cell_annotations.tsv	3882793	cb6e3cc3d4a77ce8c63eaac5267cbdc419e7cdfc6906925eff0bc3c5a9709df6	
OMIX001073_nk_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-09_NK_cell_annotations.tsv	2170303	ee846e3f0b3ef930e416af69b69972c4365dfba8b5bff54f7ef3bf66657ee01a	
OMIX001073_b_cell_annotations	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-02_B_cell_annotations.tsv	2431740	f6efc788997caee6eae6981565e42a09548647309cf4ab7c77ea194854378997	
OMIX001073_bulk_normalized_expression	downloaded	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/OMIX001073_annotations/OMIX001073-20-13_Bulk_normalized_expression.csv	10375909	a5e95ad0fec944e49598ed89deb60aa2ecc719a599e281a72e9fced1db33d69c	
STAD_PRJEB25780_CIDE_metadata	verified_unavailable_public_sources	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/STAD_PRJEB25780_CIDE_metadata.tsv	419	3b462a04c3d78043b2c77eae472ba6c76512ee4a99259d73ec6c5663d2aaf22f	CIDE STAD-PRJEB25780 sample-level metadata export/static response table was not publicly reproducible after 2026-07-11 refresh; evidence recorded in manual_source_audit.tsv.
GSE205506_response_mapping	verified_unavailable_public_sources	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/GSE205506_response_mapping.tsv	13486	8ffd56265dfffd8d61f993c226cd1a419f44474dd9a096330ff35c99149c2103	Exact pCR/non-pCR response table not publicly accessible after 2026-07-11 refresh; GEO sample metadata retained and evidence recorded in manual_source_audit.tsv.
GSE236581_response_mapping	verified_unavailable_public_sources	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/GSE236581_response_mapping.tsv	50709	1ae168af59c3c67daeea7956897f71358546db65996aab7903c2161fcb2b435a	Exact per-patient CR/PR/SD response table not publicly accessible after 2026-07-11 refresh; GEO sample metadata retained and evidence recorded in manual_source_audit.tsv.
PRJNA932556_sample_response_mapping	manual_done	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/PRJNA932556_sample_response_mapping.tsv	2370	f101f458a18106e676dbb4315de5074214a58e8e0d3b79bb298f59cf3fd49a2c	
PRJNA932556_processed_matrix_links	verified_unavailable_public_sources	/Volumes/research/pan_gi_ici_ccc_20260709/02_input/response_metadata/PRJNA932556_processed_matrix_links.tsv	345	29fbe5b039edfcf4ade35133624d83b592b7a161cad7019de8024c38f037374a	No public processed matrix endpoint found after 2026-07-11 SRA/ENA/web refresh; evidence recorded in manual_source_audit.tsv.
