file_name	original_relative_path	upload_status	local_path	file_size_bytes	sha256
download_status.tsv	download_status.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\download_status.tsv	3961	4e7d66e6d50438894de7bd5afdc05a1c9680f2a9c52bcc1543bf5e2770bd5a19
OMIX001073_annotations__OMIX001073-16_Epithelial_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-16_Epithelial_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-16_Epithelial_cell_annotations.tsv	3882793	cb6e3cc3d4a77ce8c63eaac5267cbdc419e7cdfc6906925eff0bc3c5a9709df6
OMIX001073_annotations__OMIX001073-17_T_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-17_T_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-17_T_cell_annotations.tsv	15042250	27094def99473b05a5a9854beab79433181b51a468d41b7a637e6aa387bd9991
OMIX001073_annotations__OMIX001073-20-02_B_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-20-02_B_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-02_B_cell_annotations.tsv	2431740	f6efc788997caee6eae6981565e42a09548647309cf4ab7c77ea194854378997
OMIX001073_annotations__OMIX001073-20-04_All_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-20-04_All_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-04_All_cell_annotations.tsv	20466693	4e69d7f97c242df0aa71de80fb7110e0547c45a14ef149e51b85cf7ae297788f
OMIX001073_annotations__OMIX001073-20-09_NK_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-20-09_NK_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-09_NK_cell_annotations.tsv	2170303	ee846e3f0b3ef930e416af69b69972c4365dfba8b5bff54f7ef3bf66657ee01a
OMIX001073_annotations__OMIX001073-20-11_Stroma_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-20-11_Stroma_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-11_Stroma_cell_annotations.tsv	822838	dc15ffec16370f8a208cf7bdb5c3bfd519794e3836eaefcfc828747791569063
OMIX001073_annotations__OMIX001073-20-13_Bulk_normalized_expression.csv	OMIX001073_annotations/OMIX001073-20-13_Bulk_normalized_expression.csv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-13_Bulk_normalized_expression.csv	10375909	a5e95ad0fec944e49598ed89deb60aa2ecc719a599e281a72e9fced1db33d69c
OMIX001073_annotations__OMIX001073-20-15_Myeloid_cell_annotations.tsv	OMIX001073_annotations/OMIX001073-20-15_Myeloid_cell_annotations.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\OMIX001073_annotations\OMIX001073-20-15_Myeloid_cell_annotations.tsv	509856	5419b09ca3c797fd01901d7bf92b870ad984419fea066ad5f5ccb306c805b6c5
response_metadata__GSE205506_response_mapping.tsv	response_metadata/GSE205506_response_mapping.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\response_metadata\GSE205506_response_mapping.tsv	17963	1b0fc50fa3a2f9f82ca9278d224bef62064c335124f09ced966b8c9a9d82880f
response_metadata__GSE236581_response_mapping.tsv	response_metadata/GSE236581_response_mapping.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\response_metadata\GSE236581_response_mapping.tsv	73352	7a4742ed13e52a40d3b421cb597cd2385f36eafa3a66fc3022629dfd180130c7
response_metadata__PRJNA932556_processed_matrix_links.tsv	response_metadata/PRJNA932556_processed_matrix_links.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\response_metadata\PRJNA932556_processed_matrix_links.tsv	481	424eddc28ca318e52653c33571ca1eb40a8b793a8bb7892b6787616e1bc2391a
response_metadata__PRJNA932556_sample_response_mapping.tsv	response_metadata/PRJNA932556_sample_response_mapping.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\response_metadata\PRJNA932556_sample_response_mapping.tsv	2370	f101f458a18106e676dbb4315de5074214a58e8e0d3b79bb298f59cf3fd49a2c
response_metadata__STAD_PRJEB25780_CIDE_metadata.tsv	response_metadata/STAD_PRJEB25780_CIDE_metadata.tsv	uploaded	I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\02_input\response_metadata\STAD_PRJEB25780_CIDE_metadata.tsv	463	89c68473b9e4be33cef6277cd95abf302c8a2d71f31b7f6625fcba4e9f07ca4b
