cluster	rank	gene	score_mean_log_normalized_difference	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	technical_gene_excluded	marker_method
0	1	CXCL8	4.172294616699219	5.365603923797607	1.1933091878890991	0.9797962503210341	False	mean_log_normalized_expression_difference
0	2	S100A9	3.4878621101379395	4.436191558837891	0.9483293890953064	0.9503895214450817	False	mean_log_normalized_expression_difference
0	3	G0S2	3.157682180404663	3.5655384063720703	0.4078562259674072	0.9108381131752419	False	mean_log_normalized_expression_difference
0	4	HCAR2	2.9808428287506104	3.3278424739837646	0.34699973464012146	0.8459464086978855	False	mean_log_normalized_expression_difference
0	5	SOD2	2.9012904167175293	3.8793296813964844	0.9780391454696655	0.9659275746939474	False	mean_log_normalized_expression_difference
0	6	HCAR3	2.874556064605713	3.1460986137390137	0.27154257893562317	0.820392089718346	False	mean_log_normalized_expression_difference
0	7	NAMPT	2.8655426502227783	3.703961133956909	0.8384185433387756	0.9688382843934594	False	mean_log_normalized_expression_difference
0	8	IFITM2	2.8545188903808594	4.010843276977539	1.1563243865966797	0.9616471192534886	False	mean_log_normalized_expression_difference
0	9	CSF3R	2.684283971786499	2.9066145420074463	0.2223304659128189	0.9078417943669207	False	mean_log_normalized_expression_difference
0	10	S100A8	2.6200709342956543	3.248560667037964	0.6284896731376648	0.883657221128328	False	mean_log_normalized_expression_difference
0	11	FCGR3B	2.585996627807617	2.751532554626465	0.1655358076095581	0.8050252546870987	False	mean_log_normalized_expression_difference
0	12	PLEK	2.5570068359375	3.0771994590759277	0.5201927423477173	0.837984761578632	False	mean_log_normalized_expression_difference
0	13	FTH1	2.527097225189209	5.50909948348999	2.9820022583007812	0.9982022087150073	False	mean_log_normalized_expression_difference
0	14	BCL2A1	2.489751100540161	3.001830816268921	0.512079656124115	0.8759952058899066	False	mean_log_normalized_expression_difference
0	15	SAT1	2.424590587615967	4.289571762084961	1.8649811744689941	0.9770139542847359	False	mean_log_normalized_expression_difference
0	16	NAMPTP1	2.236604690551758	2.716836929321289	0.48023220896720886	0.9366920640356133	False	mean_log_normalized_expression_difference
0	17	SRGN	2.2029929161071777	4.307841777801514	2.104848861694336	0.9744884855748651	False	mean_log_normalized_expression_difference
0	18	LITAF	2.188593864440918	3.029205799102783	0.8406118750572205	0.884812944097252	False	mean_log_normalized_expression_difference
0	19	IL1B	2.186000347137451	2.889589548110962	0.703589141368866	0.7518619981165996	False	mean_log_normalized_expression_difference
0	20	PLAUR	2.1737704277038574	2.792546033859253	0.618775486946106	0.8608851981850869	False	mean_log_normalized_expression_difference
0	21	IL1RN	1.865454912185669	2.3799471855163574	0.5144923329353333	0.6707901720743087	False	mean_log_normalized_expression_difference
0	22	FPR1	1.8110918998718262	1.9898698329925537	0.17877793312072754	0.7147076448934166	False	mean_log_normalized_expression_difference
0	23	LCP2	1.6920716762542725	2.1149656772613525	0.4228939712047577	0.7543018577176611	False	mean_log_normalized_expression_difference
0	24	PPIF	1.6635160446166992	2.1143484115600586	0.4508323669433594	0.6955312045201609	False	mean_log_normalized_expression_difference
0	25	SLC25A37	1.663078784942627	1.9519543647766113	0.28887560963630676	0.737565276945467	False	mean_log_normalized_expression_difference
0	26	FCGR2A	1.6533845663070679	1.9719518423080444	0.3185672461986542	0.7297320434894273	False	mean_log_normalized_expression_difference
0	27	IFITM3	1.6506187915802002	2.567408561706543	0.9167898297309875	0.8885797448848557	False	mean_log_normalized_expression_difference
0	28	MNDA	1.5825603008270264	1.7484503984451294	0.16589005291461945	0.6305538909339954	False	mean_log_normalized_expression_difference
0	29	AQP9	1.5667502880096436	1.7381749153137207	0.17142464220523834	0.666081671089804	False	mean_log_normalized_expression_difference
0	30	CXCR2	1.503915786743164	1.5809106826782227	0.0769948959350586	0.59729475216163	False	mean_log_normalized_expression_difference
0	31	H3-3A	1.4540233612060547	3.3492844104766846	1.8952610492706299	0.9177724509887852	False	mean_log_normalized_expression_difference
0	32	FTL	1.417421579360962	3.914304256439209	2.496882677078247	0.9641725879633593	False	mean_log_normalized_expression_difference
0	33	TYROBP	1.3965150117874146	1.9118318557739258	0.5153168439865112	0.7492081157435151	False	mean_log_normalized_expression_difference
0	34	GLUL	1.3945972919464111	2.0723800659179688	0.6777828335762024	0.7643181234483349	False	mean_log_normalized_expression_difference
0	35	MXD1	1.3857944011688232	1.7000646591186523	0.3142702579498291	0.6768684187997603	False	mean_log_normalized_expression_difference
0	36	OSM	1.376344084739685	1.5101290941238403	0.13378502428531647	0.5534200838969267	False	mean_log_normalized_expression_difference
0	37	FFAR2	1.366443395614624	1.4697364568710327	0.10329310595989227	0.5561167708244157	False	mean_log_normalized_expression_difference
0	38	IVNS1ABP	1.3661789894104004	1.815954327583313	0.4497753381729126	0.6965157092714664	False	mean_log_normalized_expression_difference
0	39	TREM1	1.328068733215332	1.46133291721344	0.1332641988992691	0.61082099135348	False	mean_log_normalized_expression_difference
0	40	SOCS3	1.3049225807189941	2.0096957683563232	0.7047732472419739	0.6259309990582999	False	mean_log_normalized_expression_difference
0	41	S100A11	1.289272427558899	2.3624303340911865	1.0731579065322876	0.8071226778529236	False	mean_log_normalized_expression_difference
0	42	RNF149	1.2868387699127197	1.716468095779419	0.4296293556690216	0.7254087834945638	False	mean_log_normalized_expression_difference
0	43	SERPINA1	1.2846390008926392	1.600137710571289	0.3154987394809723	0.6576491738721	False	mean_log_normalized_expression_difference
0	44	RGS2	1.2837375402450562	2.0555644035339355	0.7718268632888794	0.655466141597466	False	mean_log_normalized_expression_difference
0	45	ITGAX	1.2796849012374878	1.5210405588150024	0.24135570228099823	0.6225494392603373	False	mean_log_normalized_expression_difference
