grouping_variable	grouping_value	qc_flag	flag_value	cell_count
sample_accession	GSM5709979	qc_flag_low_detected_genes	False	4250
sample_accession	GSM5709979	qc_flag_low_detected_genes	True	389
sample_accession	GSM5709980	qc_flag_low_detected_genes	False	2266
sample_accession	GSM5709980	qc_flag_low_detected_genes	True	280
sample_accession	GSM5709981	qc_flag_low_detected_genes	False	6440
sample_accession	GSM5709981	qc_flag_low_detected_genes	True	149
sample_accession	GSM5709982	qc_flag_low_detected_genes	False	3983
sample_accession	GSM5709982	qc_flag_low_detected_genes	True	247
sample_accession	GSM5709983	qc_flag_low_detected_genes	False	5505
sample_accession	GSM5709983	qc_flag_low_detected_genes	True	915
sample_accession	GSM5709984	qc_flag_low_detected_genes	False	4962
sample_accession	GSM5709984	qc_flag_low_detected_genes	True	731
sample_accession	GSM5709985	qc_flag_low_detected_genes	False	2998
sample_accession	GSM5709985	qc_flag_low_detected_genes	True	186
sample_accession	GSM5709986	qc_flag_low_detected_genes	False	3224
sample_accession	GSM5709986	qc_flag_low_detected_genes	True	309
sample_accession	GSM5709987	qc_flag_low_detected_genes	False	6192
sample_accession	GSM5709987	qc_flag_low_detected_genes	True	459
sample_accession	GSM5709988	qc_flag_low_detected_genes	False	9885
sample_accession	GSM5709988	qc_flag_low_detected_genes	True	137
sample_accession	GSM5709989	qc_flag_low_detected_genes	False	4159
sample_accession	GSM5709989	qc_flag_low_detected_genes	True	818
sample_accession	GSM5709990	qc_flag_low_detected_genes	False	5305
sample_accession	GSM5709990	qc_flag_low_detected_genes	True	354
sample_accession	GSM5709991	qc_flag_low_detected_genes	False	4831
sample_accession	GSM5709991	qc_flag_low_detected_genes	True	353
sample_accession	GSM5709992	qc_flag_low_detected_genes	False	3851
sample_accession	GSM5709992	qc_flag_low_detected_genes	True	88
sample_accession	GSM5709993	qc_flag_low_detected_genes	False	6411
sample_accession	GSM5709993	qc_flag_low_detected_genes	True	1017
sample_accession	GSM5709994	qc_flag_low_detected_genes	False	4152
sample_accession	GSM5709994	qc_flag_low_detected_genes	True	324
sample_accession	GSM5709995	qc_flag_low_detected_genes	False	5952
sample_accession	GSM5709995	qc_flag_low_detected_genes	True	3
sample_accession	GSM5709996	qc_flag_low_detected_genes	False	4616
sample_accession	GSM5709996	qc_flag_low_detected_genes	True	312
sample_accession	GSM5709997	qc_flag_low_detected_genes	False	8712
sample_accession	GSM5709997	qc_flag_low_detected_genes	True	191
sample_accession	GSM5709998	qc_flag_low_detected_genes	False	2454
sample_accession	GSM5709998	qc_flag_low_detected_genes	True	284
sample_accession	GSM5709999	qc_flag_low_detected_genes	False	8406
sample_accession	GSM5709999	qc_flag_low_detected_genes	True	549
sample_accession	GSM5710000	qc_flag_low_detected_genes	False	4803
sample_accession	GSM5710000	qc_flag_low_detected_genes	True	0
sample_accession	GSM5709979	qc_flag_high_detected_genes	False	4635
sample_accession	GSM5709979	qc_flag_high_detected_genes	True	4
sample_accession	GSM5709980	qc_flag_high_detected_genes	False	2504
sample_accession	GSM5709980	qc_flag_high_detected_genes	True	42
sample_accession	GSM5709981	qc_flag_high_detected_genes	False	6291
sample_accession	GSM5709981	qc_flag_high_detected_genes	True	298
sample_accession	GSM5709982	qc_flag_high_detected_genes	False	4007
sample_accession	GSM5709982	qc_flag_high_detected_genes	True	223
sample_accession	GSM5709983	qc_flag_high_detected_genes	False	6413
sample_accession	GSM5709983	qc_flag_high_detected_genes	True	7
sample_accession	GSM5709984	qc_flag_high_detected_genes	False	5658
sample_accession	GSM5709984	qc_flag_high_detected_genes	True	35
sample_accession	GSM5709985	qc_flag_high_detected_genes	False	3094
sample_accession	GSM5709985	qc_flag_high_detected_genes	True	90
sample_accession	GSM5709986	qc_flag_high_detected_genes	False	3526
sample_accession	GSM5709986	qc_flag_high_detected_genes	True	7
sample_accession	GSM5709987	qc_flag_high_detected_genes	False	6589
sample_accession	GSM5709987	qc_flag_high_detected_genes	True	62
sample_accession	GSM5709988	qc_flag_high_detected_genes	False	9952
sample_accession	GSM5709988	qc_flag_high_detected_genes	True	70
sample_accession	GSM5709989	qc_flag_high_detected_genes	False	4951
sample_accession	GSM5709989	qc_flag_high_detected_genes	True	26
sample_accession	GSM5709990	qc_flag_high_detected_genes	False	5541
sample_accession	GSM5709990	qc_flag_high_detected_genes	True	118
sample_accession	GSM5709991	qc_flag_high_detected_genes	False	5160
sample_accession	GSM5709991	qc_flag_high_detected_genes	True	24
sample_accession	GSM5709992	qc_flag_high_detected_genes	False	3851
sample_accession	GSM5709992	qc_flag_high_detected_genes	True	88
sample_accession	GSM5709993	qc_flag_high_detected_genes	False	7420
sample_accession	GSM5709993	qc_flag_high_detected_genes	True	8
sample_accession	GSM5709994	qc_flag_high_detected_genes	False	4438
sample_accession	GSM5709994	qc_flag_high_detected_genes	True	38
sample_accession	GSM5709995	qc_flag_high_detected_genes	False	5830
sample_accession	GSM5709995	qc_flag_high_detected_genes	True	125
sample_accession	GSM5709996	qc_flag_high_detected_genes	False	4866
sample_accession	GSM5709996	qc_flag_high_detected_genes	True	62
sample_accession	GSM5709997	qc_flag_high_detected_genes	False	8811
sample_accession	GSM5709997	qc_flag_high_detected_genes	True	92
sample_accession	GSM5709998	qc_flag_high_detected_genes	False	2738
sample_accession	GSM5709998	qc_flag_high_detected_genes	True	0
sample_accession	GSM5709999	qc_flag_high_detected_genes	False	8942
sample_accession	GSM5709999	qc_flag_high_detected_genes	True	13
sample_accession	GSM5710000	qc_flag_high_detected_genes	False	4723
sample_accession	GSM5710000	qc_flag_high_detected_genes	True	80
sample_accession	GSM5709979	qc_flag_high_total_counts	False	4235
sample_accession	GSM5709979	qc_flag_high_total_counts	True	404
sample_accession	GSM5709980	qc_flag_high_total_counts	False	2393
sample_accession	GSM5709980	qc_flag_high_total_counts	True	153
sample_accession	GSM5709981	qc_flag_high_total_counts	False	6155
sample_accession	GSM5709981	qc_flag_high_total_counts	True	434
sample_accession	GSM5709982	qc_flag_high_total_counts	False	3767
sample_accession	GSM5709982	qc_flag_high_total_counts	True	463
sample_accession	GSM5709983	qc_flag_high_total_counts	False	6217
sample_accession	GSM5709983	qc_flag_high_total_counts	True	203
sample_accession	GSM5709984	qc_flag_high_total_counts	False	5179
sample_accession	GSM5709984	qc_flag_high_total_counts	True	514
sample_accession	GSM5709985	qc_flag_high_total_counts	False	3001
sample_accession	GSM5709985	qc_flag_high_total_counts	True	183
sample_accession	GSM5709986	qc_flag_high_total_counts	False	3433
sample_accession	GSM5709986	qc_flag_high_total_counts	True	100
sample_accession	GSM5709987	qc_flag_high_total_counts	False	6298
sample_accession	GSM5709987	qc_flag_high_total_counts	True	353
sample_accession	GSM5709988	qc_flag_high_total_counts	False	9835
sample_accession	GSM5709988	qc_flag_high_total_counts	True	187
sample_accession	GSM5709989	qc_flag_high_total_counts	False	4686
sample_accession	GSM5709989	qc_flag_high_total_counts	True	291
sample_accession	GSM5709990	qc_flag_high_total_counts	False	5299
sample_accession	GSM5709990	qc_flag_high_total_counts	True	360
sample_accession	GSM5709991	qc_flag_high_total_counts	False	5121
sample_accession	GSM5709991	qc_flag_high_total_counts	True	63
sample_accession	GSM5709992	qc_flag_high_total_counts	False	3703
sample_accession	GSM5709992	qc_flag_high_total_counts	True	236
sample_accession	GSM5709993	qc_flag_high_total_counts	False	7177
sample_accession	GSM5709993	qc_flag_high_total_counts	True	251
sample_accession	GSM5709994	qc_flag_high_total_counts	False	4242
sample_accession	GSM5709994	qc_flag_high_total_counts	True	234
sample_accession	GSM5709995	qc_flag_high_total_counts	False	5648
sample_accession	GSM5709995	qc_flag_high_total_counts	True	307
sample_accession	GSM5709996	qc_flag_high_total_counts	False	4736
sample_accession	GSM5709996	qc_flag_high_total_counts	True	192
sample_accession	GSM5709997	qc_flag_high_total_counts	False	8449
sample_accession	GSM5709997	qc_flag_high_total_counts	True	454
sample_accession	GSM5709998	qc_flag_high_total_counts	False	2545
sample_accession	GSM5709998	qc_flag_high_total_counts	True	193
sample_accession	GSM5709999	qc_flag_high_total_counts	False	8694
sample_accession	GSM5709999	qc_flag_high_total_counts	True	261
sample_accession	GSM5710000	qc_flag_high_total_counts	False	4664
sample_accession	GSM5710000	qc_flag_high_total_counts	True	139
sample_accession	GSM5709979	qc_flag_high_pct_mt	False	4032
sample_accession	GSM5709979	qc_flag_high_pct_mt	True	607
sample_accession	GSM5709980	qc_flag_high_pct_mt	False	2078
sample_accession	GSM5709980	qc_flag_high_pct_mt	True	468
sample_accession	GSM5709981	qc_flag_high_pct_mt	False	6164
sample_accession	GSM5709981	qc_flag_high_pct_mt	True	425
sample_accession	GSM5709982	qc_flag_high_pct_mt	False	3881
sample_accession	GSM5709982	qc_flag_high_pct_mt	True	349
sample_accession	GSM5709983	qc_flag_high_pct_mt	False	5295
sample_accession	GSM5709983	qc_flag_high_pct_mt	True	1125
sample_accession	GSM5709984	qc_flag_high_pct_mt	False	4731
sample_accession	GSM5709984	qc_flag_high_pct_mt	True	962
sample_accession	GSM5709985	qc_flag_high_pct_mt	False	2823
sample_accession	GSM5709985	qc_flag_high_pct_mt	True	361
sample_accession	GSM5709986	qc_flag_high_pct_mt	False	3296
sample_accession	GSM5709986	qc_flag_high_pct_mt	True	237
sample_accession	GSM5709987	qc_flag_high_pct_mt	False	6162
sample_accession	GSM5709987	qc_flag_high_pct_mt	True	489
sample_accession	GSM5709988	qc_flag_high_pct_mt	False	9701
sample_accession	GSM5709988	qc_flag_high_pct_mt	True	321
sample_accession	GSM5709989	qc_flag_high_pct_mt	False	4692
sample_accession	GSM5709989	qc_flag_high_pct_mt	True	285
sample_accession	GSM5709990	qc_flag_high_pct_mt	False	5075
sample_accession	GSM5709990	qc_flag_high_pct_mt	True	584
sample_accession	GSM5709991	qc_flag_high_pct_mt	False	4566
sample_accession	GSM5709991	qc_flag_high_pct_mt	True	618
sample_accession	GSM5709992	qc_flag_high_pct_mt	False	3789
sample_accession	GSM5709992	qc_flag_high_pct_mt	True	150
sample_accession	GSM5709993	qc_flag_high_pct_mt	False	6429
sample_accession	GSM5709993	qc_flag_high_pct_mt	True	999
sample_accession	GSM5709994	qc_flag_high_pct_mt	False	3740
sample_accession	GSM5709994	qc_flag_high_pct_mt	True	736
sample_accession	GSM5709995	qc_flag_high_pct_mt	False	4943
sample_accession	GSM5709995	qc_flag_high_pct_mt	True	1012
sample_accession	GSM5709996	qc_flag_high_pct_mt	False	3974
sample_accession	GSM5709996	qc_flag_high_pct_mt	True	954
sample_accession	GSM5709997	qc_flag_high_pct_mt	False	6007
sample_accession	GSM5709997	qc_flag_high_pct_mt	True	2896
sample_accession	GSM5709998	qc_flag_high_pct_mt	False	2364
sample_accession	GSM5709998	qc_flag_high_pct_mt	True	374
sample_accession	GSM5709999	qc_flag_high_pct_mt	False	8289
sample_accession	GSM5709999	qc_flag_high_pct_mt	True	666
sample_accession	GSM5710000	qc_flag_high_pct_mt	False	4235
sample_accession	GSM5710000	qc_flag_high_pct_mt	True	568
sample_accession	GSM5709979	qc_flag_high_pct_rp	False	4639
sample_accession	GSM5709979	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709980	qc_flag_high_pct_rp	False	2546
sample_accession	GSM5709980	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709981	qc_flag_high_pct_rp	False	6588
sample_accession	GSM5709981	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709982	qc_flag_high_pct_rp	False	4229
sample_accession	GSM5709982	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709983	qc_flag_high_pct_rp	False	6419
sample_accession	GSM5709983	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709984	qc_flag_high_pct_rp	False	5691
sample_accession	GSM5709984	qc_flag_high_pct_rp	True	2
sample_accession	GSM5709985	qc_flag_high_pct_rp	False	3184
sample_accession	GSM5709985	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709986	qc_flag_high_pct_rp	False	3533
sample_accession	GSM5709986	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709987	qc_flag_high_pct_rp	False	6651
sample_accession	GSM5709987	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709988	qc_flag_high_pct_rp	False	10022
sample_accession	GSM5709988	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709989	qc_flag_high_pct_rp	False	4973
sample_accession	GSM5709989	qc_flag_high_pct_rp	True	4
sample_accession	GSM5709990	qc_flag_high_pct_rp	False	5657
sample_accession	GSM5709990	qc_flag_high_pct_rp	True	2
sample_accession	GSM5709991	qc_flag_high_pct_rp	False	5183
sample_accession	GSM5709991	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709992	qc_flag_high_pct_rp	False	3939
sample_accession	GSM5709992	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709993	qc_flag_high_pct_rp	False	7428
sample_accession	GSM5709993	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709994	qc_flag_high_pct_rp	False	4468
sample_accession	GSM5709994	qc_flag_high_pct_rp	True	8
sample_accession	GSM5709995	qc_flag_high_pct_rp	False	5954
sample_accession	GSM5709995	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709996	qc_flag_high_pct_rp	False	4927
sample_accession	GSM5709996	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709997	qc_flag_high_pct_rp	False	8902
sample_accession	GSM5709997	qc_flag_high_pct_rp	True	1
sample_accession	GSM5709998	qc_flag_high_pct_rp	False	2738
sample_accession	GSM5709998	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709999	qc_flag_high_pct_rp	False	8954
sample_accession	GSM5709999	qc_flag_high_pct_rp	True	1
sample_accession	GSM5710000	qc_flag_high_pct_rp	False	4803
sample_accession	GSM5710000	qc_flag_high_pct_rp	True	0
sample_accession	GSM5709979	qc_flag_high_pct_hb	False	4590
sample_accession	GSM5709979	qc_flag_high_pct_hb	True	49
sample_accession	GSM5709980	qc_flag_high_pct_hb	False	2449
sample_accession	GSM5709980	qc_flag_high_pct_hb	True	97
sample_accession	GSM5709981	qc_flag_high_pct_hb	False	4774
sample_accession	GSM5709981	qc_flag_high_pct_hb	True	1815
sample_accession	GSM5709982	qc_flag_high_pct_hb	False	3850
sample_accession	GSM5709982	qc_flag_high_pct_hb	True	380
sample_accession	GSM5709983	qc_flag_high_pct_hb	False	6377
sample_accession	GSM5709983	qc_flag_high_pct_hb	True	43
sample_accession	GSM5709984	qc_flag_high_pct_hb	False	5573
sample_accession	GSM5709984	qc_flag_high_pct_hb	True	120
sample_accession	GSM5709985	qc_flag_high_pct_hb	False	2531
sample_accession	GSM5709985	qc_flag_high_pct_hb	True	653
sample_accession	GSM5709986	qc_flag_high_pct_hb	False	850
sample_accession	GSM5709986	qc_flag_high_pct_hb	True	2683
sample_accession	GSM5709987	qc_flag_high_pct_hb	False	6293
sample_accession	GSM5709987	qc_flag_high_pct_hb	True	358
sample_accession	GSM5709988	qc_flag_high_pct_hb	False	9835
sample_accession	GSM5709988	qc_flag_high_pct_hb	True	187
sample_accession	GSM5709989	qc_flag_high_pct_hb	False	4439
sample_accession	GSM5709989	qc_flag_high_pct_hb	True	538
sample_accession	GSM5709990	qc_flag_high_pct_hb	False	5482
sample_accession	GSM5709990	qc_flag_high_pct_hb	True	177
sample_accession	GSM5709991	qc_flag_high_pct_hb	False	3429
sample_accession	GSM5709991	qc_flag_high_pct_hb	True	1755
sample_accession	GSM5709992	qc_flag_high_pct_hb	False	3544
sample_accession	GSM5709992	qc_flag_high_pct_hb	True	395
sample_accession	GSM5709993	qc_flag_high_pct_hb	False	6786
sample_accession	GSM5709993	qc_flag_high_pct_hb	True	642
sample_accession	GSM5709994	qc_flag_high_pct_hb	False	4422
sample_accession	GSM5709994	qc_flag_high_pct_hb	True	54
sample_accession	GSM5709995	qc_flag_high_pct_hb	False	4441
sample_accession	GSM5709995	qc_flag_high_pct_hb	True	1514
sample_accession	GSM5709996	qc_flag_high_pct_hb	False	2778
sample_accession	GSM5709996	qc_flag_high_pct_hb	True	2150
sample_accession	GSM5709997	qc_flag_high_pct_hb	False	31
sample_accession	GSM5709997	qc_flag_high_pct_hb	True	8872
sample_accession	GSM5709998	qc_flag_high_pct_hb	False	259
sample_accession	GSM5709998	qc_flag_high_pct_hb	True	2479
sample_accession	GSM5709999	qc_flag_high_pct_hb	False	7444
