characteristics_ch1::outcome	binary_response_group	timepoint	timepoint_simple	refined_celltype_label	cell_count	proportion_within_outcome_timepoint	table_scope	metadata_note
NE	non_responder	post-treatment	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment1	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	post-treatment2	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	non_responder	pre-treatment	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	B_naive_memory	783	0.14377524788835844	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	CD4_T_naive_memory	634	0.11641571795813441	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	CD8_T_cytotoxic	1017	0.18674256334924716	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Macrophage_C1QC_APOE	419	0.07693720161586486	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Mast	453	0.08318031582813074	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Monocyte_classical	243	0.04461990451707675	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Plasma	736	0.13514506059493206	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Unresolved_low_signal	1161	0.2131839882482556	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
