cluster	refined_label	total_cells	patient_count	largest_patient	largest_patient_fraction	sample_count	largest_sample	largest_sample_fraction	outcome_count	largest_outcome	largest_outcome_fraction	timepoint_count	largest_timepoint	largest_timepoint_fraction
0	Monocyte_classical	23362	12	DSF07	0.20571868846845304	21	GSM5709989	0.11548668778358018	4	SD	0.5586422395342865	2	pre-treatment	0.615401078674771
1	Macrophage_C1QC_APOE	10107	12	DSF06	0.2548728603937865	21	GSM5709988	0.1600870683684575	4	SD	0.6355001484119916	2	pre-treatment	0.5533788463441179
2	CD8_T_cytotoxic	8368	12	DSF06	0.21295411089866156	21	GSM5709988	0.12452198852772467	4	SD	0.4747848948374761	2	post-treatment	0.5313097514340345
3	CD4_T_naive_memory	7661	12	DSF06	0.21981464560762304	21	GSM5709988	0.1451507636078841	4	SD	0.5449680198407518	2	pre-treatment	0.5102467040856286
4	Plasma	7487	11	DSF06	0.27834913850674503	21	GSM5709999	0.2474956591425137	4	SD	0.4585281154000267	2	pre-treatment	0.5493522104981968
5	B_naive_memory	6388	12	DSF06	0.23575453976205385	22	GSM5709988	0.1728240450845335	4	SD	0.5220726361928616	2	pre-treatment	0.5325610519724483
6	Unresolved_low_signal	5368	12	DSF13	0.15368852459016394	22	GSM5710000	0.11121460506706408	4	SD	0.45305514157973176	2	post-treatment	0.5057749627421758
7	Unresolved_low_signal	2680	12	DSF03	0.2876865671641791	21	GSM5709983	0.16380597014925374	4	SD	0.4716417910447761	2	pre-treatment	0.5746268656716418
8	Mast	2440	12	DSF03	0.2954918032786885	21	GSM5709993	0.18565573770491803	4	SD	0.489344262295082	2	pre-treatment	0.5307377049180327
9	Unresolved_low_signal	2011	11	DSF13	0.8652411735454998	19	GSM5710000	0.859771258080557	4	PR	0.8791645947289906	2	post-treatment	0.9189457981103928
10	Unresolved_low_signal	1945	11	DSF01	0.4272493573264782	19	GSM5709979	0.31362467866323906	4	PD	0.4303341902313625	2	pre-treatment	0.6776349614395887
11	Unresolved_low_signal	701	12	DSF10	0.35805991440798857	19	GSM5709993	0.25962910128388017	4	SD	0.4664764621968616	2	post-treatment	0.5977175463623395
