raw_outcome	binary_response_group	timepoint	timepoint_simple	broad_label	refined_label	cell_count	proportion_within_outcome_timepoint	table_scope	metadata_note
NE	not_in_binary_response	post-treatment	post-treatment	CD8_T_NK	CD8_T_cytotoxic	704	0.132980732905176	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Dendritic_cells	DC_LAMP3	53	0.0100113335851908	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Endothelial_like	Unresolved_low_signal	133	0.0251227805062335	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Epithelial_like	Unresolved_low_signal	571	0.107857952398942	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Granulocyte_like	Unresolved_low_signal	217	0.0409897997733283	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Inflammatory_myeloid	Monocyte_classical	104	0.0196448809973555	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Macrophages	Macrophage_C1QC_APOE	403	0.0761239138647526	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Mast_cells	Mast	461	0.0870797128825085	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Monocytes	Monocyte_classical	43	0.00812240272006045	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Plasma_cells	Plasma	1030	0.194559879108425	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	251	0.0474121647147714	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	T_cells	CD4_T_naive_memory	1071	0.202304495655459	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	post-treatment	post-treatment	Unresolved	Unresolved_low_signal	253	0.0477899508877975	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	CD8_T_NK	CD8_T_cytotoxic	528	0.0613739393234918	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Dendritic_cells	DC_LAMP3	133	0.015459723352319	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Endothelial_like	Unresolved_low_signal	211	0.0245263280251075	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Epithelial_like	Unresolved_low_signal	742	0.0862489829129374	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Granulocyte_like	Unresolved_low_signal	2551	0.296524468208764	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Inflammatory_myeloid	Monocyte_classical	1180	0.137161455306289	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Macrophages	Macrophage_C1QC_APOE	114	0.0132511914448448	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Mast_cells	Mast	114	0.0132511914448448	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Monocytes	Monocyte_classical	100	0.0116238521446007	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Plasma_cells	Plasma	1292	0.150180169708241	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Stromal_perivascular_like	Unresolved_low_signal	392	0.0455655004068348	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	T_cells	CD4_T_naive_memory	1109	0.128908520283622	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Unresolved	Unresolved_low_signal	137	0.015924677438103	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	CD8_T_NK	CD8_T_cytotoxic	85	0.0518292682926829	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Dendritic_cells	DC_LAMP3	7	0.00426829268292683	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Endothelial_like	Unresolved_low_signal	188	0.114634146341463	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Epithelial_like	Unresolved_low_signal	381	0.232317073170732	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Granulocyte_like	Unresolved_low_signal	52	0.0317073170731707	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
