stratum	derived_tissue	derived_timepoint	major_cluster	sub_cluster	label_type	cell_label	n_patients_responder	n_patients_non_responder	median_responder	median_non_responder	median_difference_responder_minus_non_responder	exact_test_name	raw_p	adjusted_p	analysis_status
paired pre/post within blood	blood	paired pre/post	B	B	major_cluster	B	3	3	0.00944956516493834	0.0249628640080251	-0.0155132988430868	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4T	major_cluster	CD4T	3	3	-0.0399882843734765	-0.0511436272674298	0.0111553428939534	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8T	major_cluster	CD8T	3	3	-0.011439607775336	0.023269484275663	-0.0347090920509991	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	ILC	ILC	major_cluster	ILC	3	3	0.0888006561606283	0.0905243755107337	-0.00172371935010535	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	Myeloid	Myeloid	major_cluster	Myeloid	3	3	-0.0296258226919385	0.0155535489122173	-0.0451793716041558	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	Plasma	Plasma	major_cluster	Plasma	2	2	0.00281143591919677	-0.00381457419297999	0.00662601011217677	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	gdT	gdT	major_cluster	gdT	3	3	0.00726500480713122	0.00102579647816435	0.00623920832896687	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	B	B_C01_IGHD	sub_cluster	B_C01_IGHD	3	3	0.00116589003498613	0.0299334183362117	-0.0287675283012256	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	B	B_C02_CD27	sub_cluster	B_C02_CD27	3	3	0.000521797065161742	-0.0113961715461885	0.0119179686113503	wilcoxon_rank_sum_exact_false	0.190430263825524	0.938375091689084	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C01_CCR7	sub_cluster	CD4_C01_CCR7	3	3	0.0400255855717635	0.0487457576385269	-0.0087201720667634	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C02_IL7R	sub_cluster	CD4_C02_IL7R	3	3	-0.000691661978683116	-0.00546546543213197	0.00477380345344885	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C03_CD44	sub_cluster	CD4_C03_CD44	3	3	0.000633539600920619	0.0232330279732398	-0.0225994883723191	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C04_GZMK	sub_cluster	CD4_C04_GZMK	3	3	-0.00145877164450585	-0.0072120086856924	0.00575323704118655	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C05_GNLY	sub_cluster	CD4_C05_GNLY	3	3	0.016811823207424	0.0101312725050721	0.00668055070235194	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C06_CXCL13	sub_cluster	CD4_C06_CXCL13	2	3	-0.000476168440428822	0.000549076084658454	-0.00102524452508728	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C07_CTLA4	sub_cluster	CD4_C07_CTLA4	0	3		0.000753652243586096		none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C08_FOXP3	sub_cluster	CD4_C08_FOXP3	3	3	-0.00618286939907518	0.0133776652045552	-0.0195605346036304	wilcoxon_rank_sum_exact_false	0.190430263825524	0.938375091689084	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD4T	CD4_C09_MKI67	sub_cluster	CD4_C09_MKI67	2	1	0.000173901514823612	-0.000189558672395035	0.000363460187218648	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C01_LEF1	sub_cluster	CD8_C01_LEF1	3	3	0.000940396549396424	-0.0171169931473485	0.0180573896967449	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C02_GPR183	sub_cluster	CD8_C02_GPR183	3	3	-0.00106836030726946	0.00636057241435039	-0.00742893272161985	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C03_CX3CR1	sub_cluster	CD8_C03_CX3CR1	3	3	0.0109065076751798	0.0248742653844623	-0.0139677577092825	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C04_GIMAP4	sub_cluster	CD8_C04_GIMAP4	3	2	-0.00101578440783228	-0.00837180540726664	0.00735602099943436	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C05_TCF7	sub_cluster	CD8_C05_TCF7	2	3	-0.00151182864383862	0.00758064256838425	-0.00909247121222286	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C06_KIR2DL3	sub_cluster	CD8_C06_KIR2DL3	3	3	0.0025053137808472	-0.00655450507703647	0.00905981885788367	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C07_KLRC2	sub_cluster	CD8_C07_KLRC2	2	2	-2.80037824233608e-05	0.000265761985576629	-0.00029376576799999	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C08_GZMK	sub_cluster	CD8_C08_GZMK	3	3	0.00738017284562569	0.000266956331019997	0.00711321651460569	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C09_LAYN	sub_cluster	CD8_C09_LAYN	2	3	6.14313644308767e-05	-9.65909609100941e-05	0.000158022325340971	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C10_SLC4A10	sub_cluster	CD8_C10_SLC4A10	3	3	0.0015150294260134	0.000630521329603319	0.000884508096410082	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	CD8T	CD8_C11_MKI67	sub_cluster	CD8_C11_MKI67	1	0	-3.05292635079492e-06			none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	ILC2	ILC2	sub_cluster	ILC2	1	1	-0.000661172238561819	0.000153799341191609	-0.000814971579753428	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	ILC3	ILC3	sub_cluster	ILC3	2	1	-0.00024112332070374	-0.00016395590145898	-7.71674192447607e-05	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	Macro	Macro_C01_FCN1	sub_cluster	Macro_C01_FCN1	2	3	0.000680740950924114	0.00220693135284383	-0.00152619040191972	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	Mast	Mast	sub_cluster	Mast	1	2	-0.00173916403746191	0.000849596266147483	-0.00258876030360939	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	Megakaryocyte	Megakaryocyte	sub_cluster	Megakaryocyte	2	2	-0.0027528198983699	0.000244721282749802	-0.0029975411811197	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	Mono	Mono_C01_FCGR3A	sub_cluster	Mono_C01_FCGR3A	3	3	-0.00154966849672329	-0.00399463733617883	0.00244496883945554	wilcoxon_rank_sum_exact_false	1	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	Mono	Mono_C02_CD14	sub_cluster	Mono_C02_CD14	3	3	-0.0415910196593705	0.0169643575208707	-0.0585553771802412	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	Mono	Mono_C03_ITGA5	sub_cluster	Mono_C03_ITGA5	3	3	0.000100284350359841	0.0292305804494921	-0.0291302960991322	wilcoxon_rank_sum_exact_false	0.190430263825524	0.938375091689084	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	NKT-like	NKT-like	sub_cluster	NKT-like	3	2	0.00231655950664792	0.000631748676065574	0.00168481083058234	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	NK	NK_C01_FCGR3A	sub_cluster	NK_C01_FCGR3A	3	3	0.0953076424435563	0.0898777603802704	0.00542988206328594	wilcoxon_rank_sum_exact_false	0.662520583540058	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	NK	NK_C02_SELL	sub_cluster	NK_C02_SELL	3	3	0.00189113420352799	-0.00561723346156084	0.00750836766508882	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	NK	NK_C03_GZMK	sub_cluster	NK_C03_GZMK	2	2	0.000122713025239883	0.000198419819247447	-7.57067940075644e-05	none_descriptive_only			descriptive_only_group_n_below_3
paired pre/post within blood	blood	paired pre/post	NK	NK_C04_MKI67	sub_cluster	NK_C04_MKI67	3	3	5.78396853444062e-05	-0.000125496080297005	0.000183335765641411	wilcoxon_rank_sum_exact_false	0.382733088885226	1	inferential_test_completed
paired pre/post within blood	blood	paired pre/post	Plasma	Plasma_C01_CD52	sub_cluster	Plasma_C01_CD52	2	2	0.00257372813658859	-0.00352715500006504	0.00610088313665363	none_descriptive_only			descriptive_only_group_n_below_3
