relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_001.fastq.gz	37742476	gzip	@A00153:862:HGGWHDSX2:3:2516:10619:35916 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_002.fastq.gz	38216281	gzip	@A00153:862:HGGWHDSX2:3:2659:26440:12023 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_003.fastq.gz	38105675	gzip	@A00153:862:HGGWHDSX2:3:1323:15139:23328 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_004.fastq.gz	38071593	gzip	@A00153:862:HGGWHDSX2:3:2544:10212:32299 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_005.fastq.gz	38507004	gzip	@A00153:862:HGGWHDSX2:3:1165:11876:31328 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_006.fastq.gz	38485952	gzip	@A00153:862:HGGWHDSX2:3:2312:30309:21167 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_007.fastq.gz	38983200	gzip	@A00153:862:HGGWHDSX2:3:2474:1624:14137 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_008.fastq.gz	38542305	gzip	@A00153:862:HGGWHDSX2:3:1259:6180:5087 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_009.fastq.gz	38373270	gzip	@A00153:862:HGGWHDSX2:3:2233:9173:3630 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_010.fastq.gz	38505593	gzip	@A00153:862:HGGWHDSX2:3:1506:2790:1626 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_011.fastq.gz	38732519	gzip	@A00153:862:HGGWHDSX2:3:1330:7455:29997 1:N:0:0	100	28:100
