relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_001.fastq.gz	37495944	gzip	@A00153:862:HGGWHDSX2:3:2419:23104:7122 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_002.fastq.gz	35393426	gzip	@A00153:862:HGGWHDSX2:3:1417:27859:30326 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_003.fastq.gz	33186847	gzip	@A00153:862:HGGWHDSX2:3:2278:23285:29543 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_004.fastq.gz	32611663	gzip	@A00153:862:HGGWHDSX2:3:1502:26856:26772 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_005.fastq.gz	35599283	gzip	@A00153:862:HGGWHDSX2:3:1525:22336:24048 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_006.fastq.gz	34540326	gzip	@A00153:862:HGGWHDSX2:3:1656:12590:9424 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_007.fastq.gz	33128802	gzip	@A00153:862:HGGWHDSX2:3:2469:4218:21950 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_008.fastq.gz	32645461	gzip	@A00153:862:HGGWHDSX2:3:1463:5855:17237 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_009.fastq.gz	34473703	gzip	@A00153:862:HGGWHDSX2:3:2674:26829:33552 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_010.fastq.gz	33539207	gzip	@A00153:862:HGGWHDSX2:3:1145:9118:1031 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_011.fastq.gz	32739804	gzip	@A00153:862:HGGWHDSX2:3:2427:16595:26757 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_012.fastq.gz	32893114	gzip	@A00153:862:HGGWHDSX2:3:2162:2718:31876 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_013.fastq.gz	34167699	gzip	@A00153:862:HGGWHDSX2:3:1116:31675:27414 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_014.fastq.gz	32278023	gzip	@A00153:862:HGGWHDSX2:3:2541:3983:11021 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_015.fastq.gz	32674766	gzip	@A00153:862:HGGWHDSX2:3:2330:6804:24831 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_016.fastq.gz	33141183	gzip	@A00153:862:HGGWHDSX2:3:1411:4119:8218 1:N:0:0	100	28:100
