compartment_sheet	cluster	marker_rows	positive_log2fc_rows	top10_genes
B cell markers	Bfoc	1133	1133	RGS13;MARCKSL1;ACTG1;LMO2;NEIL1;LRMP;GAPDH;SUGCT;HMGN1;BASP1
B cell markers	Bgc	272	272	NR4A2;CD69;DUSP1;KLF2;JUNB;NR4A1;FOS;KLF6;NFKBID;CD83
B cell markers	Bmem	383	383	LINC01781;RPS14;S100A4;HLA-A;RPS29;BANK1;SSPN;TNFRSF13B;CCDC50;TOMM7
B cell markers	Bn	311	311	IGHD;TCL1A;FCER2;SELL;CD72;PLAC8;C1orf162;CD52;TMSB10;LINC00926
B cell markers	pB IgA	173	173	IGHA2;IGHA1;JCHAIN;IGLC3;IGLC2;IGKC;HSPA1A;JUN;BTG2;SSR4
B cell markers	pB IgG	173	173	IGHG4;IGHG1;IGHG2;IGHG3;IGKC;XBP1;IGLC2;IGLC3;SSR4;MZB1
B cell markers	pB prolif	822	822	HSP90B1;MZB1;PPIB;MYDGF;XBP1;SUB1;FKBP11;SSR3;SEC11C;TUBA1B
Endothelial cell markers	CXCL12+EC	538	538	SULF1;SEMA3G;IGFBP3;DEPP1;SLC9A3R2;SERPINE2;FN1;CXCL12;GJA5;MGP
Endothelial cell markers	HLA-DRA+EC	415	415	SOCS3;ACKR1;GADD45B;HLA-DRA;C2CD4B;ZFP36;AQP1;CDKN1A;HSPA1A;ATF3
Endothelial cell markers	LYVE1+LEC	243	243	CCL21;TFF3;LYVE1;TFPI;AKAP12;PROX1;NTS;EFEMP1;MMRN1;PPFIBP1
Endothelial cell markers	MADCAM1+HEV	211	211	CPE;MADCAM1;ADGRG6;CLDN5;CTGF;NPC2;C7;LEPR;LIFR;CLU
Endothelial cell markers	PLVAP+EC	618	618	COL4A1;COL4A2;COL15A1;RGCC;LGALS1;IGFBP5;IGFBP3;SPARC;INSR;SERPINE1
Endothelial cell markers	SYNE2+EC	157	157	MT-ND1;SYNE2;MT-ND4L;POSTN;MT-ND3;MT-ND5;MT-ND2;MALAT1;MT-ATP6;NKTR
Fibroblast markers	CCL2+Fibro	443	443	CXCL14;ADAMDEC1;POSTN;CCL11;SOD2;COL3A1;CTHRC1;F3;COL1A1;TMEM158
Fibroblast markers	CXCL12+Fibro	472	472	CFD;MFAP5;SFRP2;SLPI;TNXB;IGFBP6;DCN;MGP;SFRP1;FBLN1
Fibroblast markers	Myofibroblast	710	710	MYH11;ACTA2;ADIRF;RERGL;MCAM;TAGLN;PLN;MYL9;TINAGL1;TPM2
Myeloid cell markers	CALHM6+Mac	160	160	CXCL10;CCL2;GBP1;GPR183;CALHM6;DUSP1;CLEC5A;ALOX5AP;ATF3;GBP5
Myeloid cell markers	CCL19+mDC	410	410	CCL19;BIRC3;FSCN1;TXN;CCL17;CCL22;CCR7;LAMP3;MARCKSL1;EBI3
Myeloid cell markers	CD1C+cDC	390	390	DNASE1L3;FCER1A;CLEC10A;CD1C;LTB;CD1E;PPA1;LGALS2;JAML;RUNX3
Myeloid cell markers	FCN1+Mono	543	543	S100A8;S100A9;S100A12;VCAN;FCN1;MNDA;CD55;CLEC12A;CFP;CSF3R
Myeloid cell markers	FOLR2+Mac	409	409	SELENOP;RNASE1;FOLR2;C1QA;C1QC;C1QB;SLC40A1;MS4A4A;SLCO2B1;A2M
Myeloid cell markers	IL1B+Mono	301	301	CCL20;CXCL8;IL1B;PTGS2;TIMP1;CCL3L1;CXCL3;G0S2;CCL4;CCL4L2
Myeloid cell markers	LILR4A+pDC	771	771	GZMB;PTGDS;JCHAIN;IRF7;CLIC3;BCL11A;TSPAN13;TCF4;ITM2C;PLAC8
Myeloid cell markers	MKI67+Mac	919	919	STMN1;H2AFZ;PCLAF;TUBB;TUBA1B;HMGB2;TYMS;PCNA;HIST1H4C;DUT
Myeloid cell markers	SPP1+Mac	456	456	CHI3L1;SPP1;FN1;APOE;MMP9;FBP1;CD9;GPNMB;NUPR1;APOC1
Myeloid cell markers	TMSB4X+Mac	473	473	DNASE1L3;LGALS2;SLC40A1;SELENOP;SLC25A5;ATOX1;PRDX1;EEF1B2;SNX3;FTL
T_I_NK cell markers	CD4 Tfh	1	1	BRK1
T_I_NK cell markers	CD4 Treg	1	1	EIF4G2
T_I_NK cell markers	CD4+Prolif.	1078	1078	STMN1;TUBA1B;TUBB;HMGB2;CXCL13;TOP2A;UBE2C;PCNA;PCLAF;TYMS
T_I_NK cell markers	CD4+Texh	118	118	JUNB;RGS1;CTLA4;TSC22D3;DUSP1;LTB;NFKBIA;TIGIT;MAF;ARID5B
T_I_NK cell markers	CD4+Tfh	299	299	CXCL13;ICA1;AC004585.1;PDCD1;TOX2;FKBP5;GNG4;ITM2A;IL6ST;CD200
