cluster	compartment_sheet	author_cluster	our_non_nuisance_top50_genes	author_non_nuisance_top50_genes	overlap_count	overlap_genes	jaccard	detailed_annotation	broad_annotation	expected_author_sheet	expected_sheet_match	overlap_rank_all	overlap_rank_expected_sheet
0	Endothelial cell markers	LYVE1+LEC	49	50	2	CD9;DSP	0.0206185567010309	Epithelial	Epithelial		FALSE	1	
0	Fibroblast markers	CXCL12+Fibro	49	50	2	MGST1;S100A10	0.0206185567010309	Epithelial	Epithelial		FALSE	2	
0	B cell markers	Bmem	49	21	1	CD24	0.0144927536231884	Epithelial	Epithelial		FALSE	3	
1	B cell markers	Bn	18	43	10	CD74;HLA-DRA;CD37;HLA-DPA1;HLA-DPB1;HLA-DQB1;CD79A;HLA-DRB1;CD52;CD79B	0.196078431372549	B_cell	B cell	B cell markers	TRUE	1	1
1	B cell markers	Bmem	18	21	2	BANK1;LTB	0.0540540540540541	B_cell	B cell	B cell markers	TRUE	2	2
1	B cell markers	pB IgA	18	50	2	IGKC;IGHM	0.0303030303030303	B_cell	B cell	B cell markers	TRUE	3	3
2	Endothelial cell markers	CXCL12+EC	36	50	1	PCSK5	0.0117647058823529	Epithelial_mito_enriched	Epithelial		FALSE	1	
2	B cell markers	Bfoc	36	50	0		0	Epithelial_mito_enriched	Epithelial		FALSE	2	
2	B cell markers	Bgc	36	50	0		0	Epithelial_mito_enriched	Epithelial		FALSE	3	
3	T_I_NK cell markers	CD8+MAIT	49	50	14	EVL;CD2;CCL5;CD3D;TRAC;CD3G;CD52;RORA;CD3E;CD96;KLRB1;RUNX3;JUN;GPR171	0.164705882352941	CD4_T_cell	T/NK	T_I_NK cell markers	TRUE	1	1
3	T_I_NK cell markers	CD4+Texh	49	50	10	BTG1;IL32;TRBC1;RORA;IGKC;TSC22D3;CXCR4;SRGN;KLRB1;SPOCK2	0.112359550561798	CD4_T_cell	T/NK	T_I_NK cell markers	TRUE	2	2
3	T_I_NK cell markers	CD4+Th1-like	49	50	10	IL7R;CD2;CD3D;TRAC;TRBC1;CD3G;RORA;SRGN;KLRB1;SPOCK2	0.112359550561798	CD4_T_cell	T/NK	T_I_NK cell markers	TRUE	3	3
4	T_I_NK cell markers	CD8+MAIT	35	50	11	CCL5;CD3D;SH3BGRL3;TRAC;ACTB;EVL;CD52;CD2;CD3E;CD3G;CD8A	0.148648648648649	Cytotoxic_T_NK	T/NK	T_I_NK cell markers	TRUE	1	1
4	T_I_NK cell markers	CD8+Tem	35	49	7	CCL5;NKG7;GZMA;HCST;CST7;CCL4;CD8A	0.0909090909090909	Cytotoxic_T_NK	T/NK	T_I_NK cell markers	TRUE	2	2
4	T_I_NK cell markers	CD4+Th1-like	35	50	7	CD3D;TRAC;ACTB;SRGN;S100A4;CD2;CD3G	0.0897435897435897	Cytotoxic_T_NK	T/NK	T_I_NK cell markers	TRUE	3	3
5	Myeloid cell markers	MKI67+Mac	49	50	23	HMGB2;H2AFZ;MKI67;STMN1;TUBA1B;TUBB;HMGB1;PCLAF;TOP2A;PCNA;CENPF;RANBP1;SMC4;ZWINT;HMGN2;TUBA1C;DEK;RAN;UBE2C;RRM2;CKS2;PTMA;MAD2L1	0.302631578947368	Cycling_epithelial	Epithelial		FALSE	1	
5	T_I_NK cell markers	CD8+Trm-mitotic	49	50	23	HMGB2;H2AFZ;MKI67;STMN1;TUBA1B;TUBB;HMGB1;TUBB4B;PCLAF;TOP2A;PCNA;CENPF;RANBP1;SMC4;FABP5;ZWINT;HMGN2;ASPM;UBE2C;RRM2;CKS2;MAD2L1;TMPO	0.302631578947368	Cycling_epithelial	Epithelial		FALSE	2	
5	T_I_NK cell markers	CD4+Prolif.	49	50	21	HMGB2;H2AFZ;MKI67;STMN1;TUBA1B;TUBB;HMGB1;PCLAF;TOP2A;PCNA;CENPF;RANBP1;SMC4;ZWINT;HMGN2;ASPM;RAN;UBE2C;RRM2;CKS2;MAD2L1	0.269230769230769	Cycling_epithelial	Epithelial		FALSE	3	
6	Fibroblast markers	CXCL12+Fibro	40	50	3	MGST1;S100A10;PLA2G2A	0.0344827586206897	Epithelial_mito_enriched	Epithelial		FALSE	1	
6	B cell markers	Bmem	40	21	1	CD24	0.0166666666666667	Epithelial_mito_enriched	Epithelial		FALSE	2	
6	Myeloid cell markers	CCL19+mDC	40	48	1	TXN	0.0114942528735632	Epithelial_mito_enriched	Epithelial		FALSE	3	
7	Endothelial cell markers	MADCAM1+HEV	50	50	4	ITM2B;ACKR1;TGFBR2;CLDN5	0.0416666666666667	Endothelial	Endothelial	Endothelial cell markers	TRUE	1	1
7	Endothelial cell markers	PLVAP+EC	50	50	3	HSPG2;PLVAP;SPARC	0.0309278350515464	Endothelial	Endothelial	Endothelial cell markers	TRUE	2	2
7	Endothelial cell markers	CXCL12+EC	50	50	2	CAV1;MGP	0.0204081632653061	Endothelial	Endothelial	Endothelial cell markers	TRUE	3	3
8	Myeloid cell markers	CD1C+cDC	50	40	2	PLAC8;PKIB	0.0227272727272727	Colonocyte	Epithelial		FALSE	1	
8	Myeloid cell markers	IL1B+Mono	50	50	2	C15orf48;NEAT1	0.0204081632653061	Colonocyte	Epithelial		FALSE	2	
8	T_I_NK cell markers	CD4+Tn	50	16	1	PLAC8	0.0153846153846154	Colonocyte	Epithelial		FALSE	3	
