compartment_sheet	cluster	rank	gene	gene_source	avg_log2FC	pvalue	p_val_adj	pct_exp_in_cluster	pct_exp_in_other_cluster	source_title	source_file	source_sha256
B cell markers	Bfoc	1	RGS13	"RGS13"	2.83086649982408	0	0	0.727	0.019	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	2	MARCKSL1	"MARCKSL1"	2.78384090432207	0	0	0.882	0.286	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	3	ACTG1	"ACTG1"	2.27579933659811	0	0	0.993	0.823	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	4	LMO2	"LMO2"	2.18617505171616	0	0	0.58	0.042	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	5	NEIL1	"NEIL1"	2.16850942573178	0	0	0.693	0.097	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	6	LRMP	"LRMP"	2.10382502593466	0	0	0.725	0.136	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	7	GAPDH	"GAPDH"	2.09373150174971	0	0	0.96	0.729	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	8	SUGCT	"SUGCT"	2.09246690096593	0	0	0.472	0.004	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	9	HMGN1	"HMGN1"	2.05897602167909	0	0	0.933	0.554	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bfoc	10	BASP1	"BASP1"	1.9538887254119	0	0	0.899	0.436	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	1	NR4A2	"NR4A2"	2.41958850832527	0	0	0.53	0.056	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	2	CD69	"CD69"	2.35798837420691	0	0	0.702	0.212	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	3	DUSP1	"DUSP1"	2.06322687936994	0	0	0.922	0.447	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	4	KLF2	"KLF2"	1.98756812456736	0	0	0.783	0.36	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	5	JUNB	"JUNB"	1.96493875722179	0	0	0.875	0.503	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	6	NR4A1	"NR4A1"	1.82040290203627	0	0	0.434	0.093	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	7	FOS	"FOS"	1.74923612520064	0	0	0.75	0.379	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
B cell markers	Bgc	8	KLF6	"KLF6"	1.7237384341788	3.81312193392408e-298	9.54653207377232e-294	0.629	0.274	Supplementary Table 2. Marker genes for B cell clusters, related to Figure S2 and Figures 4.	F:/pan-gi-ici-ccc-20260709/GSE205506/supplement/mmc3.xlsx	28AA8BC71620AE3B667D0243891B631DA3B8EB1576108C88463B2F66979EAC80
