cluster	cells	samples	subjects	median_nCount_RNA	q05_nCount_RNA	q95_nCount_RNA	median_nFeature_RNA	q05_nFeature_RNA	q95_nFeature_RNA	median_percent_mt	q75_percent_mt	q95_percent_mt	largest_sample	largest_sample_cells	largest_sample_fraction	detailed_annotation	broad_annotation	evidence_summary	expected_author_sheet	top10_markers	top10_mitochondrial_markers	quality_review
0	25366	40	19	10188	2328.65	42670	2602	804	6037	32.4214825112213	47.4639943884715	69.4948684813322	GSM6213989	2515	0.0991484664511551	Epithelial	Epithelial	EPCAM;KRT18;TSPAN8;KRT8		EPCAM;TXN;KRT18;AGR2;TSPAN8;KRT8;MGST1;LGALS4;CD24;GPX2	0	retained_after_qc
1	21657	40	19	1674	654	4177	613	246	1240	25.1068376068376	40.0534223759343	68.3872227809342	GSM6213994	3580	0.165304520478367	B_cell	B cell	MS4A1;CD79A;CD74;CD37	B cell markers	CD74;HLA-DRA;MS4A1;CD37;HLA-DPA1;HLA-DPB1;HLA-DQB1;CD79A;HLA-DRB1;RPS23	0	retained_after_qc
2	19399	39	18	6924	1302	18496	381	30	1009	92.0623145400594	96.9826783279285	99.7354344626547	GSM6213963	4687	0.241610392288262	Epithelial_mito_enriched	Epithelial	epithelial genes after mitochondrial markers		MT-CO3;MT-ND4;MT-CO2;MT-CO1;MT-ND1;MT-CYB;MT-ATP6;MT-ND3;MT-ND2;MT-ND5	10	mitochondrial_marker_enriched
3	18287	40	19	1057	567	2861.3	386	189.7	796.299999999999	36.7875647668394	58.4582138781983	82.2846836713224	GSM6213994	2019	0.110406299557062	CD4_T_cell	T/NK	IL7R;CD2;RORA;KLRB1	T_I_NK cell markers	MALAT1;PTPRC;EVL;BTG1;FYB1;B2M;ACAP1;IL7R;CD2;CCL5	0	retained_after_qc
4	16007	40	19	1891	840	4108	813	423.7	1447.3	16.5840220385675	26.7889174403183	51.1293924417058	GSM6213961	2458	0.153557818454426	Cytotoxic_T_NK	T/NK	CCL5;NKG7;GZMA;CD3D	T_I_NK cell markers	CCL5;B2M;NKG7;IL32;TMSB4X;GZMA;CD3D;HLA-C;SH3BGRL3;HLA-A	0	retained_after_qc
5	15895	40	19	10938	1730	54251.9	2801	581	6943	32.967469975344	52.899207672936	80.5142930584331	GSM6213989	2240	0.140924819125511	Cycling_epithelial	Epithelial	MKI67;STMN1;TOP2A;EPCAM		HMGB2;H2AFZ;MKI67;STMN1;TUBA1B;AGR2;TXN;HSPD1;TUBB;MGST1	0	retained_after_qc
6	14978	40	19	3449.5	620	15307.5	754	237	2137.75	64.7982999392835	77.5690747662375	86.4126360167724	GSM6213989	940	0.0627587127787422	Epithelial_mito_enriched	Epithelial	LGALS4;PIGR;ELF3;EPCAM		LGALS4;PIGR;MT-CO3;MT-CO2;MT-CYB;ELF3;MT-ATP6;MT-CO1;MT-ND1;MT-ND4	7	mitochondrial_marker_enriched
7	14957	40	19	4066	877	16233	1614	349	4345	17.6762402088773	31.4480373985054	62.7466817295113	GSM6213967	3278	0.219161596576854	Endothelial	Endothelial	PECAM1;VWF;EGFL7;SPARCL1	Endothelial cell markers	SPARCL1;VIM;IGFBP7;PECAM1;A2M;VWF;IFITM3;TCF4;EGFL7;CAV1	0	retained_after_qc
8	14235	40	19	8176	1489.1	31048.7	1252	403	4004.7	62.984963801745	78.2196031336049	88.1782890639586	GSM6213979	961	0.0675096592904812	Colonocyte	Epithelial	FABP1;SLC26A3;CEACAM7;KRT20		FABP1;SLC26A3;CEACAM7;PHGR1;KRT20;PLAC8;FXYD3;TSPAN1;CDHR5;CEACAM1	0	retained_after_qc
9	11428	40	19	2482	584	15066.25	859.5	219	3317.25	16.3248691067572	33.008581227043	72.4752049293258	GSM6213961	2444	0.213860693034652	Myeloid	Myeloid	LYZ;TYROBP;FCER1G;LST1	Myeloid cell markers	FTL;HLA-DRA;LYZ;FTH1;TYROBP;FCER1G;SAT1;CD74;AIF1;HLA-DPA1	0	retained_after_qc
