gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
EPCAM	0	2.18509429121094	1.56308672419271	4655468373	0.859360152008991	0	0	94.6148387605456	32.6495542403356	TRUE	TRUE	1
TXN	0	2.3756408209676	1.59591158500621	4655466988.5	0.859359896441981	0	0	95.3283923361981	41.8367920287684	TRUE	TRUE	2
KRT18	0	2.37181298668416	1.71729632711674	4655021044.5	0.859277578945024	0	0	95.6358905621698	33.1772550194786	TRUE	TRUE	3
AGR2	0	1.99861785208464	1.57459984110993	4640127481	0.856528352880565	0	0	88.784199321927	22.1470445010488	TRUE	TRUE	4
TSPAN8	0	2.02906853549038	1.51324202663343	4606546019.5	0.850329498641388	0	0	90.5030355594102	28.9383240934972	TRUE	TRUE	5
KRT8	0	2.51726302197489	1.69965029537688	4577180942.5	0.844908953378783	0	0	96.7200189229678	38.4570722205574	TRUE	TRUE	6
MGST1	0	1.42853506880708	1.1313941985369	4537204990	0.837529730094539	0	0	84.0495150989514	20.0292178603536	TRUE	TRUE	7
LGALS4	0	2.33632528869743	1.57045207465893	4502212099.5	0.831070337979726	0	0	92.9511945123394	38.6429614923584	TRUE	TRUE	8
CD24	0	1.86699637627542	1.28603352994078	4474567428	0.825967365045733	0	0	90.8381297800205	33.136986814504	TRUE	TRUE	9
GPX2	0	1.35238100678147	1.11332606428305	4467825816.5	0.824722920487367	0	0	78.3016636442482	15.9714938567576	TRUE	TRUE	10
CD74	1	3.6601575102794	2.63402842744245	4243142303.5	0.901727977030405	0	0	93.9511474350095	45.5188538133351	TRUE	TRUE	1
HLA-DRA	1	3.42194055467781	2.66505040013935	4202169428	0.893020659317478	0	0	91.0744793831094	34.6161811880687	TRUE	TRUE	2
MS4A1	1	2.09837790625862	2.04927094583142	4137392387	0.879254618501274	0	0	77.5546012836496	2.27957860242916	TRUE	TRUE	3
CD37	1	2.11488929327033	1.85292245412058	3985045385.5	0.846878717896684	0	0	76.2201597635868	13.713830732199	TRUE	TRUE	4
HLA-DPA1	1	2.10833853438451	1.66973753205437	3804956629	0.808607300520294	0	0	75.2920533776608	22.2738716016882	TRUE	TRUE	5
HLA-DPB1	1	2.09783155988148	1.68491249060661	3802871913.5	0.808164268880995	0	0	74.373181881147	20.8595479503123	TRUE	TRUE	6
HLA-DQB1	1	1.82633227971808	1.56922495315493	3788642660	0.805140350507429	0	0	70.3098305397793	14.5731025373141	TRUE	TRUE	7
CD79A	1	1.6343041005782	1.55996554453237	3775267567.5	0.802297953472414	0	0	63.1943482476797	4.03908375023587	TRUE	TRUE	8
HLA-DRB1	1	2.2898034954282	1.73187092714274	3771661950.5	0.80153170867297	0	0	76.5710855612504	28.5313217689861	TRUE	TRUE	9
RPS23	1	3.233054125957	1.38331431675669	3744311822.5	0.79571941819838	0	0	89.4168167336196	70.3972348660926	TRUE	TRUE	10
MT-CO3	2	7.76328211666579	1.29625138817533	3895621291.5	0.914731466643186	0	0	100	99.9949894094336	TRUE	TRUE	1
MT-ND4	2	6.54608771441523	1.08692602161038	3857748131	0.905838463689801	0	0	99.989690190216	99.8956886145717	TRUE	TRUE	2
MT-CO2	2	7.34375528929355	1.15217885993087	3830134724.5	0.899354555235488	0	0	100	99.9918008518004	TRUE	TRUE	3
MT-CO1	2	7.29304308265083	1.12336966377642	3780572281	0.887716789846923	0	0	100	99.9804131459676	TRUE	TRUE	4
MT-ND1	2	5.78042401902955	1.1616713553273	3762085232.5	0.883375842993284	0	0	99.984535285324	99.2661762361355	TRUE	TRUE	5
MT-CYB	2	6.55083243060067	1.08220349939419	3757598736.5	0.882322368140601	0	0	99.989690190216	99.8437606759742	TRUE	TRUE	6
MT-ATP6	2	6.82555977604664	0.972268036573307	3727552396.5	0.875267182176958	0	0	100	99.9029767463047	TRUE	TRUE	7
MT-ND3	2	5.69175553115824	1.08826856201846	3470647171.5	0.814943224669769	0	0	99.989690190216	99.5107841574237	TRUE	TRUE	8
MT-ND2	2	5.03884176448346	0.936655322633764	3379564133.5	0.793556001759306	0	0	99.9278313315119	98.738697701961	TRUE	TRUE	9
MT-ND5	2	4.08270521016448	0.775840248528057	3218614205	0.75576332297039	0	0	99.5618330841796	95.3980003188558	TRUE	TRUE	10
MALAT1	3	6.32043727150376	1.13956227650568	3160254185	0.783215950093374	0	0	98.4852627549625	97.0187675336624	TRUE	TRUE	1
PTPRC	3	1.46803232553817	1.00780708112187	2786856262.5	0.690675543052119	0	0	54.7930223656149	20.7226928079693	TRUE	TRUE	2
EVL	3	1.18426346291499	0.833381323000518	2676776604	0.663394147546893	0	0	47.1701208508777	18.9714793312395	TRUE	TRUE	3
BTG1	3	1.80509971752186	0.832731531232905	2619828468.5	0.649280508124031	0	0	62.6018483075409	52.3782331053674	TRUE	TRUE	4
FYB1	3	0.984867910219405	0.725482223597178	2594691959.5	0.643050846322803	0	0	39.4378520260294	12.8997901625674	TRUE	TRUE	5
B2M	3	3.86729092749951	0.758548053552104	2593107299.5	0.642658114942724	0	0	92.5520861814404	88.9085281014471	TRUE	TRUE	6
ACAP1	3	0.905391748693445	0.670400515076568	2562659568	0.635112155801795	0	0	37.2997211133592	12.7552153439657	TRUE	TRUE	7
IL7R	3	0.835960842492276	0.697959532243401	2531387049	0.6273617869243	0	0	31.0712528025373	6.22940715260121	TRUE	TRUE	8
CD2	3	0.796458112864361	0.594900462739216	2502025021.5	0.620084901294583	0	0	32.5258380270137	9.16577157178661	TRUE	TRUE	9
CCL5	3	1.05745377277124	0.713483156623048	2495858491.5	0.61855663034864	0	0	35.5225023240553	11.3602269688688	TRUE	TRUE	10
CCL5	4	3.68548853028562	3.52292353466088	3468245506.5	0.971934986745792	0	0	96.3828325107765	7.23734675476726	TRUE	TRUE	1
B2M	4	4.99007863401793	1.95419805694862	3190767610.5	0.894175071922701	0	0	99.8688073967639	88.4204246233072	TRUE	TRUE	2
NKG7	4	2.2420367758844	2.18806331567971	3165428580	0.887074106830405	0	0	79.102892484538	2.66499795897312	TRUE	TRUE	3
IL32	4	2.68758530734263	2.12935219056802	3154171807	0.883919528673798	0	0	88.9548322608859	31.5659386256488	TRUE	TRUE	4
TMSB4X	4	4.70260808356171	1.83310388215968	3128602281	0.87675396993024	0	0	99.6751421253202	88.3558294867827	TRUE	TRUE	5
GZMA	4	2.19799475905744	2.12889507026911	3078202293	0.862629966431364	0	0	74.6360967076904	3.07140902627317	TRUE	TRUE	6
CD3D	4	1.93106557622956	1.75047119559895	3002875916.5	0.841520635904466	0	0	75.0046854501156	7.80569424071557	TRUE	TRUE	7
HLA-C	4	2.99888286564419	1.60155411972341	2992371511	0.838576899885409	0	0	92.5782470169301	63.7796229258905	TRUE	TRUE	8
SH3BGRL3	4	2.49981574475203	1.52825576090005	2952846393.5	0.827500450861979	0	0	88.2863747110639	52.0565028013655	TRUE	TRUE	9
HLA-A	4	3.1083935872437	1.50744881599373	2926683504.5	0.820168609120733	0	0	94.0338601861685	68.0518734832479	TRUE	TRUE	10
HMGB2	5	1.56770834290322	1.24125899528288	3032789611	0.855462432290638	0	0	88.1220509594212	22.7475912284399	TRUE	TRUE	1
H2AFZ	5	1.88778460247327	1.33219718516598	2961946356	0.835479594373403	0	0	88.839257628185	34.8629611861603	TRUE	TRUE	2
MKI67	5	0.900156433623835	0.850394917504986	2943580980	0.830299251772021	0	0	69.9087763447625	4.21361286591134	TRUE	TRUE	3
STMN1	5	1.23282596419363	1.01979741124135	2942657684.5	0.830038816754937	0	0	79.2513368983957	14.3033281175041	TRUE	TRUE	4
TUBA1B	5	1.96913023629269	1.32655804289496	2934059410	0.827613491638222	0	0	90.7706826045926	37.5024098924403	TRUE	TRUE	5
AGR2	5	1.90199808968262	1.40423151357566	2900894544.5	0.8182586401166	0	0	85.0896508335955	25.2399804518492	TRUE	TRUE	6
TXN	5	2.27354815850925	1.41877535845652	2891126834	0.815503450850608	0	0	90.2107581000315	44.4729397100955	TRUE	TRUE	7
HSPD1	5	1.52538242799554	1.1007250653545	2885346862	0.813873087541607	0	0	83.7621893677257	28.93350490273	TRUE	TRUE	8
TUBB	5	1.51737152562357	1.06840899696121	2879641681.5	0.812263820756505	0	0	86.0459263919472	29.7808903375643	TRUE	TRUE	9
MGST1	5	1.39750700687853	1.05011203083	2876187915	0.811289612891924	0	0	81.6546083674111	22.9184133716525	TRUE	TRUE	10
LGALS4	6	1.74487331104142	0.866600233311444	2319582672	0.69150181987968	0	0	75.751101615703	42.3123292075229	TRUE	TRUE	1
PIGR	6	2.30728421482975	1.12059139490717	2315616562	0.690319463968874	0	0	74.3690746428095	46.5055635928486	TRUE	TRUE	2
MT-CO3	6	7.08685411650093	0.54899578806408	2222814002.5	0.662653651683593	0	0	99.9933235411937	99.9955348372002	TRUE	TRUE	3
MT-CO2	6	6.77594888174729	0.523653440114413	2219221364	0.661582633137495	0	0	99.9866470823875	99.9928557395203	TRUE	TRUE	4
MT-CYB	6	5.98299320059211	0.455024409511862	2204337178	0.657145437675282	0	0	99.6862064361063	99.8669381485649	TRUE	TRUE	5
ELF3	6	1.32984702979875	0.654925924132427	2186812493	0.651921070500703	0	0	62.5984777673922	36.9112682848417	TRUE	TRUE	6
MT-ATP6	6	6.31820598780942	0.411789786254666	2182933428	0.650764663988742	0	0	99.759647482975	99.9209666184429	TRUE	TRUE	7
MT-CO1	6	6.69071714641738	0.458584784016301	2171119406.5	0.647242729864142	0	0	99.9399118707438	99.9848184464806	TRUE	TRUE	8
MT-ND1	6	5.10066099087275	0.413514358276456	2168365655.5	0.646421796059548	0	0	98.5845907330752	99.3739841754631	TRUE	TRUE	9
MT-ND4	6	5.91338379698174	0.390450920476257	2164419678.5	0.645245442093104	0	0	99.7730004005875	99.9120362928432	TRUE	TRUE	10
SPARCL1	7	3.11915094655903	3.03103797526518	3203286003.5	0.956197929930704	0	0	92.8261014909407	4.02943159342254	TRUE	TRUE	1
VIM	7	3.39661108571422	2.71609465711791	3070157910	0.916458485097732	0	0	94.0897238751086	27.9175986820075	TRUE	TRUE	2
IGFBP7	7	2.77720205931953	2.62596491681894	3054598267.5	0.911813848954501	0	0	86.4010162465735	6.68059666840792	TRUE	TRUE	3
PECAM1	7	1.97069057182625	1.92813411992075	3046002896	0.909248084790356	0	0	83.0514140536204	3.16371770315702	TRUE	TRUE	4
A2M	7	2.07371690655161	1.97971552579123	3016816665	0.900535839416641	0	0	83.318847362439	4.93175638570032	TRUE	TRUE	5
VWF	7	1.92480276725711	1.91207554937455	2987611279.5	0.891817876322676	0	0	78.8059102761249	0.907682485255182	TRUE	TRUE	6
IFITM3	7	2.54202491987366	2.01356532321407	2969074663.5	0.886284597736951	0	0	88.2730494083038	30.2772159641392	TRUE	TRUE	7
TCF4	7	1.93203469055495	1.76783510553659	2967632317	0.885854049626031	0	0	82.830781573845	9.72376627957335	TRUE	TRUE	8
EGFL7	7	1.59767230192835	1.58205893417906	2950458220	0.880727490217384	0	0	76.86701878719	1.41800274135291	TRUE	TRUE	9
CAV1	7	1.85703846401669	1.78207662456811	2922761008	0.872459724944376	0	0	77.5021728956342	4.04818351884345	TRUE	TRUE	10
FABP1	8	3.2778696119314	2.67249999651179	2886795802	0.902521286826964	0	0	92.84861257464	31.719767333188	TRUE	TRUE	1
SLC26A3	8	2.18933385212766	2.06825868710118	2867331935	0.896436147628931	0	0	82.9434492448191	8.81134317464697	TRUE	TRUE	2
CEACAM7	8	1.76701788003605	1.67241064287862	2813733352.5	0.879679208459043	0	0	79.8946259220232	7.09972006996026	TRUE	TRUE	3
PHGR1	8	3.11159205774961	2.2916441436651	2784564911.5	0.87056005327397	0	0	94.1622760800843	39.9930573789826	TRUE	TRUE	4
KRT20	8	1.61812913791751	1.47840443525938	2779180763	0.868876765308357	0	0	80.2037232174219	10.3556313112208	TRUE	TRUE	5
PLAC8	8	1.65766353926543	1.42593349203925	2768805340.5	0.86563301676903	0	0	83.8918159466105	17.8189489049796	TRUE	TRUE	6
FXYD3	8	2.02337096297885	1.58832930423824	2748501179	0.859285169805893	0	0	88.8303477344573	27.4967845873813	TRUE	TRUE	7
TSPAN1	8	1.50752838330614	1.29049013638611	2745542806	0.858360270786355	0	0	82.5008781173165	18.5675058633995	TRUE	TRUE	8
CDHR5	8	1.20010130754794	1.0416148295188	2710534133.5	0.847415238881808	0	0	79.0656831752722	15.0984205537185	TRUE	TRUE	9
CEACAM1	8	1.30944629188489	1.20044911843303	2699235516	0.843882864753232	0	0	74.9701440112399	9.7107686282538	TRUE	TRUE	10
FTL	9	4.66469769871363	2.78346322287309	2388707066.5	0.918755195180442	0	0	96.5523276163808	74.2323279386038	TRUE	TRUE	1
HLA-DRA	9	3.70604742415886	2.84360388975967	2276577929	0.875627584828381	0	0	88.6681834091705	37.2755004263624	TRUE	TRUE	2
LYZ	9	3.06318624350394	2.79024285210292	2274309112.5	0.874754942479087	0	0	80.3290164508226	15.1187221435918	TRUE	TRUE	3
FTH1	9	4.25793415705432	2.13781952128016	2273591014	0.87447874422239	0	0	96.2110605530277	79.8787724279799	TRUE	TRUE	4
TYROBP	9	2.10874373478674	2.05705463187813	2237048922.5	0.860423761558662	0	0	73.5036751837592	2.78893743461711	TRUE	TRUE	5
FCER1G	9	2.07748971002551	2.03040428546683	2222734482	0.85491807743359	0	0	72.2961148057403	2.71685142369872	TRUE	TRUE	6
SAT1	9	2.90251120307342	1.74848711538628	2187551711.5	0.841385922892314	0	0	87.4956247812391	61.0827846298559	TRUE	TRUE	7
CD74	9	3.53682185452963	2.38606767759311	2185045692	0.840422046464292	0	0	88.1869093454673	47.9859871827556	TRUE	TRUE	8
