geo_accession	cells_entered_scDblFinder	singlets	doublets	doublet_fraction	scDblFinder_threshold	score_median	score_q95	status
GSM6213956	1543	1488	55	0.0356448476992871	0.5044804944262	0.196752189069671	0.453099493846516	completed_per_sample
GSM6213957	4794	4496	298	0.0621610346266166	0.582819386462666	0.272831221679084	0.611164680434412	completed_per_sample
GSM6213958	5587	5236	351	0.0628244138177913	0.436437199693889	0.189249682500937	0.467259337192979	completed_per_sample
GSM6213959	4950	4651	299	0.0604040404040404	0.406443165515805	0.168660148392155	0.426597498909383	completed_per_sample
GSM6213960	5343	4980	363	0.0679393599101628	0.402515193566171	0.161209538604972	0.442997607514586	completed_per_sample
GSM6213961	14068	12320	1748	0.124253625248792	0.351100229329663	0.19048894734122	0.487337328816819	completed_per_sample
GSM6213962	12362	10871	1491	0.120611551528879	0.391349418241641	0.187734496483264	0.506199134549522	completed_per_sample
GSM6213963	8433	7728	705	0.0836001422981146	0.55789257290306	0.278484641239502	0.632619050119744	completed_per_sample
GSM6213964	6492	5984	508	0.0782501540357363	0.548574228069297	0.252030837436511	0.607843533594977	completed_per_sample
GSM6213965	7174	6685	489	0.0681628101477558	0.368031055062608	0.169058464609656	0.408110158598467	completed_per_sample
GSM6213966	4745	4459	286	0.0602739726027397	0.463836461987272	0.184248968270136	0.481508981162326	completed_per_sample
GSM6213967	8154	7574	580	0.071130733382389	0.323006530243247	0.147093185346097	0.353376555895443	completed_per_sample
GSM6213968	6839	6368	471	0.0688697177949993	0.602169200674746	0.248476117748703	0.640318661438061	completed_per_sample
GSM6213969	1317	1274	43	0.0326499620349279	0.479088635847436	0.234293020369587	0.438470351779308	completed_per_sample
GSM6213970	6452	6087	365	0.0565716057036578	0.344024267279527	0.18421052667206	0.35671923426333	completed_per_sample
GSM6213971	5878	5475	403	0.0685607349438585	0.408120679344089	0.189537699239332	0.449667482957069	completed_per_sample
GSM6213972	4634	4395	239	0.051575312904618	0.354291424390677	0.179210854920579	0.35768017063879	completed_per_sample
GSM6213973	6993	6509	484	0.0692120692120692	0.735254697882272	0.233333333333333	0.762464546391161	completed_per_sample
GSM6213974	5508	5152	356	0.0646332607116921	0.469337039654408	0.188679270187667	0.506426165028207	completed_per_sample
GSM6213975	4492	4256	236	0.0525378450578807	0.416616721392536	0.187648808558836	0.423588300138701	completed_per_sample
GSM6213976	6843	6390	453	0.0661990355107409	0.336389238146094	0.135593220338983	0.363801893407145	completed_per_sample
GSM6213977	4225	3998	227	0.0537278106508876	0.402552298703339	0.203292868999916	0.412136019100656	completed_per_sample
GSM6213978	3702	3501	201	0.0542949756888169	0.426185047459003	0.190311797028151	0.435280575777343	completed_per_sample
GSM6213979	6957	6465	492	0.0707201379905132	0.560799091830083	0.224664135750828	0.620022019332131	completed_per_sample
GSM6213980	6980	6588	392	0.0561604584527221	0.314464050149697	0.16666905173602	0.317111430665178	completed_per_sample
GSM6213981	3454	3271	183	0.0529820497973364	0.500199817372249	0.238772497582734	0.508404595206242	completed_per_sample
GSM6213982	8808	7941	867	0.098433242506812	0.699321766378165	0.316237987528363	0.753979898504169	completed_per_sample
GSM6213983	3340	3191	149	0.0446107784431138	0.415427195019393	0.171105883702771	0.408839223901428	completed_per_sample
GSM6213984	5432	5120	312	0.0574374079528719	0.348824311241415	0.168803326240024	0.361636970694101	completed_per_sample
GSM6213985	5338	4977	361	0.0676283252154365	0.701537370421081	0.287348195625241	0.7311703609266	completed_per_sample
GSM6213986	4862	4578	284	0.0584121760592349	0.426633994010426	0.213617653761957	0.436432655159474	completed_per_sample
GSM6213987	6245	5806	439	0.0702962369895917	0.468336619871174	0.240548194362137	0.49749570728817	completed_per_sample
GSM6213988	9395	8652	743	0.079084619478446	0.355076411344258	0.184464434610247	0.407459300770765	completed_per_sample
GSM6213989	11563	10582	981	0.0848395745048863	0.368082056771393	0.214285714285714	0.409090909091184	completed_per_sample
GSM6213990	8728	7958	770	0.0882218148487626	0.545437964453438	0.255652133623236	0.621378556516039	completed_per_sample
GSM6213991	3182	3042	140	0.043997485857951	0.402294166397602	0.200005244469901	0.388647836942157	completed_per_sample
GSM6213992	8227	7490	737	0.0895830801021028	0.558423815063122	0.246374738298355	0.62922658036065	completed_per_sample
GSM6213993	8760	7888	872	0.0995433789954338	0.636428798920265	0.273873781597656	0.696544000742396	completed_per_sample
GSM6213994	13311	11645	1666	0.125159642401022	0.402344168256102	0.20647785379551	0.520829977455124	completed_per_sample
GSM6213995	4070	3863	207	0.0508599508599509	0.397768589078399	0.184782608695678	0.402174009583546	completed_per_sample
