geo_accession	filtered_matrix_available	unfiltered_droplet_matrix_available	soup_profile_estimable	correction_applied	reason
GSM6213956	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213957	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213958	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213959	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213960	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213961	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213962	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213963	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213964	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213965	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213966	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213967	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213968	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213969	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213970	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213971	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213972	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213973	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213974	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213975	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213976	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213977	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213978	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213979	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213980	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213981	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213982	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213983	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213984	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213985	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213986	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213987	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213988	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213989	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213990	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213991	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213992	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213993	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213994	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
GSM6213995	TRUE	FALSE	FALSE	FALSE	GEO archive contains filtered matrix triplets only; no unfiltered droplet matrix was provided for contamination estimation
