geo_accession	scenario	mt_high_component_posterior_cutoff	nmads	count_lower_threshold	feature_lower_threshold	percent_mt_threshold	cells_input	cells_pass_qc_before_doublet	retention_fraction_before_doublet
GSM6213956	permissive	0.9	3.5	45.7042704220297	18.9825418065643	99.6556148288203	1666	1666	1
GSM6213956	primary	0.5	3	48.0717061523095	53.8136083935961	98.1862935613422	1666	1543	0.926170468187275
GSM6213956	stringent	0.1	2.5	96.053788106541	96.549167337588	97.514667535854	1666	1514	0.908763505402161
GSM6213957	permissive	0.9	3.5	826.027504787873	23.4558277912288	98.7694831829369	6548	5152	0.786805131337813
GSM6213957	primary	0.5	3	1099.46946182613	48.1817441209259	98.1470043236566	6548	4794	0.732131948686622
GSM6213957	stringent	0.1	2.5	1472.17080597766	90.6755945313571	97.4083619702176	6548	4500	0.687232742822236
GSM6213958	permissive	0.9	3.5	10.3483691599694	24.1116212585966	78.3342491561347	7509	6435	0.856971634039153
GSM6213958	primary	0.5	3	20.4385966359048	36.6719933498975	57.8104138851802	7509	5587	0.744040484751631
GSM6213958	stringent	0.1	2.5	152.188765371815	229.760115313085	19.247311827957	7509	2512	0.334531895059262
GSM6213959	permissive	0.9	3.5	43.4318534296528	46.9394049068956	0.551398188263096	7755	6044	0.779368149580916
GSM6213959	primary	0.5	3	102.125550213988	66.858586369475	0.551398188263096	7755	4950	0.638297872340426
GSM6213959	stringent	0.1	2.5			0.551398188263096	7755	0	0
GSM6213960	permissive	0.9	3.5	94.3917653226175	87.5548037912248	68.6813186813187	8118	6993	0.861419068736142
GSM6213960	primary	0.5	3	171.137217787962	119.469952079933	30.8152580403889	8118	5343	0.658167036215817
GSM6213960	stringent	0.1	2.5	549.753016847278	304.904323910416	7.96064400715564	8118	3346	0.412170485341217
GSM6213961	permissive	0.9	3.5	47.590621241798	45.98664151222	0.157232704402516	15760	14961	0.949302030456853
GSM6213961	primary	0.5	3	89.4002526488829	74.6550739700787	0.157232704402516	15760	14068	0.892639593908629
GSM6213961	stringent	0.1	2.5	327.096460901904	210.935943951274	0.157232704402516	15760	7319	0.464403553299492
GSM6213962	permissive	0.9	3.5	49.4787283646406	46.6805344176148	85.2980404226942	16410	14436	0.879707495429616
GSM6213962	primary	0.5	3	111.189044840305	57.2684963819788	69.8087196277787	16410	12362	0.753321145642901
GSM6213962	stringent	0.1	2.5	532.812883428298	229.16295038254	2.1655462616103	16410	5843	0.35606337599025
GSM6213963	permissive		3.5	675.073464156768	0.192115345267381	109.842749809063	8644	8644	1
GSM6213963	primary		3	946.05457334027	0.509798913046413	108.069454917088	8644	8433	0.975590004627487
GSM6213963	stringent		2.5	1325.81015735229	1.35280672859104	106.296160025114	8644	8122	0.93961129106895
GSM6213964	permissive	0.9	3.5	535.080468130138	25.2873654296829	98.8436045691722	9926	7168	0.722143864598025
GSM6213964	primary	0.5	3	589.886496994442	60.9375541505639	97.9591836734694	9926	6492	0.654039895224663
GSM6213964	stringent	0.1	2.5	784.385518165281	111.521524501093	96.9144292292053	9926	6032	0.607696957485392
GSM6213965	permissive		3.5	49.1535020255467	40.9471418259698	63.4788785394216	7681	7352	0.957167035542247
GSM6213965	primary		3	85.9874987909426	66.9488859883686	56.5944317576054	7681	7174	0.933992969665408
GSM6213965	stringent		2.5	148.285335112278	108.464173019662	49.7099849757892	7681	6937	0.903137612290066
GSM6213966	permissive	0.9	3.5	235.446202045627	60.8553666394379	85.9221223791185	6780	5867	0.865339233038348
GSM6213966	primary	0.5	3	244.32462776404	103.59164552853	71.5227422544496	6780	4745	0.699852507374631
GSM6213966	stringent	0.1	2.5	242.471524265527	130.457458148006	48.6533957845433	6780	3208	0.473156342182891
GSM6213967	permissive	0.9	3.5	145.592709919541	112.824569619746	0.186219739292365	8742	8346	0.954701441317776
GSM6213967	primary	0.5	3	229.979828564946	161.07037537882	0.186219739292365	8742	8154	0.93273850377488
GSM6213967	stringent	0.1	2.5	453.896015265755	289.315237098748	0.186219739292365	8742	6990	0.799588194921071
GSM6213968	permissive		3.5	548.677108557562	9.59074463462513	170.517106286785	7043	7039	0.999432060201619
GSM6213968	primary		3	775.094289327782	17.1381533071298	157.727243317383	7043	6839	0.97103507028255
GSM6213968	stringent		2.5	1094.94481905383	30.6249733433929	144.937380347981	7043	6505	0.923612097117705
GSM6213969	permissive	0.9	3.5	91.5011654621456	116.000630193378	0.165562913907285	1357	1332	0.981577008106117
GSM6213969	primary	0.5	3	163.536901224453	177.951062648239	0.165562913907285	1357	1317	0.970523212969786
GSM6213969	stringent	0.1	2.5	332.389918218231	292.64803196069	0.165562913907285	1357	1239	0.91304347826087
GSM6213970	permissive	0.9	3.5	286.89943655482	80.5134685888724	0.753012048192771	7690	7038	0.915214564369311
GSM6213970	primary	0.5	3	326.761816239203	141.23824961425	0.753012048192771	7690	6452	0.839011703511053
GSM6213970	stringent	0.1	2.5			0.753012048192771	7690	0	0
GSM6213971	permissive	0.9	3.5	38.5707722297338	42.8771140134918	54.5733439381889	10323	9516	0.921825050857309
GSM6213971	primary	0.5	3	51.1184933418412	56.6310686643885	33.5720423947293	10323	5878	0.569408117795215
GSM6213971	stringent	0.1	2.5	101.89961953251	99.8263775792238	22.3034734917733	10323	3326	0.322193160902838
GSM6213972	permissive	0.9	3.5	31.05152840619	47.7994660110087	0.600400266844563	4826	4723	0.97865727310402
GSM6213972	primary	0.5	3	61.8387710635158	79.1904468168669	0.600400266844563	4826	4634	0.960215499378367
GSM6213972	stringent	0.1	2.5	99.273601462503	104.52718626866	0.600400266844563	4826	3990	0.826771653543307
GSM6213973	permissive	0.9	3.5	269.134424780513	29.3765505489923	98.9501312335958	7307	7080	0.968933899000958
GSM6213973	primary	0.5	3	420.093197571638	51.6781509006504	98.4352773826458	7307	6993	0.957027507869167
GSM6213973	stringent	0.1	2.5	673.459020403027	88.9260824772963	97.912380952381	7307	6653	0.910496783905844
GSM6213974	permissive	0.9	3.5	33.7206628618101	43.8292978002778	0.554016620498615	8126	6763	0.832266797932562
GSM6213974	primary	0.5	3	74.3127293307236	59.6951318305212	0.554016620498615	8126	5508	0.677824267782427
GSM6213974	stringent	0.1	2.5			0.554016620498615	8126	0	0
GSM6213975	permissive	0.9	3.5	19.4156641794724	31.3041704824663	75.8933240369531	6789	5105	0.751951686551775
GSM6213975	primary	0.5	3	60.1857369429297	48.6274110071874	63.4096444227959	6789	4492	0.661658565326263
GSM6213975	stringent	0.1	2.5	207.395509861526	137.511740094005	37.6947040498442	6789	2813	0.414346737369274
GSM6213976	permissive	0.9	3.5	20.6555115143242	31.5889479245646	0.125722906713603	9798	8711	0.889058991630945
GSM6213976	primary	0.5	3	26.3337372997546	34.2601831140826	0.125722906713603	9798	6843	0.698407838334354
GSM6213976	stringent	0.1	2.5			0.125722906713603	9798	0	0
GSM6213977	permissive	0.9	3.5	293.264596740557	131.366489712404	0.205128205128205	5067	4673	0.922241957765936
GSM6213977	primary	0.5	3	348.493728352553	220.588994671864	0.205128205128205	5067	4225	0.833826721926189
GSM6213977	stringent	0.1	2.5			0.205128205128205	5067	0	0
GSM6213978	permissive	0.9	3.5	56.2193519727387	39.1288378796261	0.300710770913067	6744	4287	0.63567615658363
GSM6213978	primary	0.5	3	149.4172509098	92.0461858154995	0.300710770913067	6744	3702	0.548932384341637
GSM6213978	stringent	0.1	2.5			0.300710770913067	6744	0	0
GSM6213979	permissive	0.9	3.5	396.918389802234	44.7480030128068	98.6436498150432	7546	7208	0.955208057248874
