geo_accession	scenario	mad_multiplier	nFeature_RNA_lower	nFeature_RNA_upper	nCount_RNA_upper	percent_mt_upper	cells_total	cells_retained	retention_fraction
GSM6213956	permissive	6	20	5654.5	42026	99.6556148288203	1666	1548	0.929171668667467
GSM6213956	primary	5	20	4899	36217	99.6556148288203	1666	1498	0.899159663865546
GSM6213956	stringent	4	20	4143.5	30408	99.6556148288203	1666	1441	0.864945978391357
GSM6213957	permissive	6	30	3912	29790	99.7817308741678	6548	6020	0.919364691508858
GSM6213957	primary	5	30	3373	26366	99.7817308741678	6548	5860	0.894929749541845
GSM6213957	stringent	4	30	2834	22942	99.7817308741678	6548	5624	0.858888210140501
GSM6213958	permissive	6	67	4530	32305	99.0618540308475	7509	6754	0.899453988547077
GSM6213958	primary	5	67	3936	27861	99.0618540308475	7509	6445	0.858303369290185
GSM6213958	stringent	4	67	3342	23417	99.0618540308475	7509	6098	0.812092156079372
GSM6213959	permissive	6	68	4777	27071	99.3783422459893	7755	7241	0.933720180528691
GSM6213959	primary	5	68	4160	23465	99.3783422459893	7755	7038	0.907543520309478
GSM6213959	stringent	4	68	3543	19859	99.3783422459893	7755	6763	0.872082527401676
GSM6213960	permissive	6	22	3095	12035	72.4507975669813	8118	6333	0.780118255728012
GSM6213960	primary	5	22	2717	10509	62.5041522706561	8118	5750	0.70830253757083
GSM6213960	stringent	4	22	2339	8983	52.5575069743308	8118	5063	0.623675782212368
GSM6213961	permissive	6	49	3553.5	10373	51.8863093814648	15760	12055	0.76491116751269
GSM6213961	primary	5	49	3105	9016	45.6323288144411	15760	11392	0.722842639593909
GSM6213961	stringent	4	49	2656.5	7659	39.3783482474175	15760	10578	0.671192893401015
GSM6213962	permissive	6	46	3287	19725	98.9845307013382	16410	15044	0.916758074344912
GSM6213962	primary	5	46	2871	17091	98.9845307013382	16410	14566	0.887629494210847
GSM6213962	stringent	4	46	2455	14457	98.9845307013382	16410	13951	0.850152346130408
GSM6213963	permissive	6	12	1072	25751.5	100	8644	7410	0.857242017584452
GSM6213963	primary	5	12	923	22654	100	8644	7049	0.815478944932901
GSM6213963	stringent	4	12	774	19556.5	100	8644	6585	0.761800092549746
GSM6213964	permissive	6	19	2447	24571	99.9354370107336	9926	9261	0.933004231311707
GSM6213964	primary	5	19	2106	21756.5	99.9354370107336	9926	8980	0.904694741084022
GSM6213964	stringent	4	19	1765	18942	99.9354370107336	9926	8593	0.86570622607294
GSM6213965	permissive	6	64	5299	18955	71.0096999280291	7681	6907	0.89923187085015
GSM6213965	primary	5	64	4614	16428	61.7227084511423	7681	6576	0.856138523629736
GSM6213965	stringent	4	64	3929	13901	52.4357169742555	7681	6069	0.790131493295144
GSM6213966	permissive	6	49	2294	8932.5	98.4665579119087	6780	6391	0.942625368731563
GSM6213966	primary	5	49	2010	7879	98.4665579119087	6780	6201	0.914601769911504
GSM6213966	stringent	4	49	1726	6825.5	98.4665579119087	6780	5954	0.878171091445428
GSM6213967	permissive	6	50	5575.5	16442.5	64.1412406369021	8742	7796	0.891786776481354
GSM6213967	primary	5	50	4880	14322	56.1877314445153	8742	7548	0.863417982155113
GSM6213967	stringent	4	50	4184.5	12201.5	48.2342222521285	8742	7143	0.817089910775566
GSM6213968	permissive	6	18	2946	23746	99.8577235772358	7043	6679	0.948317478347295
GSM6213968	primary	5	18	2548	20815	99.8577235772358	7043	6536	0.928013630555161
GSM6213968	stringent	4	18	2150	17884	99.8577235772358	7043	6327	0.898338776089734
GSM6213969	permissive	6	48	8513	26304	39.4974634401258	1357	1199	0.883566691230656
GSM6213969	primary	5	48	7416	22762	34.7922503052559	1357	1152	0.848931466470155
GSM6213969	stringent	4	48	6319	19220	30.087037170386	1357	1106	0.815033161385409
GSM6213970	permissive	6	35	5117	28803.5	99.5829138501366	7690	7361	0.957217165149545
GSM6213970	primary	5	35	4457.5	25136	99.5829138501366	7690	7165	0.931729518855657
GSM6213970	stringent	4	35	3798	21468.5	99.5829138501366	7690	6864	0.8925877763329
GSM6213971	permissive	6	50	3655	11500	99.2539902845246	10323	9571	0.927152959411024
GSM6213971	primary	5	50	3196	9980	89.502002002002	10323	9364	0.907100649036133
GSM6213971	stringent	4	50	2737	8460	77.6714214214214	10323	9044	0.876101908359973
GSM6213972	permissive	6	67	8237	36409	99.5028876379853	4826	4349	0.901160381268131
GSM6213972	primary	5	67	7146	31384	91.3647019752112	4826	4149	0.859718193120597
GSM6213972	stringent	4	67	6055	26359	78.1996549328174	4826	3923	0.812888520513883
GSM6213973	permissive	6	29	4931	39198	99.6865042655977	7307	6888	0.942657725468729
GSM6213973	primary	5	29	4279	34025	99.6865042655977	7307	6656	0.910907349117285
GSM6213973	stringent	4	29	3627	28852	99.6865042655977	7307	6324	0.865471465717805
GSM6213974	permissive	6	66	4959	28797.5	99.0868263473054	8126	7666	0.943391582574452
GSM6213974	primary	5	66	4316	24881.5	99.0868263473054	8126	7452	0.917056362293872
GSM6213974	stringent	4	66	3673	20965.5	99.0868263473054	8126	7098	0.873492493231602
GSM6213975	permissive	6	106	3836	32992	98.8858879135719	6789	6362	0.937104139048461
GSM6213975	primary	5	106	3346	28520	98.8858879135719	6789	6208	0.914420385918397
GSM6213975	stringent	4	106	2856	24048	98.8858879135719	6789	5999	0.88363529238474
GSM6213976	permissive	6	44	5041	25473	99.483341061138	9798	8882	0.906511532965911
GSM6213976	primary	5	44	4380	22010	99.483341061138	9798	8595	0.877219840783834
GSM6213976	stringent	4	44	3719	18547	92.0755395604018	9798	7724	0.788324147785262
GSM6213977	permissive	6	45	7866	36004	99.5528343423225	5067	4835	0.954213538582988
GSM6213977	primary	5	45	6854	31377	99.5528343423225	5067	4745	0.936451549240182
GSM6213977	stringent	4	45	5842	26750	99.5528343423225	5067	4612	0.910203276100257
GSM6213978	permissive	6	46	4501.5	33969.5	99.6935605742591	6744	6302	0.934460260972716
GSM6213978	primary	5	46	3922	29378	99.6935605742591	6744	6123	0.907918149466192
GSM6213978	stringent	4	46	3342.5	24786.5	99.6935605742591	6744	5866	0.869810201660735
GSM6213979	permissive	6	38	3831	31667	99.6740704973443	7546	7047	0.933872250198781
GSM6213979	primary	5	38	3336	27658.5	99.6740704973443	7546	6843	0.906838059899284
GSM6213979	stringent	4	38	2841	23650	99.6740704973443	7546	6592	0.873575404187649
GSM6213980	permissive	6	83	10155	62500	99.2226654392963	7069	6583	0.931249115857971
GSM6213980	primary	5	83	10155	53760	94.6673939958685	7069	6365	0.900410241901259
GSM6213980	stringent	4	83	8635	45020	80.9675600565079	7069	6063	0.857688499080492
GSM6213981	permissive	6	15	3094	19394	99.8803827751196	4109	3916	0.953029934290582
GSM6213981	primary	5	15	2678	16932	99.8803827751196	4109	3828	0.931613531272816
GSM6213981	stringent	4	15	2262	14470	99.8803827751196	4109	3710	0.902896081771721
GSM6213982	permissive	6	45	2257	15398	99.4711538461539	10942	10031	0.91674282580881
GSM6213982	primary	5	45	1960	13647	99.4711538461539	10942	9789	0.89462621093036
GSM6213982	stringent	4	45	1663	11896	99.4711538461539	10942	9444	0.863096326082983
GSM6213983	permissive	6	58	6375	32536	99.22419460881	6227	5721	0.918740966757668
GSM6213983	primary	5	58	5529	28053	99.22419460881	6227	5582	0.896418821262245
GSM6213983	stringent	4	58	4683	23570	99.22419460881	6227	5375	0.863176489481291
GSM6213984	permissive	6	29	3429	16414	99.7630331753555	7355	6629	0.901291638341264
GSM6213984	primary	5	29	2990	14184	99.7630331753555	7355	6441	0.875730795377294
GSM6213984	stringent	4	29	2551	11954	99.7630331753555	7355	6160	0.837525492861999
GSM6213985	permissive	6	19	2671	17741	99.8201843110811	7260	6655	0.916666666666667
GSM6213985	primary	5	19	2300	15726	99.8201843110811	7260	6498	0.89504132231405
GSM6213985	stringent	4	19	1929	13711	99.8201843110811	7260	6280	0.865013774104683
GSM6213986	permissive	6	17	2919.5	17411	99.9138414683017	5926	5599	0.944819439757003
GSM6213986	primary	5	17	2520	15152.5	99.9138414683017	5926	5475	0.923894701316233
GSM6213986	stringent	4	17	2120.5	12894	99.9138414683017	5926	5218	0.880526493418832
GSM6213987	permissive	6	17	2746	16372	99.8578243973334	8097	7652	0.945041373348154
GSM6213987	primary	5	17	2363	14435	99.8578243973334	8097	7481	0.923922440410028
GSM6213987	stringent	4	17	1980	12498	99.8578243973334	8097	7208	0.890206249228109
GSM6213988	permissive	6	20	3103	14327.5	99.8316498316498	10080	9146	0.90734126984127
GSM6213988	primary	5	20	2697.5	12439	99.8316498316498	10080	8825	0.875496031746032
GSM6213988	stringent	4	20	2292	10550.5	99.8316498316498	10080	8374	0.830753968253968
GSM6213989	permissive	6	41	6432	17272	99.0314769975787	11830	11224	0.948774302620457
GSM6213989	primary	5	41	5571	15065	99.0314769975787	11830	10931	0.924006762468301
GSM6213989	stringent	4	41	4710	12858	99.0314769975787	11830	10539	0.890870667793745
GSM6213990	permissive	6	14	1470	16238	99.9245709975486	11441	10715	0.936544008390875
GSM6213990	primary	5	14	1266	14371	99.9245709975486	11441	10375	0.906826326370073
GSM6213990	stringent	4	14	1062	12504	99.9245709975486	11441	9911	0.866270430906389
GSM6213991	permissive	6	54	8863	46283	99.5423922715139	4045	3929	0.971322620519159
GSM6213991	primary	5	54	8863	40278	99.5423922715139	4045	3870	0.956736711990111
GSM6213991	stringent	4	54	8863	34273	99.0792601162785	4045	3719	0.919406674907293
GSM6213992	permissive	6	39	2782	19087.5	99.4847131569907	9662	8979	0.929310701718071
GSM6213992	primary	5	39	2423	16644	99.4847131569907	9662	8750	0.905609604636721
GSM6213992	stringent	4	39	2064	14200.5	99.4847131569907	9662	8462	0.875802111364107
GSM6213993	permissive	6	45	2382	19283	99.3741575197381	11307	10465	0.925532855753073
GSM6213993	primary	5	45	2070	16912	99.3741575197381	11307	10186	0.900857875652251
GSM6213993	stringent	4	45	1758	14541	99.3741575197381	11307	9818	0.868311665340055
GSM6213994	permissive	6	50	2685	7305.5	75.3351873782226	13730	11553	0.841442097596504
GSM6213994	primary	5	50	2358	6383	66.0384331930548	13730	11262	0.820247632920612
GSM6213994	stringent	4	50	2031	5460.5	56.7416790078871	13730	10814	0.78761835396941
GSM6213995	permissive	6	51	6843	29517	92.8327301970245	6785	6379	0.940162122328666
