geo_accession	subject	genotype	treatment	cells	mitochondrial_gene_count	nCount_RNA_min	nCount_RNA_q01	nCount_RNA_q05	nCount_RNA_median	nCount_RNA_mean	nCount_RNA_q95	nCount_RNA_q99	nCount_RNA_max	nCount_RNA_mad	nFeature_RNA_min	nFeature_RNA_q01	nFeature_RNA_q05	nFeature_RNA_median	nFeature_RNA_mean	nFeature_RNA_q95	nFeature_RNA_q99	nFeature_RNA_max	nFeature_RNA_mad	percent_mt_min	percent_mt_q01	percent_mt_q05	percent_mt_median	percent_mt_mean	percent_mt_q95	percent_mt_q99	percent_mt_max	percent_mt_mad
GSM6213956	P11	tumor	Anti-PD-1+celecoxib	1666	13	501	520.996666666667	677.65	7172	13055.0150060024	47277.4499999999	79368.7733333333	132878	5809	20	67.9966666666667	106	1121.5	1563.95138055222	5175.4	7175.38666666667	9127	755.5	0.78740157480315	2.15955396327385	6.11349473711324	39.1110177663165	46.3254342021808	98.8855801417355	99.402445853888	99.6556148288203	26.1091486025493
GSM6213957	P11	normal	Anti-PD-1+celecoxib	6548	13	501	552	835.75	9246	11854.6959376909	34227	51386.6333333333	90530	3424	30	40	52	678	1063.57284667074	3590.75	5309.25	7593	539	1.20618168111572	8.1030109898952	16.6572680401655	84.5244680736052	75.7914120289644	99.4658171568788	99.6513198598171	99.7817308741678	13.3683223975428
GSM6213958	P12	tumor	anti-PD-1	7509	13	500	530.426666666667	665.8	5641	10638.0684511919	36566.4	67269.1733333334	165643	4444	67	129.426666666667	222.8	966	1610.03102943135	5488.2	7213.61333333334	9191	594	0.400282552389922	1.69571909409321	3.32222830072189	31.6738786718815	38.5096038106872	92.4118673362568	97.8058114718523	99.0618540308475	20.2758377101718
GSM6213959	P12	normal	anti-PD-1	7755	13	500	544.886666666667	747	5435	8352.09735654417	29331.2	47490.6333333334	85460	3606	68	105	207	1075	1503.68149580916	4638	6347.34	8684	617	0.551398188263096	3.35188625910564	6.63006141149653	35.6831395348837	42.1562525066769	95.7403740313641	98.6704884428636	99.3783422459893	23.062735052575
GSM6213960	P14	tumor	Anti-PD-1+celecoxib	8118	13	501	547.033333333333	756.5	2879	5060.87878787879	16247	25395.7333333334	52376	1526	22	116.516666666667	232	827	1184.97721113575	3275.25	4456.8	6410	378	0.284993971281377	1.13527589640886	2.27162472566616	12.7709257890297	27.1345625879273	87.6430267789661	95.5630481573758	99.0512680167853	9.94664529632526
GSM6213961	P15	tumor	anti-PD-1	15760	13	500	525	624	2231	5664.81288071066	21201.35	40364.51	95753	1357	49	141	257	862.5	1329.85406091371	3818	5578.38	8684	448.5	0.157232704402516	1.77832940810523	4.62654573229606	14.3624259793229	21.9731031701547	69.9737217514195	94.9962391484066	98.3252131546894	6.25398056702364
GSM6213962	P15	normal	anti-PD-1	16410	13	715	739.436666666667	850	3921	6528.56544789762	22037.6	36670.07	71966	2634	46	129	225	791	1177.96898232785	3588.3	5180.81666666668	7308	416	2.1655462616103	6.78558662341685	11.4264732948062	44.5705285526138	47.9221258485224	93.8368672934722	97.8218606687711	98.9845307013382	21.4638512850039
GSM6213963	P17	tumor	anti-PD-1	8644	13	678	793.553333333333	1235.55	7166.5	8406.08005552985	20343.9	31670.1566666667	58662	3097.5	12	19	23	178	442.527764923647	1664.8	2774.22333333333	5547	149	2.74593195266272	13.5594860965828	25.0241613200101	97.429685565243	82.9025821616473	99.8263474272688	99.8980985845546	100	2.39214203692733
GSM6213964	P17	normal	anti-PD-1	9926	13	520	637.596666666667	1168.65	7684	9139.79286721741	22962.1	38054.52	72130	2814.5	19	29	39	401	677.978641950433	2305	3974.82333333332	7082	341	4.66366295154533	12.1139559421625	24.2687308604528	88.766027964949	78.7547835472181	99.6150591489781	99.7440049878012	99.9354370107336	10.6120781927737
GSM6213965	P18	tumor	anti-PD-1	7681	13	500	538	700.4	3793	6825.66215336545	23935.2	43305.9466666667	82236	2527	64	238	332	1189	1628.04595755761	4397.8	5742.70666666667	7541	685	0.488954344624448	1.66040510246408	3.34357299996667	15.2877510667083	21.3965378229966	60.8236585993336	81.3586869776252	97.6730427923487	9.2869914768868
GSM6213966	P18	normal	anti-PD-1	6780	13	500	540	711.35	2611.5	3524.98038348083	9186.95	15036.9933333333	54886	1053.5	49	89	163.35	590	767.199410029499	1926.3	3012.90000000001	6186	284	1.83464855325808	4.22307785899867	6.85870581120457	51.3873371784071	49.7500515081292	92.6381393168264	96.0828319225048	98.4665579119087	27.1242316420681
GSM6213967	P19	tumor	Anti-PD-1+celecoxib	8742	13	500	546	764.45	3719.5	5933.72248913292	18594.95	37767.0299999991	176280	2120.5	50	132.513333333333	328	1402.5	1717.71962937543	4348.39999999999	6133.8133333333	9715	695.5	0.186219739292365	2.92257000276404	5.48768765824673	16.4201854825811	23.3660813672527	68.3031683929351	98.0999248912927	99.4216253308499	7.95350919238683
GSM6213968	P19	normal	Anti-PD-1+celecoxib	7043	13	545	627.766666666667	993.5	6160	7721.06005963368	20498.5	34797.1333333333	72497	2931	18	28	38	558	806.063751242368	2466.5	3998.1	6190	398	4.95226730310263	12.462035766759	21.0691367860036	80.9880655009714	72.4084422915583	99.5467962961587	99.7300843318427	99.8577235772358	17.253288775667
GSM6213969	P21	tumor	Anti-PD-1+celecoxib	1357	13	500	510	573	5052	7799.91451731761	23946.6	56152.6000000002	153038	3542	48	115.626666666667	326	1931	2108.22254974208	4889.8	6787.17333333335	9946	1097	0.165562913907285	1.56428806767794	4.41272668424252	11.2661846309063	16.731826468564	47.3178282636408	96.5206432339948	99.2885983464718	4.70521313486991
GSM6213970	P21	tumor	untreated	7690	13	500	546	795.7	6798.5	8966.75656697009	25911.75	41935.7633333333	95248	3667.5	35	63	159.85	1160	1541.28829648895	4430.15	6067.08333333333	8516	659.5	0.753012048192771	6.12393803751377	12.0144431290044	58.6616546563193	56.0804652940563	96.9400645086621	99.1306116050112	99.5829138501366	20.6583909006919
GSM6213971	P23	tumor	untreated	10323	13	500	518	603	2380	4169.7295359876	14023.5	26904.1666666667	90115	1520	50	236	310	901	1231.53860311925	3318.49999999999	4848.46666666666	7639	459	0.9783728115345	6.02834916485681	10.185251181331	30.3490990990991	32.1040094747033	59.3699324363737	69.0715277452241	99.2539902845246	11.8305805805806
GSM6213972	P24	tumor	Anti-PD-1+celecoxib	4826	13	500	525.193333333333	671.65	6259	14119.4063406548	55313.95	106408.51	215288	5025	67	127.596666666667	302.65	1691	2397.82967260671	6835.75000000001	8605.52000000001	10532	1091	0.600400266844563	2.87775489394495	6.70860656230603	25.5394667632425	30.9065247638107	72.3175727219683	97.6093489069719	99.5028876379853	13.1650470423937
GSM6213973	P24	tumor	untreated	7307	13	500	541.406666666667	744.2	8160	11301.0461201588	33395.9	54013.4266666667	88147	5173	29	60	138	1019	1590.19871356234	5053.2	6562.96666666667	8382	652	1.18657937806874	4.37035449939313	12.4183244969762	63.659078289839	59.8008964733879	97.9423201992994	99.3589878340169	99.6865042655977	24.0713028811681
GSM6213974	P25	tumor	Anti-PD-1+celecoxib	8126	13	500	542	710.65	5301.5	8626.08577405858	28556.15	51096.0700000001	100928	3916	66	147	258	1101	1557.8672163426	4355.05	6260.80666666667	8583	643	0.554016620498615	2.85904861465257	6.05669707436601	29.3091184884133	38.3004004743524	93.879474672221	98.1780871901927	99.0868263473054	19.002961281693
GSM6213975	P25	normal	Anti-PD-1+celecoxib	6789	13	500	528.226666666667	681	6160	8480.42539401974	28541.4	52437.2666666667	92511	4472	106	170.226666666667	251	896	1293.91972308146	3913.2	5816	8181	490	1.49483215170411	4.05443965551252	8.18510921947473	45.3416149068323	48.5682680900599	95.3046229510805	97.6973743974232	98.8858879135719	26.2626675384113
GSM6213976	P25	tumor	untreated	9798	13	500	528	664.25	4695	9221.11839150847	33854.4999999999	60941.2	160900	3463	44	78	222	1075	1798.38579301898	5643.75	7219.05	9418	661	0.125722906713603	1.27233090995268	3.24568469927337	24.9209375730278	33.7875833814667	91.1824173135795	98.5168478467389	99.483341061138	16.7886504968435
GSM6213977	P26	tumor	Anti-PD-1+celecoxib	5067	13	500	564.026666666667	813.8	8242	11404.6885731202	34689.4	56438.0333333334	141542	4627	45	95	275	1794	2222.30590092757	5782	7386.96	9851	1012	0.205128205128205	1.68187988156308	4.67289719626168	37.468671679198	41.4054184328001	93.8889307590286	98.8971078499341	99.5528343423225	22.9153575581605
GSM6213978	P27	tumor	anti-PD-1	6744	13	500	556.776666666667	774.1	6420.5	9827.47879596679	34489.35	56714.2166666667	117775	4591.5	46	81	207.55	1024.5	1428.26927639383	4236.35	5926.78666666667	8404	579.5	0.300710770913067	2.57349721584328	6.25671111364873	35.5534532000256	44.0862070038851	97.1523202077386	99.1223531696901	99.6935605742591	24.7757833259337
